date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,BNP PARIBAS,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,34.50079294751513,36.806091470566315,5.111849587220046,7.956583678269741,4.1553581561179715,5.289070489962832,1.8621118127673875,1.5802962630077948,1.084041737835883,1.653803856736895
2024-03-04,34.503488008235664,36.79056506250863,5.132736161495347,7.921828763025615,4.182014877287778,5.295163943073508,1.856299647367949,1.579638439419978,1.0870136828696073,1.6512514147159363
2024-03-05,34.481382783845504,36.93367673189861,5.13629530756993,7.861001024591101,4.154437811953153,5.289026374615418,1.851980102470741,1.5770736411664803,1.072574332354933,1.6425518895341311
2024-03-06,34.50100019981532,36.92712494762597,5.12403747458631,7.870928849746746,4.1546635309094455,5.28873674253423,1.846425309263391,1.5759575172433749,1.0702215816489573,1.6409038466262602
2024-03-07,34.53486010691905,36.941948332212064,5.129536667927626,7.848573306599595,4.1715024704294486,5.300786623138594,1.830140413413322,1.5774328977045913,1.0213410458746537,1.6438781357810586
2024-03-08,34.45349419529586,36.96958290981719,5.146140082294316,7.883231612567015,4.173967588276789,5.308303922047532,1.8318871848422296,1.5783670465311972,1.0102819317357588,1.6447435265921062
2024-03-11,34.429756982053625,36.956223371153825,5.152627612456255,7.9062453983012215,4.1667853958286845,5.3058775711699,1.8327880495476587,1.578140814000232,1.018353674759342,1.6532011307292556
2024-03-12,34.459816870530304,36.93748293325137,5.155866087860246,7.858716805403922,4.226480003943849,5.298784767858786,1.8218261803467168,1.577218995985014,1.0194083408235013,1.644399013996293
2024-03-13,34.53020843411059,36.881125271287175,5.21543200438843,7.811441930752058,4.235552012529811,5.311090296344942,1.7737583237522268,1.5801779625437908,1.0136261857627,1.6475875785282788
2024-03-14,34.42341388814162,36.93037531199496,5.216648591237632,7.782595701198475,4.2402183662573805,5.298617570134559,1.8076176958208894,1.5798758533971546,1.0737960065313836,1.6468410152859492
2024-03-15,34.365120260794434,36.967217976731995,5.246041516263405,7.7785605694137905,4.23683888578476,5.296532953104243,1.8098430748865535,1.5780599928025094,1.0752074601718895,1.646577310046422
2024-03-18,34.301074739204104,36.981301931229915,5.246011193797217,7.804490849178242,4.296671762688116,5.295898458614954,1.8033522514955762,1.5765841076480196,1.0516868279192653,1.6429278782245866
2024-03-19,34.27388676536919,37.06883590739908,5.251345605277431,7.767463060374201,4.271520302383245,5.300712048372196,1.8014071704377699,1.5756799132697987,1.0469784841490297,1.6421707429680636
2024-03-20,34.3122391728972,37.15200684228982,5.254627472929713,7.747055998023988,4.209329479643633,5.303233290409581,1.7896213916887493,1.576605110819155,1.0119637829158756,1.6433174583822787
2024-03-21,34.326323639427066,37.121216489106686,5.2700166190360775,7.709114363087577,4.221188262781004,5.314165998340748,1.79921149137855,1.5768351285859687,1.0181811872788342,1.643746820977493
2024-03-22,34.33990427980315,37.088411039266546,5.313623355659806,7.668540280420097,4.221661639208686,5.319092463539756,1.8012152910692845,1.578882319070808,1.0249660448024174,1.64370328715945
2024-03-25,34.529646770686576,36.56369701052786,5.446343475259722,7.813296817450912,4.29737192542835,5.365767766970073,1.7756480071422769,1.5920427432215956,0.9593105948538109,1.6568748884588247
2024-03-26,34.490097188283755,36.54324308582508,5.477595857917439,7.780538813227217,4.289081070198949,5.36104834632053,1.7609464016955285,1.589030244737448,1.0541851338278656,1.6542338579661915
2024-03-27,34.42124161230954,36.449899546295605,5.551330282150097,7.880444595859304,4.368546004696019,5.359601034439389,1.7736844624489698,1.5865214041255262,0.9576270058591633,1.651104051816389
2024-03-28,34.38313702019385,36.41798663344426,5.5866543839889955,7.880606796593405,4.415879663647351,5.349548815219466,1.7778794326236698,1.5859591960290778,0.9529885671369325,1.649359491122998
2024-04-02,34.40127633336535,36.34962371286397,5.645954084836093,7.876768492335798,4.4139564829444105,5.348680256959973,1.7402291672975707,1.5855669122805776,0.9559855139539749,1.6819590431622726
2024-04-03,34.46115922175746,36.225638226471105,5.731405129488597,7.8307690093853095,4.5012876596368105,5.357882797630321,1.7113592842920289,1.5864672855915931,0.9303122727122869,1.6637191130344822
2024-04-05,34.212289385071735,36.62559074180744,5.716498803798544,7.794478853140102,4.471880287496983,5.320939629560386,1.7064538598802348,1.5760839162191755,0.9229263946519368,1.6528581283734614
2024-04-08,34.15372726425503,36.7187768285471,5.741142465426332,7.762918829123912,4.454531055595309,5.31526371187384,1.6942771589871948,1.5746243161314486,0.9355979016083553,1.6491404684514828
2024-04-09,34.12696575860934,36.7492426440762,5.736643933968478,7.791558283565925,4.430573443678237,5.315221323043179,1.68987146408324,1.5734267448913801,0.9387552797551432,1.6477411243288844
2024-04-10,34.12778641129075,36.7518446005742,5.761825856184945,7.769396086213833,4.426516640752061,5.31497140798091,1.6901396462139422,1.5734194618299062,0.9364220595675189,1.6476778293919303
2024-04-11,34.16076699392775,36.764419906003795,5.788604934328517,7.698998320105465,4.421266597977224,5.315606447039677,1.6908545002838522,1.5742738186155878,0.9362224441841689,1.6489860375339567
2024-04-12,34.06692710320988,36.75843717774176,5.806418085532184,7.791206359408447,4.448368854306769,5.293263814476976,1.6904068392730145,1.5725217751693161,0.9251216968016288,1.647328294080025
2024-04-15,34.094047915337335,36.70594480622777,5.855920232939733,7.767905647581205,4.446426796545496,5.290463703927367,1.6897174203713679,1.5714072521745996,0.9321159589890481,1.64605026590608
2024-04-16,34.147166004956055,36.747144593157614,5.884115521734589,7.6952375664987835,4.400694985666414,5.301751606800378,1.6873736349296884,1.5717798228229833,0.9184956928525014,1.6462405705809868
2024-04-17,34.20111503174596,36.67952851940034,5.9730415682991715,7.630805636247722,4.400154084143745,5.297745634508552,1.6898983512730188,1.571797376886099,0.909534354316909,1.6463794431784906
