date,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,REALINK FINANCIAL TRADE LTD
2024-03-01,0.0,80.6405945850292,0.0,0.0,0.0,19.3594054149708,0.0
2024-03-04,0.0,80.55506452183135,0.0,0.0,0.0,19.44493547816864,0.0
2024-03-21,0.0,80.59041894997348,0.0,0.0,0.0,19.409581050026517,0.0
2024-03-26,73.51331118701165,21.330650821129463,0.0,0.0,0.0,5.156037991858888,0.0
2024-04-02,73.64252068149328,21.19237889901807,0.0,0.0,0.0,5.165100419488645,0.0
2024-04-18,73.65189472944154,21.19237889901807,0.0,0.0,0.0,5.15572637154039,0.0
2024-04-25,73.66373755125952,21.190392501464558,0.0,0.0,0.0,5.145869947275923,0.0
2024-05-14,64.61911912941515,18.59455678755837,12.244142272325194,0.0,0.0,4.5421818107012815,0.0
2024-05-16,64.61911912941515,18.60278537779515,12.244142272325194,0.0,0.0,4.533953220464504,0.0
2024-05-20,64.62494086673935,18.599724387585102,12.2421275632983,0.0,0.0,4.53320718237726,0.0
2024-05-22,64.65933614222588,18.585962388243757,12.233069571472614,0.0,0.0,4.521631898057754,0.0
2024-05-24,64.66996937118424,18.597241350956896,12.235081299977388,0.0,0.0,4.497707977881473,0.0
2024-05-28,64.6951232043404,18.576214061119217,12.232063955280626,0.0,0.0,4.496598779259746,0.0
2024-05-31,7.870000000000001,2.26075,1.488,0.0,0.0,0.5479999999999999,0.0
2024-06-27,64.72218231080276,18.561546829778937,12.216999527904925,0.0,0.0,4.4992713315133726,0.0
2024-06-28,64.6903145066984,18.60164536446259,12.210984141312599,0.0,0.0,4.497055987526414,0.0
2024-07-02,64.67439237001334,18.597066967490512,12.207978668854476,0.0,0.0,4.520561993641678,0.0
2024-07-03,64.67439237001334,18.588862680750694,12.207978668854476,0.0,0.0,4.528766280381499,0.0
2024-07-04,64.66908673270576,18.587337722266657,12.206977173444903,0.0,0.0,4.536598371582682,0.0
2024-07-05,64.60889334944596,18.57116522950249,12.19097556479528,0.0,0.0,4.628965856256273,0.0
2024-07-08,64.62628206440519,18.56204065756341,12.184985771900013,0.0,0.0,4.626691506131389,0.0
2024-07-09,64.64365370055862,18.552925047574227,12.179001862044975,0.0,0.0,4.624419389822185,0.0
