date,CHINA CONSTRUCTION BANK (ASIA),CHINA SECURITIES DEPOSITORY AND CLEARING,CMB INTERNATIONAL SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD
2024-03-01,0.0,0.0,36.116876079232505,0.0,13.03693460817854,39.15837705057748,0.0,4.626570122926672,7.061242139084809
2024-03-04,0.0,0.0,33.058919014596725,0.0,11.737174301589073,35.96703621416483,8.022622491935701,4.749756388225702,6.464491589487972
2024-03-05,0.0,0.0,33.07842884417991,0.0,10.80957894609091,36.235957690079005,8.051081377568831,5.292839105045631,6.532114037035712
2024-03-06,0.0,30.117446674251447,22.934250310863707,0.0,8.021352134463502,25.124232821430535,5.582052172311232,3.699504927452515,4.521160959227062
2024-03-07,0.0,30.142324724226054,22.982490437038024,0.0,8.00223614468219,25.13258297476577,5.591358592899698,3.65477577161156,4.494231354776699
2024-03-08,0.0,30.20473582466561,23.030076763976645,0.0,8.037451728066204,25.16675153287247,5.38927706627651,3.6681702120559656,4.503536872086587
2024-03-11,47.162446570817565,15.952936324454695,12.163567670173139,0.0,4.245266491187376,13.29925514100341,2.8464011197523846,1.9330724843347826,2.397054198276648
2024-03-12,47.16234980568138,15.95249324491129,12.163542713679835,0.0,4.24053877616785,13.295124371911356,2.8463952796738474,1.942301353709627,2.3972544542648135
2024-03-13,47.258244916694636,15.964781469628212,12.188274820617861,0.0,4.0456256649368845,13.33099774759822,2.854855536413692,1.9552966484880954,2.401923195622402
2024-03-14,47.2836169888381,15.97335266366887,12.19481847852556,0.0,3.9768306059870224,13.334040878550029,2.856388255217717,1.973419650421409,2.4075324787912953
2024-03-15,47.291204735494134,15.975915956432365,12.19677541835005,0.0,3.8994953322887596,13.394609285108002,2.8568466285785576,1.9720904535816788,2.4130621901664484
2024-03-18,47.292469596704315,15.971199747038318,12.197101636051677,0.0,3.89939388887537,13.394967540343941,2.8569230384417477,1.9748178220735042,2.413126730471124
2024-03-19,47.29237229728601,15.971166887928645,12.19707654176279,0.0,3.8860127812026106,13.391236665703307,2.8589745583177324,1.9900385020891767,2.413121765709732
2024-03-20,47.303856393052705,15.974633616980007,12.193247319708377,0.0,3.859997974308788,13.40807060711505,2.856993541994139,1.9894927982314676,2.4137077486094674
2024-03-21,47.30531663530669,15.975126744534041,12.193623718089125,0.0,3.857030188932278,13.408484506376924,2.857081735706185,1.9895542127052441,2.413782258349519
2024-03-22,47.270490102791904,15.953083506467644,12.186908770241898,0.0,4.099935880535802,13.349875314352794,2.8529218847413675,1.919609844532753,2.367174696335839
2024-03-25,47.2777819172989,15.955544384818829,12.191256804498186,0.0,4.103653469705905,13.351934629038812,2.8533619685471683,1.8989269759626473,2.3675398501295444
2024-03-26,47.28935621388781,15.958421903584675,12.19979602305597,0.0,4.131402568843864,13.336893707299602,2.8540605135372275,1.8619496110735125,2.368119458717345
2024-03-27,47.29986552415606,15.960939548198677,12.206416909459627,0.0,4.107422251006804,13.325659327206974,2.8530486043234453,1.8780020998967337,2.368645735751682
2024-03-28,47.30784793545564,15.963633145374686,12.208888500759576,0.0,4.079508240822229,13.348488899220634,2.8535300899929084,1.8690577156619492,2.3690454727123744
