date,KINGSTON SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,SILVERBRICKS SECURITIES CO LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CHIEF SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,GLORY SUN SECURITIES LTD
2024-03-01,0.0,53.532920583441246,0.0,46.467079416558754,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,25.352333121303477,39.25255983739711,21.97346213533692,0.0,0.0,0.0,0.0,13.421644905962498,0.0
2024-03-05,0.0,25.344070481382673,39.2560625614939,21.966300711393455,0.0,0.0,0.0,0.0,13.433566245729969,0.0
2024-03-06,0.0,25.339941180765862,39.265959550161,21.962721749634202,0.0,0.0,0.0,0.0,13.431377519438934,0.0
2024-03-07,0.0,21.896979789715324,34.03246449274036,19.0840254608379,0.0,13.32192782927776,0.0,0.0,11.664602427428655,0.0
2024-03-11,0.0,21.89079978544807,34.02285947972898,19.106862448986178,0.0,13.318167969624806,0.0,0.0,11.661310316211969,0.0
2024-03-12,0.0,21.893889351473117,34.027661308431156,19.095445566465372,0.0,13.3200476341267,0.0,0.0,11.662956139503653,0.0
2024-03-13,0.0,21.893889351473117,34.027661308431156,19.08133202993255,0.0,13.3200476341267,0.0,0.0,11.67706967603647,0.0
2024-03-14,0.0,21.998269593370953,33.88339801324522,19.050438064907375,0.0,13.357762113105883,0.0,0.0,11.710132215370567,0.0
2024-03-18,0.0,21.59572195693501,33.12441868877214,18.660149465937025,2.0105344409042285,13.113327634117375,0.0,0.0,11.49584781333422,0.0
2024-03-19,0.0,19.350064157429294,29.806442628700285,16.600627954582187,2.9294755899605405,11.767556991894972,7.596488848136314,2.8205803128464413,9.053872789821234,0.07489072662873132
2024-03-20,0.0,18.92469006525165,30.10384618603521,16.4668403958531,2.939013466972111,11.830915019746719,7.39581805640798,2.8297636452549386,9.070828241836521,0.438284922641772
2024-03-21,0.0,18.928402260863834,30.170023426224425,16.47331951482609,2.910688215154604,11.817596371517142,7.387492216952718,2.826578039872676,9.04810843103711,0.4377915235514015
2024-03-22,0.0,18.869396106079723,30.20066674789747,16.63394539556965,2.9016146273797494,11.780756974770188,7.36446293517751,2.817766651619641,8.994963780421882,0.4364267810841909
2024-03-25,0.0,18.859278396381345,30.279258390161278,16.636019796875363,2.9019764845957363,11.782226140206868,7.365381349370013,2.7682344856859835,8.97114374932826,0.4364812073951473
2024-03-26,0.0,18.83109752717482,30.184203951196537,16.523995280843735,3.2712078483585754,11.75216804685751,7.292114191262139,2.7640979936986185,8.94528617434027,0.43582898626779654
2024-03-27,0.0,18.719962858382942,30.096543325165232,16.415024850472165,3.340253378202615,11.707774578544134,7.268017951244719,2.8224399332398593,9.095949467022754,0.5340336577255799
2024-03-28,0.0,16.386864606373575,26.92357562922644,27.418958514723652,1.471735334167717,10.334556670321357,6.4477753440491,2.499536587289736,8.044060175095217,0.4729371387532067
2024-04-02,0.0,16.45827438740616,26.81015622466083,27.47414615923674,1.4710727389943097,10.32990391298783,6.444872468292163,2.498411262076673,8.04043863029509,0.472724216050199
2024-04-03,0.0,16.51579868355967,26.458874675463157,27.611644847401212,1.4772246042777688,10.384404848303143,6.494429034135661,2.508859344689829,8.074062865156048,0.4747010970135141
