date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,ABN AMRO CLEARING HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,INTERACTIVE BROKERS HONG KONG LTD,CENTALINE SECURITIES LTD,CITIBANK N.A.
2024-03-01,0.0,44.84373691468528,29.197262655841115,0.9660943487247008,4.896332457639676,2.850671238333246,3.6106764361156807,0.0,0.0,13.635225948660299
2024-03-04,15.101148364347338,38.09157398488364,24.80100382193711,0.8639852335797716,3.951395032248077,2.4251726346051377,3.1835635579699795,0.0,0.0,11.582157370428948
2024-03-05,14.695810978636134,37.03613456669868,24.144625181307106,0.829772622955456,3.944398426336731,2.3592864965284828,2.9858425506731607,2.728502976098708,0.0,11.275626200765545
2024-03-06,14.67915521339043,36.99415898849833,24.11726043025321,0.8208986074332918,4.174875204116076,2.3562725457045612,2.8691216688076464,2.7254105775159974,0.0,11.26284676428046
2024-03-07,13.907532992065514,35.074109061207764,22.840698638804508,6.146480968441873,3.732133197225502,2.22189120456048,2.824592611014929,2.5858734786988657,0.0,10.666687847980565
2024-03-08,13.485834824532947,34.009837949123835,22.14898763187544,5.981365649396473,6.731937783700796,2.1558521766344687,2.6349651338113933,2.507562513871233,0.0,10.343656337053416
2024-03-11,13.464607316026026,33.97096355829285,22.122081944999294,5.989041921448157,6.727886909830737,2.151455893425847,2.7357120964243133,2.5072076241484007,0.0,10.331042735404376
2024-03-12,13.481635380778004,34.005785746711794,22.144758349346386,5.988520761744628,6.740507051159289,2.1529327920579178,2.6344496147982492,2.509777655938747,0.0,10.341632647464982
2024-03-13,13.476977613811123,34.00951625145045,22.146509932876583,5.9931574346569825,6.6399834042044885,2.1536234574169826,2.7387329667968827,2.5095598718743393,0.0,10.331939066912168
2024-03-14,13.863705883589631,34.99443761022646,22.79017809832468,6.218322617835746,4.003284151703938,2.210540273714366,2.711231929703448,2.5760719575412616,0.0,10.632227477360463
2024-03-15,13.896182286920016,34.985182115908806,22.78512671260295,6.1709016273947475,3.925944511954129,2.208658323962302,2.817707073014398,2.5771071188793666,0.0,10.633190229363283
2024-03-18,13.88993571141515,34.96945566837621,22.7748844020561,6.155605429866036,3.8758030989278915,2.2079865774965453,2.909126668101483,2.588792018249464,0.0,10.628410425511122
2024-03-19,13.914439171879527,35.030605999399235,22.814710349974874,6.142031774933535,3.8639252035685177,2.206379665480078,2.7875927548705977,2.593318982877308,0.0,10.646996097016332
2024-03-20,13.928915787030252,35.06163026553377,22.833168726931913,6.128330500510869,3.7538478845424375,2.3593530552629525,2.682546224375742,2.596597443346743,0.0,10.655610112465322
2024-03-21,13.665091597195476,34.39673075059329,22.399138285958568,5.8716292644377255,5.613789572011268,2.3165046381829124,2.736816494422489,2.5472393210973006,0.0,10.453060076100972
2024-03-22,13.686599804674119,34.450073470444075,22.43387504530789,5.70752107751858,5.74152077361928,2.320097091746119,2.635635356643476,2.5554066163872484,0.0,10.469270763659216
