date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,PRUDENTIAL BROKERAGE LTD,MERRILL LYNCH FAR EAST LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-07,98.5106345955239,0.0,1.4893654044761109,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,97.24748352093101,0.0,1.4704756525570641,0.0,0.0,1.2820408265119236,0.0,0.0,0.0
2024-04-12,97.23413126702881,0.0,1.4702737536126487,0.0,0.00991624064272068,1.2856787387158235,0.0,0.0,0.0
2024-04-15,96.40318388072355,0.0,1.4577090284816911,0.0,0.009453363491226663,1.274691533157003,0.0,0.0,0.8549621941465394
2024-04-25,96.39940253532706,0.0,1.4577090284816911,0.0,0.009453363491226663,1.2784728785534938,0.0,0.0,0.8549621941465394
2024-04-26,96.40122516697205,0.0,1.4577365895094012,0.0,0.009453542226768561,1.27849705074818,0.0,0.0,0.8530876505435949
2024-05-07,96.4398811829102,0.0,1.4583211286450821,0.0,0.009457333011360322,1.27900971645637,0.0,0.0,0.8133306389769878
2024-05-09,90.16201978999638,6.509611289345191,1.3633900918198958,0.0,0.008841697393981841,1.1957511555621043,0.0,0.0,0.7603859758824384
2024-05-27,90.16393307530544,6.507627374303427,1.363419023672124,0.0,0.008841885019434004,1.1957765300282546,0.0,0.0,0.7604021116713243
2024-05-30,90.16292412709741,6.508294903207824,1.3635588782696233,0.0,0.00884279198805411,1.1958991884644377,0.0,0.0,0.7604801109726533
2024-05-31,84.41585353128403,6.508870469084177,1.3636794656081508,0.0,5.7550442207353525,1.1960049486942177,0.0,0.0,0.7605473645940751
2024-06-04,84.41585353128403,6.508870469084177,6.946072359721443,0.0,0.17265132662206056,1.1960049486942177,0.0,0.0,0.7605473645940751
2024-06-27,84.41576394683733,6.508863561690184,6.946064988356669,0.0,0.1726511433996809,1.1960036794605715,0.0,0.0,0.7606526802555654
2024-07-16,83.31614613237808,6.424077711397737,6.855584058676296,0.0,0.17040215264140723,1.180424279469334,1.3026214098491824,0.0,0.7507442555879649
2024-07-25,82.59865536599268,6.368755704146626,6.796546063178237,0.0,0.16893470633276322,1.1702588606369424,1.291403670226688,0.8611665321693915,0.744279097316657
2024-07-30,82.60322997288027,6.369108428456487,6.791384124882321,0.0,0.1689440625367803,1.1703236737288796,1.2914751927484323,0.8612142266304206,0.7443203181364122
2024-08-02,82.5903651823397,6.446333573888934,6.790326421275866,0.0,0.16891775085407343,1.1943679353318324,1.187099976293302,0.8610800994220803,0.7615090605942135
2024-08-12,82.58950767211289,6.44626664360048,6.790255919416033,0.0,0.16995426611579986,1.1943555345788286,1.1870876510012696,0.8610711590936324,0.7615011540810769
2024-09-16,82.576075669589,6.44521825050229,6.789151581380631,0.0,0.1688885252616049,1.1941612897285194,1.2041962585497674,0.860931118181558,0.7613773068066245
2024-10-09,82.64700025494783,6.372483328839001,6.7949827831778,0.0,0.16903358360361148,1.1951869547730105,1.1976112690828948,0.8616705718560562,0.7620312537198073
2024-10-10,82.65392686726177,6.372483328839001,6.788056170863845,0.0,0.16903358360361148,1.1951869547730105,1.1976112690828948,0.8616705718560562,0.7620312537198073
2024-10-14,82.65380671690578,6.372527468866237,6.7881031894229835,0.0,0.1690347544418231,1.1951952334270317,1.197619564529318,0.8616765403553913,0.7620365320514338
2024-12-03,82.6537466411036,6.372549539109164,6.788126698946817,0.0,0.16903533986701139,1.1951993727970502,1.1976237122956246,0.8616795246360652,0.7620391712446681
2024-12-19,82.65231537486923,6.3724391894232415,6.78974079404014,0.0,0.16903241278161965,1.1951786762336742,1.1976029737513896,0.8616646034394035,0.7620259754613021
2024-12-30,82.65689560131102,6.372792321871397,6.790117051501007,0.0,0.16904177981172677,1.1952449077596845,1.197669339621266,0.8561707945470703,0.762068203576828
2025-01-02,82.65746816530935,6.3797634623382224,6.790164086615742,0.0,0.16904295076348624,1.1952531872165695,1.1900579400974014,0.8561767252388756,0.7620734824203471
