date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,THE BANK OF EAST ASIA LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,BAN HIN SECURITIES CO LTD,CMB WING LUNG BANK LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-04,0.0,88.76379850514985,0.0,0.0,9.370479038764232,0.0,0.0,1.8657224560859178,0.0
2024-03-05,0.0,83.85579868997104,0.0,0.0,8.888362910850768,5.287388240535828,0.0,1.9684501586423593,0.0
2024-03-07,0.0,83.83256481504753,0.0,0.0,8.877962366638476,5.2812013064834264,0.0,2.008271511830557,0.0
2024-03-08,0.0,83.85976092207055,0.0,0.0,8.86302827153265,5.272317515436912,0.0,2.0048932909598878,0.0
2024-03-11,0.0,76.04560759187275,9.271510509163308,0.0,8.037160642980817,4.823409086455168,0.0,1.8223121695279552,0.0
2024-03-12,0.0,72.18729659299392,8.801103708474553,0.0,7.629380808082331,4.578684730641737,5.029435410278184,1.77409874952927,0.0
2024-03-13,0.0,72.15930095207132,8.809962701271457,0.0,7.637060370994261,4.5832935315821235,5.034497926702034,1.7758845173788118,0.0
2024-03-14,0.0,72.1000296425133,8.809607999150483,0.0,7.636752891654853,4.583109001409655,5.034295230373662,1.8362052348980453,0.0
2024-03-15,0.0,70.49879827281342,8.613960081210083,0.0,7.467152291580288,4.481325161095061,4.922491234076111,1.803299391869197,2.2129735673558524
2024-03-18,0.0,70.43225275519657,8.605829156337908,0.0,7.460103866266087,4.496760216366292,4.780189171837143,2.013980145814255,2.2108846881817397
2024-03-19,0.0,70.4000965238042,8.616334495934833,0.0,7.469210591849378,4.48256042621686,4.786024462042817,2.0321899326365287,2.2135835675153928
2024-03-21,0.0,70.39893088746328,8.616673804899879,0.0,7.469504727379611,4.482736948256447,4.786212934415572,2.0322699597365843,2.2136707378486347
