date,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,OCBC SECURITIES BROKERAGE (HK) LTD
2024-03-08,71.58527335317113,22.702608086819534,5.712118560009335,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,71.84783242896319,22.440049011027483,5.712118560009335,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,71.91784818250773,22.422545072641345,5.659606744850925,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,72.03723799188988,21.823062425038554,4.883202924210406,0.0,0.0,1.256496658861157,0.0,0.0,0.0
2024-03-15,71.21512253098648,21.625445695851493,4.8389835304771065,0.0,0.0,1.2451185692455713,1.0753296734393571,0.0,0.0
2024-03-25,71.83859530643255,21.042264618155215,4.811750801958467,0.0,0.0,1.2381113174629972,1.0692779559907706,0.0,0.0
2024-03-26,68.7117578964776,22.319607518879884,4.713080866545394,0.0,1.9954798522683423,1.2127225621520312,1.0473513036767543,0.0,0.0
2024-04-02,68.83202460051618,22.23381472736258,4.694964581846136,0.0,1.9878095656471362,1.2080610619954972,1.0433254626324748,0.0,0.0
2024-04-05,68.74794069192751,22.042833607907745,4.585392641405821,0.0,1.987918725974739,1.2081274025260844,1.4277869302580999,0.0,0.0
2024-04-08,69.08841295991213,21.85063152114223,4.503020318506315,0.0,1.9220208676551345,1.2081274025260844,1.4277869302580999,0.0,0.0
2024-04-09,68.89183457051962,21.097560975609756,4.3478260869565215,1.325556733828208,1.7921527041357368,1.166489925768823,1.378579003181336,0.0,0.0
2024-04-11,69.62837300535439,20.712505964056618,4.145682023008005,1.3253459152838891,1.6434289349520226,1.1663044054498224,1.3783597518952446,0.0,0.0
2024-04-15,69.63206446824303,20.79312904251935,4.145901813169335,1.3254161806807339,1.558689428480543,1.1663662389990457,1.3784328279079632,0.0,0.0
2024-04-18,55.730057533820556,30.492924895039653,6.079925361530089,1.9437101539418442,2.0214585600995183,1.710464935468823,2.0214585600995183,0.0,0.0
2024-04-25,55.7456072150521,30.477375213808116,6.079925361530089,1.9437101539418442,2.0214585600995183,1.710464935468823,2.0214585600995183,0.0,0.0
2024-04-26,64.93819482235871,21.28585866438622,6.079452693772837,1.943559045323797,2.021301407136749,1.7103319598849414,2.021301407136749,0.0,0.0
2024-04-30,0.16732,0.0545,0.01564,0.005,0.0052,0.0044,0.0052,0.0,0.0
2024-05-03,65.0342039800995,21.183146766169152,6.078980099502488,1.9434079601990049,2.0211442786069655,1.7179726368159205,2.0211442786069655,0.0,0.0
2024-05-07,65.18967661691542,21.027674129353233,6.078980099502488,1.9434079601990049,2.0211442786069655,1.7179726368159205,2.0211442786069655,0.0,0.0
2024-05-08,65.11194029850746,21.027674129353233,6.078980099502488,1.9434079601990049,2.0211442786069655,1.7179726368159205,2.0988805970149254,0.0,0.0
2024-05-09,64.87873134328358,21.260883084577113,6.078980099502488,1.9434079601990049,2.0211442786069655,1.7179726368159205,2.0988805970149254,0.0,0.0
2024-05-17,64.89427860696517,21.245335820895523,6.078980099502488,1.9434079601990049,2.0211442786069655,1.7179726368159205,2.0988805970149254,0.0,0.0
2024-05-20,64.89154940527094,21.24698748347975,6.079452693772837,1.943559045323797,2.021301407136749,1.7181061960662367,2.0990437689497004,0.0,0.0
2024-05-22,64.50559701492537,21.245335820895523,6.078980099502488,1.9434079601990049,2.0211442786069655,1.7179726368159205,2.4875621890547266,0.0,0.0
2024-05-24,64.42046424967006,21.34927412467976,6.070957223818026,1.9408431022436148,2.0184768263333592,1.715705302383355,2.484279170871827,0.0,0.0
2024-05-27,64.42598773577582,21.34595979197392,6.070014748117675,1.9405417992703562,2.0181634712411705,1.7154389505549947,2.483893503066056,0.0,0.0
2024-06-05,64.34060389660793,21.431343631141814,6.070014748117675,1.9405417992703562,2.0181634712411705,1.7154389505549947,2.483893503066056,0.0,0.0
2024-06-06,64.31731739501669,21.45463013273306,6.070014748117675,1.9405417992703562,2.0181634712411705,1.7154389505549947,2.483893503066056,0.0,0.0
2024-06-14,64.3145474305232,21.45629560627232,6.070485949386741,1.9406924390622575,2.0183201366247476,1.7155721161310356,2.484086321999689,0.0,0.0
2024-07-17,66.22418879056046,21.487346685297315,6.070485949386741,1.9406924390622575,2.0183201366247476,1.7155721161310356,0.5433938829374321,0.0,0.0
2024-07-19,66.31734202763546,21.394193448222325,6.070485949386741,1.9406924390622575,2.0183201366247476,1.7155721161310356,0.5433938829374321,0.0,0.0
2024-07-24,66.42602080422296,21.28551467163484,6.070485949386741,1.9406924390622575,2.0183201366247476,1.7155721161310356,0.5433938829374321,0.0,0.0
2024-07-30,66.36391864617296,21.28551467163484,6.070485949386741,2.0027945971122496,2.0183201366247476,1.7155721161310356,0.5433938829374321,0.0,0.0
2024-08-16,65.70413835701049,21.170475602223597,6.037677578752317,1.9919703520691785,2.007411982705374,1.7063001852995676,0.5404570722668314,0.8415688696726373,0.0
2024-08-22,65.75818406423718,21.11642989499691,6.037677578752317,1.9919703520691785,2.007411982705374,1.7063001852995676,0.5404570722668314,0.8415688696726373,0.0
2024-08-27,66.05405405405406,21.11969111969112,6.038610038610039,1.9922779922779923,2.0077220077220077,1.7065637065637067,0.5405405405405406,0.5405405405405406,0.0
2024-08-28,65.5639329127558,21.19556854900754,6.016310201569472,1.9849207570395446,2.000307739652254,1.7002615787044162,0.5385443914448377,0.5385443914448377,0.4616094783812894
2024-09-03,65.52546545622403,21.234036005539313,6.016310201569472,1.9849207570395446,2.000307739652254,1.7002615787044162,0.5385443914448377,0.5385443914448377,0.4616094783812894
2024-09-05,65.44083705185413,21.318664409909218,6.016310201569472,1.9849207570395446,2.000307739652254,1.7002615787044162,0.5385443914448377,0.5385443914448377,0.4616094783812894
2024-09-09,65.24080627788891,21.318664409909218,6.016310201569472,1.9849207570395446,2.000307739652254,1.7002615787044162,0.7385751654100631,0.5385443914448377,0.4616094783812894
