date,ZHONGTAI INTERNATIONAL SECURITIES LTD,ARTA GLOBAL MARKETS LTD,THE BANK OF EAST ASIA LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,0.0,0.0,0.0,45.338299669764226,20.29798018585362,34.36372014438216,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,45.21819157910883,20.243116803435846,34.53869161745533,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,39.222990952634376,17.469398616285257,30.16564662054284,13.141963810537518,0.0,0.0
2024-03-06,0.0,0.0,0.0,39.02139250597927,17.446186553281954,30.40791921339357,13.124501727345203,0.0,0.0
2024-03-07,0.0,0.0,0.0,38.89606304427006,17.47955365716367,30.542035031952587,13.082348266613689,0.0,0.0
2024-03-08,0.0,0.0,0.0,38.88962457789843,17.476660266172285,30.536979408064624,13.096735747864663,0.0,0.0
2024-03-11,0.0,0.0,0.0,38.547652070536955,17.53186711577835,30.856614490456373,13.063866323228321,0.0,0.0
2024-03-12,0.0,0.0,0.0,34.90125673249551,15.846798324356673,28.28545780969479,11.837223219628964,0.0,9.129263913824058
2024-03-13,0.0,0.0,0.0,34.79251619093308,15.882106020628447,28.316142959942432,11.861357639721756,0.0,9.147877188774286
2024-03-14,0.0,0.0,0.0,34.76708959476889,15.88829898917184,28.32718437865563,11.865982782926903,0.0,9.151444254476738
2024-03-15,0.0,0.0,0.0,34.697359755732506,15.907322037957252,28.420044303418546,11.842184038795427,0.0,9.13308986409627
2024-03-18,0.0,0.0,0.0,33.92256138605168,15.569668412888877,27.785419532324624,11.577745910035413,2.2154584564956536,8.929146302203753
2024-03-21,0.0,0.0,0.0,33.87398445262727,15.55906248173476,27.877140686188557,11.561166637442282,2.2122859313811443,8.916359810625986
2024-03-22,0.0,0.0,0.0,33.83091843888759,15.622809067539144,27.865739658798784,11.556438420191634,2.211381163823323,8.912713250759523
2024-03-25,0.0,0.0,0.0,33.78508350091807,15.755880038471629,27.801579668327943,11.558975255748885,2.206289528139664,8.89219200839381
2024-03-26,0.0,0.0,0.0,33.83642667754436,15.719238949914047,27.7934792109787,11.555607354098074,2.205646688616299,8.889601118848518
2024-03-28,0.0,0.0,0.0,34.1633582438113,15.11851938346567,28.024287716020552,11.57753386268099,2.2098318542737037,8.906468939747782
2024-04-02,0.0,0.0,0.0,34.15922488764373,15.117025623066596,28.03653767583027,11.574155139205043,2.2091869491624347,8.903869725091928
2024-04-03,0.0,0.0,0.0,34.155237817332946,15.126933177706448,28.033265246571343,11.572804201925884,2.208929092500729,8.90283046396265
2024-04-05,0.0,0.0,0.0,34.102496867989395,15.272557760102556,27.975410074876905,11.554934009264924,2.20551816566151,8.889083122104712
2024-04-10,0.0,0.0,0.0,34.09865679904432,15.273447743364121,27.977040296028672,11.555607354098074,2.205646688616299,8.889601118848518
2024-04-12,0.0,0.0,0.0,34.067278287461775,15.26722003786224,28.023882335808942,11.550895587592835,2.204747342362021,8.885976408912189
