date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CENTRAL WEALTH SECURITIES INVESTMENT LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,CHIEF SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,70.80631645654077,26.8309998898061,0.0,0.0,0.0,0.0,2.3626836536531397,0.0,0.0,0.0
2024-03-04,61.74164581590649,23.413899042803283,0.0,7.440257804852486,5.342416681079692,0.0,2.0617806553580507,0.0,0.0,0.0
2024-03-05,61.744644377045,23.412063940137003,0.0,7.439674662467251,5.3419979604267205,0.0,2.0616190599240305,0.0,0.0,0.0
2024-03-06,61.74524403286947,23.411696954122206,0.0,7.439558044959169,5.341914224172303,0.0,2.0615867438768523,0.0,0.0,0.0
2024-03-07,61.754231033562434,23.398287979359324,0.0,7.441774402971195,5.3435056620398145,0.0,2.062200922067232,0.0,0.0,0.0
2024-03-11,61.7733805733431,23.385993641904854,0.0,7.43732209726603,5.34177187856434,0.0,2.0615318089216825,0.0,0.0,0.0
2024-03-12,61.80068723852313,23.37796259582149,0.0,7.419844727886921,5.340474371373301,0.0,2.0610310663951505,0.0,0.0,0.0
2024-03-13,61.87687231949527,23.31985729544421,0.0,7.420161190974246,5.327200765248135,0.0,2.0559084288381375,0.0,0.0,0.0
2024-03-14,60.42525276501725,22.52130029524387,0.0,7.1645581367329525,4.879077574202694,0.0,1.9855066229085485,0.0,3.024304605894689,0.0
2024-03-15,60.425526431264785,22.521402294316434,0.0,7.164137684589999,4.879099671567457,0.0,1.9855156152771707,0.0,3.0243183029841516,0.0
2024-03-18,60.48255418636097,22.492997020426888,0.0,7.1449413432175675,4.874448909647431,0.0,1.9836230201188965,0.0,3.021435520228243,0.0
