date,ASTRUM CAPITAL MANAGEMENT LTD,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,100.0,0.0
2024-03-11,0.0,0.0,0.0,44.0359642977525,55.96403570224751
2024-03-12,0.0,0.0,0.0,43.98189594316836,56.01810405683164
2024-03-28,0.0,0.0,0.0,43.89788321762377,56.102116782376235
2024-04-02,51.14941479719002,14.93677170407392,0.0,14.887446244317887,19.02636725441818
2024-04-03,39.31249158469349,22.302202894541708,12.472230158473288,12.9689427210601,12.944132641231418
2024-04-24,39.8553613055209,22.61017601380109,11.263551337489666,13.148032013816858,13.122879329371488
2024-05-06,40.081101718922014,22.525313412724465,11.221275936215655,13.098683605602336,13.073625326535534
2024-06-03,44.47367051445473,20.874014880128215,10.398660235034637,12.138437831412347,12.11521653897007
2024-06-27,44.47358127281203,20.87397299396599,10.398639368901694,12.138413474211344,12.115392890108954
2024-07-12,44.461685593670396,20.86838967735328,10.395857967586537,12.161914465412691,12.112152295977095
2024-07-25,44.45574014014972,20.865599138955528,10.407839907870626,12.160288164110547,12.110532648913573
2024-08-16,44.455591524184314,20.8655293850576,10.40780511436205,12.160247512150653,12.110826464245386
2024-08-27,44.45618599400795,20.8658084034476,10.4066070680766,12.16041012162105,12.1109884128468
2024-10-14,44.45621631239505,20.86582263358548,10.406545966857324,12.160418414820594,12.11099667234155
2024-10-15,44.45651355367437,20.865962145769114,10.406615546666249,12.15983110551334,12.111077648376925
2024-11-18,43.50646328422273,20.4200496939296,12.321255545104423,11.89997152825856,11.852259948484685
2024-11-26,43.506560927844404,20.42009552361687,12.321058763534397,11.899998235929786,11.852286549074549
2024-12-05,43.507984354017445,20.42076361821696,12.318190127238642,11.900387574194797,11.852674326332153
2024-12-10,43.50841140003221,20.420964055121843,12.317329499746252,11.900504380642237,11.852790664457455
2025-02-07,43.698512234589074,20.352245111195092,12.275880238441271,11.860457784848524,11.812904630926042
2025-02-10,43.704212614883204,20.35490001936108,12.264436808950482,11.862004956969011,11.814445599836219
2025-02-18,43.641590110750776,20.325734070947597,12.246863451628656,11.988295344750224,11.797517021922745
2025-02-27,44.04104213019703,20.18167117887306,12.160061245050276,11.903325793718018,11.713899652161617
2025-04-15,44.04079007613094,20.181555675877785,12.16056396734424,11.90325766904337,11.713832611603667
