date,BOCI SECURITIES LTD,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,NANYANG COMMERCIAL BANK LTD,CHIEF SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,97.20006670861916,0.0,0.0,0.0,0.0,2.7999332913808352,0.0,0.0
2024-03-04,0.0,97.19296648238578,0.0,0.0,0.0,0.0,2.8070335176142245,0.0,0.0
2024-03-11,0.0,97.19075564195879,0.0,0.0,0.0,0.0,2.8092443580412034,0.0,0.0
2024-03-12,0.0,97.17159923726271,0.0,0.0,0.0,0.0,2.8284007627372825,0.0,0.0
2024-03-20,0.0,91.51340774307269,5.822886047572915,0.0,0.0,0.0,2.663706209354407,0.0,0.0
2024-03-25,0.0,91.50948781183334,5.822636627149351,0.0,0.0,0.0,2.6678755610173037,0.0,0.0
2024-03-26,0.0,91.5101411103858,5.826247763045868,0.0,0.0,0.0,2.663611126568329,0.0,0.0
2024-03-28,0.0,91.52124861313064,5.817672951596765,0.0,0.0,0.0,2.6610784352725996,0.0,0.0
2024-04-05,0.0,84.05587063200718,5.343126021650304,3.1915800622695176,0.0,3.1955146175137368,2.4604085460520295,1.75350012050723,0.0
2024-04-09,0.0,84.04870558937468,5.34267056594628,3.1913080074202926,0.0,3.195242227277396,2.46872296033232,1.753350649649037,0.0
2024-04-10,0.0,84.05752427687199,5.343231137840776,3.1916428507450973,0.0,3.195577483394465,2.4584896337463262,1.7535346174013544,0.0
2024-04-11,0.0,84.05642183973279,5.343161059920918,3.1916009914868813,0.0,3.194879809024879,2.4604246805134125,1.7535116193211262,0.0
2024-04-12,0.0,81.29804393186329,5.16528403089176,3.086866082803315,3.26572292179048,3.0900373033527324,2.3980769794697623,1.6959687498286549,0.0
2024-04-15,0.0,81.29598147196705,5.1651529921772825,3.086787771724808,3.2656400732712214,3.0899589118231487,2.400553054443887,1.69592572459259,0.0
2024-04-16,0.0,81.29134131978914,5.164858179377535,3.086611586324959,3.2654536794713813,3.0897825454232994,2.4061237638210176,1.695828925792673,0.0
2024-04-18,0.0,81.28824817926731,5.1646616562071115,3.0864941405648345,3.2653294287586467,3.089664979007987,2.4117397198619406,1.6938618963321703,0.0
2024-04-19,0.0,81.28824817926731,5.1646616562071115,3.0864941405648345,3.2653294287586467,3.089664979007987,2.413008055239202,1.6925935609549092,0.0
2024-04-22,0.0,81.28773267873184,5.163360576465427,3.086474567140412,3.2653087212258027,3.0896453854752592,2.4148952438197426,1.6925828271415162,0.0
2024-04-23,0.0,81.30371623620809,5.164375844917688,3.087081458758829,3.265950776895256,3.0801042867747843,2.4058557577711603,1.6929156386741966,0.0
2024-04-24,0.0,81.3073262965662,5.156359039506372,3.0872185318338676,3.2660957921538087,3.0802410500483384,2.4034253168519673,1.6993339730394352,0.0
2024-04-25,0.0,81.32176974445753,5.1617160204848185,3.0560454855795687,3.266675981990699,3.080788224615816,2.413368699843197,1.6996358430283711,0.0
2024-04-26,0.0,81.3222856767889,5.157307735508935,3.0560648741476863,3.266696706868681,3.080807770160092,2.417190610442741,1.6996466260829668,0.0
2024-04-29,0.0,81.32538140825866,5.144814913380119,3.0561812107229045,3.2668210616591726,3.0809250486340924,2.426165030061114,1.699711327283924,0.0
