date,GET NICE SECURITIES LTD,VMS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,KINGSTON SECURITIES LTD
2024-03-01,0.0,0.0,100.0,0.0
2024-05-16,0.0,0.0,100.0,0.0
2024-05-17,0.0,0.0,57.223355863734106,42.776644136265894
2024-05-24,51.44587885367825,23.072031702913858,14.582353550246003,10.899735893161889
2024-06-07,51.44639746837889,23.072264287040735,14.581492473554741,10.899845771025639
2024-06-14,51.44536024943349,23.071799123476143,14.583214609576961,10.899626017513402
2024-07-02,51.444323072310326,23.07133397866765,14.584936676160067,10.899406272861958
2024-07-09,51.44361003729699,23.07101420249122,14.586120556658027,10.899255203553762
2024-07-10,51.445230600006,23.071740979349382,14.58658004468824,10.896448375956384
2024-07-16,51.444971303111394,23.07162469197504,14.588270612641505,10.89513339227206
2024-08-08,51.444063784563966,23.071217695396033,14.589777324116394,10.894941195923614
2024-08-09,51.44412860625551,23.071246766104046,14.589795707851582,10.894828919788857
2024-08-13,51.44419342811043,23.07127583688532,14.589688087253844,10.894842647750409
2024-09-05,51.44477683215578,23.071537477213557,14.588719489669472,10.894966200961191
2024-09-17,51.44516577553729,23.071711907395898,14.58807374574157,10.895048571325233
2024-09-26,51.44600850637316,23.072089848505957,14.588312715125692,10.893588929995186
2024-09-30,51.446030871529125,23.072099878650235,14.58827558404862,10.893593665772022
2024-10-04,51.445382614025824,23.07180915336765,14.58935183405828,10.893456398548253
2024-10-08,51.445058491400516,23.07166379347385,14.589889948892024,10.893387766233609
2024-10-24,51.44479919624085,23.071547506877575,14.590320435877011,10.893332861004556
2024-10-25,51.44382686267098,23.07111144258147,14.591934723422684,10.893126971324861
2024-10-28,51.44376204173985,23.071082372214484,14.592042340422735,10.893113245622937
2024-10-29,51.443567579926544,23.070995161553075,14.592365189795684,10.893072068724704
2024-11-07,51.44421579168827,23.071285866321855,14.592549060067373,10.891949281922496
2024-11-08,51.444280613762906,23.071314937201663,14.592567447349394,10.891837001686037
2024-11-13,51.44337311958339,23.070907951550986,14.594074062798262,10.891644866067358
2024-11-18,51.42230395119747,23.06145902130068,14.629052947844235,10.887184079657622
2024-11-21,51.42295162720427,23.061749485798426,14.630496727713528,10.884802159283776
2024-12-09,51.56095387342846,22.85779839795506,14.671023060399085,10.910224668217387
2024-12-10,51.562516717207174,22.85849123168558,14.671467748004622,10.907524303102626
2024-12-11,51.56095387342846,22.85779839795506,14.674054029169051,10.907193699447424
2024-12-16,51.56134457549133,22.85797160245024,14.674670386799841,10.90601343525859
2024-12-23,51.56147481082808,22.858029337865283,14.674454869281298,10.906040982025338
2024-12-27,51.562516717207174,22.85849123168558,14.68333940217978,10.895652648927468
2024-12-30,51.56401453140006,22.85915523675699,14.68086108045948,10.895969151383467
2025-01-02,51.56349354268068,22.858924274095894,14.681723121736292,10.895859061487128
2025-01-03,51.563754035724386,22.859039754843042,14.681292103275354,10.895914106157216
2025-01-09,51.56381915939655,22.859068625212142,14.681184347979665,10.895927867411638
2025-01-15,51.56479603421936,22.85950168949979,14.68083098364335,10.894871292637497
2025-01-21,51.273706234147674,23.295597499979028,14.59732790062595,10.833368365247345
2025-01-22,50.6457722443696,23.923531489757107,14.59732790062595,10.833368365247345
2025-01-23,50.646153873667224,23.923711759898417,14.597940246332108,10.832194120102251
2025-02-03,50.64659911511692,23.923922078496997,14.597189458088897,10.83228934829718
2025-02-04,50.6504157915497,23.925724961043343,14.592009571877549,10.831849675529414
2025-02-11,50.651051960215476,23.92602546788595,14.592192847357428,10.830729724541149
2025-02-12,50.652324345489866,23.92662650421791,14.592559412129166,10.828489738163062
2025-02-13,50.653151430199195,23.927017194026977,14.591164822856392,10.828666552917436
2025-02-14,50.65378766758645,23.92731773333153,14.591348097624529,10.827546501457498
2025-02-17,50.65493293516189,23.927858723106024,14.589417032561267,10.827791309170816
2025-02-18,50.65563284639737,23.928189340011244,14.588236894257186,10.827940919334202
2025-02-28,50.65576010506368,23.92824945315743,14.588022320152612,10.82796812162628
2025-03-06,50.65595099426202,23.928339623443033,14.58770045697427,10.828008925320672
2025-03-11,50.658623594108164,23.929602078801995,14.584450304411432,10.827324022678413
2025-03-18,50.659896359823875,23.93020329484293,14.5823042930213,10.827596052311893
2025-03-19,50.660850976081825,23.930654226699545,14.582579076543508,10.825915720675122
2025-03-20,50.66218749928569,23.93128555985012,14.582210025854762,10.824316915009428
2025-03-24,50.66231479088778,23.931345688554174,14.581995408842172,10.82434411171588
2025-03-25,50.66104190365066,23.9307444151102,14.584141530437938,10.824072150801205
2025-03-27,50.6619965630819,23.931195367360573,14.58441635479479,10.822391714762729
2025-04-03,50.66282396369273,23.931586206391955,14.583146995307184,10.82244283460813
2025-04-09,50.6627603165324,23.931556141397845,14.583254303580048,10.82242923848971
2025-04-14,50.66403329012425,23.93215745563318,14.583620728494436,10.820188525748126
2025-04-16,50.66435154351767,23.93230778891357,14.583084173254132,10.820256494314624
2025-04-23,50.6646061491112,23.932428056897738,14.582654924208416,10.820310869782642
2025-04-29,50.6653699812458,23.932788868102996,14.58136715118541,10.820473999465802
2025-04-30,50.66727966234863,23.933690943715124,14.58191675264519,10.81711264129105
