date,SINO-RICH SECURITIES & FUTURES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,PRUDENTIAL BROKERAGE LTD,REALINK FINANCIAL TRADE LTD,MEGABASE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-14,0.0,0.0,0.0,35.808196705414254,0.0,19.45445747193656,20.967149979858434,23.770195842790756,0.0,0.0
2024-03-20,0.0,0.0,19.66378333093291,28.75439012366604,0.0,15.692304691892819,16.83686043344112,19.05266142006711,0.0,0.0
2024-03-22,0.0,0.0,19.324201541181022,28.87593514615125,0.0,15.7586361813947,16.908029968637717,19.13319716263531,0.0,0.0
2024-03-25,0.0,0.0,19.610826868448182,28.779627549310526,0.0,15.70607766259917,16.851637968678283,19.05182995096384,0.0,0.0
2024-03-26,0.0,0.0,19.80790139959273,28.709074122961514,0.0,15.667574120755157,16.810326079000546,19.005124277690054,0.0,0.0
2024-04-03,0.0,0.0,19.83916729378126,28.596544557102526,0.0,15.692304691892819,16.83686043344112,19.035123023782276,0.0,0.0
2024-04-15,0.0,0.0,19.804090501211586,28.596544557102526,0.0,15.727381484462487,16.83686043344112,19.035123023782276,0.0,0.0
2024-04-22,0.0,0.0,19.80895434328924,28.596550725534648,0.0,15.73124409556451,16.840995530189275,19.02225530542233,0.0,0.0
2024-05-13,0.0,0.0,19.844039750643798,28.596550725534648,0.0,15.73124409556451,16.840995530189275,18.98716989806777,0.0,0.0
2024-05-14,0.0,0.0,19.844039750643798,29.193002650562182,0.0,15.73124409556451,16.840995530189275,18.390717973040232,0.0,0.0
2024-05-17,0.0,0.0,20.040418764212838,29.121480919105142,0.0,15.69270315377939,16.799735740156805,18.34566142274582,0.0,0.0
2024-05-21,0.0,0.0,20.070149882198276,29.10509109050589,0.0,15.688584965005187,16.79532703615873,18.34084702613192,0.0,0.0
2024-05-24,0.0,0.0,20.07085216662751,29.1026103720792,0.0,15.68913393195373,16.795914729660304,18.341488799679254,0.0,0.0
2024-05-27,0.0,0.0,20.071203327272936,29.103119552823344,0.0,15.689408429835133,16.796208591834567,18.340060098234026,0.0,0.0
2024-05-28,0.0,0.0,20.099162309283678,29.09293932204412,0.0,15.683920296567658,16.79033330140838,18.333644770696168,0.0,0.0
2024-05-29,0.0,0.0,20.132393177276047,29.09293932204412,0.0,15.683920296567658,16.79033330140838,18.300413902703795,0.0,0.0
2024-05-30,0.0,0.0,20.118318457594096,29.072600211731885,0.0,15.67295554042841,16.778595042945863,18.357530747299748,0.0,0.0
