date,KGI ASIA LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,ABCI SECURITIES CO LTD,EVERBRIGHT SECURITIES INVESTMENT,YUANTA SECURITIES (HONG KONG) CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-04-02,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,0.0,69.89590044420332,0.0,30.104099555796683,0.0,0.0,0.0,0.0
2024-06-27,0.0,0.0,41.188929963033274,41.07103606753921,17.740033969427515,0.0,0.0,0.0,0.0
2024-10-02,0.0,0.0,41.18422893227554,41.07431905837213,17.741452009352333,0.0,0.0,0.0,0.0
2024-10-03,0.0,40.95558308264024,24.313100926089778,24.248215655046305,10.483100336223677,0.0,0.0,0.0,0.0
2024-10-07,0.0,40.974918855119505,24.324579521982887,24.25966361758631,10.440838005311301,0.0,0.0,0.0,0.0
2024-10-08,0.0,40.979755651301424,24.327450864663874,24.26252729740896,10.430266186625744,0.0,0.0,0.0,0.0
2024-10-09,0.0,40.92822526442393,24.35058426780808,24.236206916881862,10.484983550886131,0.0,0.0,0.0,0.0
2024-10-10,0.0,40.88965330380388,24.327635562571416,24.21336600421737,10.56934512940733,0.0,0.0,0.0,0.0
2024-10-14,0.0,40.99687001712632,24.129215142030354,24.276855843618968,10.597058997224355,0.0,0.0,0.0,0.0
2024-10-15,0.0,41.01527881172675,24.0951469389202,24.28775686246706,10.601817386885983,0.0,0.0,0.0,0.0
2024-10-18,0.0,41.0181869748644,24.089764951962277,24.28947897094102,10.602569102232307,0.0,0.0,0.0,0.0
2024-11-13,0.0,41.04243771505599,24.04488536259474,24.30383937756441,10.608837544784855,0.0,0.0,0.0,0.0
2024-11-25,0.0,41.075464776398476,23.983763890039405,24.323396802480385,10.617374531081737,0.0,0.0,0.0,0.0
2024-12-05,0.0,41.077409200108875,23.98016544574492,24.324548219505555,10.617877134640647,0.0,0.0,0.0,0.0
2024-12-12,0.0,41.11146643925665,23.91713747645951,24.344715678262208,10.626680406021629,0.0,0.0,0.0,0.0
2024-12-20,86.35366906148666,4.788618717814923,2.906331584151438,2.9454533494723467,1.383448800029485,1.622478487045145,0.0,0.0,0.0
2024-12-23,85.87447015956418,4.642053742621201,2.905594454420816,2.929108265052992,1.36722120730361,1.5997941706473138,0.0,0.0,0.6817580003898761
2024-12-27,85.8913616373413,4.636125106168098,2.895618321705864,2.929684419608286,1.3646394197396967,1.6001088495924207,0.0,0.0,0.6824622458443355
2024-12-30,85.87471491614414,4.635226572478491,2.895057117994851,2.929116613500673,1.3837560726423828,1.5997987303278463,0.0,0.0,0.6823299769116096
2025-01-02,85.86344863054971,4.6109746859726695,2.910747230076499,2.928557372705094,1.3857715776457014,1.5994932891888383,0.0,0.0,0.7010072138614898
2025-01-03,85.86984790673161,4.61121120980116,2.910326585507345,2.9287075955210757,1.3847027543677053,1.5995753365437189,0.0,0.0,0.695628611527386
2025-01-06,85.87107147031656,4.609852010370611,2.9103680548905704,2.928749326816195,1.3935568948264274,1.5910487001668596,0.0,0.0,0.6953535426127777
2025-01-07,85.86960319819885,4.60834830807866,2.9103182917725134,2.928699249404761,1.3963828278761632,1.591021495516861,0.0,0.0,0.6956266291521865
2025-01-08,85.86593273756698,4.6081513261384535,2.9101938914222347,2.928574063368059,1.4005975986624513,1.5909534879618443,0.0,0.0,0.6955968948799682
2025-01-09,85.86519868309445,4.608111931771173,2.9101690126283537,2.928549027444954,1.4005856251719324,1.590939887148504,0.0,0.0,0.6964458327406313
2025-01-13,85.87107147031656,4.6084271055701755,2.9103680548905704,2.928749326816195,1.4006814188286074,1.5910487001668596,0.0,0.0,0.6896539234110335
2025-01-14,85.87547658795444,4.6035335937848085,2.910517354455975,2.9288995693262225,1.4007532726708558,1.5911303196991633,0.0,0.0,0.6896893021085393
2025-01-15,85.8718056252049,4.603336804188867,2.9103929370877735,2.9287743661641175,1.4043981781119752,1.5910623028407382,0.0,0.0,0.6902297864016242
2025-01-16,85.85782998460938,4.60296950862115,2.9101607197915866,2.928540682232376,1.4042861226078764,1.5909353535957336,0.0,0.0,0.7052776285419022
2025-01-17,85.85905330722564,4.603035092816592,2.910202184448056,2.9285824087708856,1.404021166489652,1.5909580216179677,0.0,0.0,0.7041478186312016
2025-01-20,85.85611739151004,4.602877693887208,2.91494690581435,2.9284822670760127,1.4187908151962116,1.590903619449779,0.0,0.0,0.6878813070664099
2025-01-21,85.84095169169615,4.602064637537744,2.9144320070384664,2.927964977402055,1.4356344770973002,1.5906226008402913,0.0,0.0,0.6883296083879892
2025-01-22,85.84217453338448,4.602130195949903,2.913048980900748,2.928006687536504,1.4356549283347713,1.5906452599509882,0.0,0.0,0.6883394139426091
2025-01-23,85.83483800580723,4.610283403932256,2.91280001628285,2.9277564445536552,1.4361019983453318,1.5905093149696465,0.0,0.0,0.6877108161090322
2025-01-24,85.83434894855648,4.610257136130288,2.9127834201547387,2.927739763208983,1.437233346831694,1.5905002527970957,0.0,0.0,0.6871371323207227
2025-01-27,85.84364198939983,4.610756275558607,2.9002776683587004,2.9280567412665026,1.4393833469765858,1.5906724517360014,0.0,0.0,0.6872115267037856
2025-02-03,85.84290825512073,4.610716865884769,2.900252878716802,2.9280317141875902,1.4407955997515467,1.5906588557272858,0.0,0.0,0.6866358306112769
2025-02-04,85.26184246359172,4.57950718415743,2.8806212309911983,2.9082120330955887,1.4304769706430087,1.579891775885246,0.0,0.677460310132416,0.6819880315033929
2025-02-10,85.26232501865563,4.579250118532525,2.8803545502090784,2.908228492655961,1.430485066690268,1.5799007175730497,0.0,0.6774641443435215,0.6819918913399695
2025-02-11,85.27245993692006,4.579794442483972,2.878998823765184,2.9085741864669252,1.420749480983163,1.5800885164001985,0.0,0.6775446728035243,0.6817899401769799
2025-02-12,85.27366663530266,4.579859251574158,2.8745112154624235,2.908615345966359,1.4250149135876828,1.5801108763773652,0.0,0.6778372826300896,0.680384479099263
2025-02-13,84.43980341845729,4.535074310115623,2.843880024836132,2.8801729505041562,1.3973477017820106,1.564659490382865,0.9941219473130413,0.671208934169257,0.6737312224396217
2025-02-17,84.4409866657362,4.5351378596991125,2.843919875868047,2.8802133101055354,1.397367282688158,1.564681415813876,0.9941358778533961,0.6712183397589527,0.672339372476713
2025-02-18,84.43743702337969,4.536348448282699,2.8466027901051163,2.880092234694588,1.3973085416159596,1.5646156413642003,0.9977372905806242,0.6711901237806305,0.6686679061964861
2025-02-19,84.42678988667845,4.535776437528275,2.8462438477910332,2.8797290695297515,1.408621001510758,1.5644183511904837,0.9976114809196582,0.6722263343195362,0.6685835905320605
2025-02-20,84.42868251473207,4.535878117785717,2.84630765314193,2.879793625531835,1.4064108403760125,1.5644534213626775,0.9976338447626748,0.6722414038776756,0.6685985784294014
2025-02-21,84.42915568500425,4.535903538562396,2.8463236049266407,2.8798097649846013,1.406979160259578,1.564462189151409,0.9976394358800983,0.6711242957223041,0.6686023255087339
2025-02-24,84.4289190992052,4.53589082813844,2.8505189009228564,2.8798016952356056,1.4036126001201856,1.5644578052447586,0.9973564221861582,0.6711224151103703,0.6683202338364229
2025-02-25,84.43956677298083,4.536462867746847,2.8508783914347817,2.8801648787196115,1.3763247756535968,1.564655105370399,0.9974822028539051,0.6712070530829493,0.68325795215709
2025-02-26,84.44264326763906,4.53662815049655,2.8498612064202242,2.8802698154477695,1.373572284276493,1.5647121124496348,0.9975185453978812,0.6712315080273823,0.6835631098450045
2025-02-27,84.44335325978125,4.536666294379951,2.8498851679991684,2.880294032701721,1.3721825030755692,1.564725268519384,0.9975269325148818,0.6712371517291643,0.6841293892989103
2025-02-28,84.47673636320687,4.538459780714476,2.8510118169021528,2.8814327031817304,1.3329114596600122,1.5653438534459083,0.9979212861670342,0.6715025128072631,0.6846802239145456
2025-03-03,84.4760258095918,4.5384216066662955,2.850987836374018,2.8814084667763957,1.3351432440195774,1.565330686972134,0.9979128924173705,0.6714968646423536,0.6832725925400484
2025-03-06,84.45258424421577,4.537162223240323,2.8501967051967143,2.880608894065657,1.3347727501742395,1.5648963175604325,0.9976359778716989,0.6993401956498797,0.6828026920252934
2025-03-07,84.55188561898504,4.545303389951083,2.8549511661213396,2.8839959831158413,1.4042537607776266,1.3711398631413836,1.0032990422085735,0.700162496630731,0.6850086790683826
2025-03-10,84.54714038957437,4.545048297978047,2.850862393239981,2.8838341272038273,1.4064198351216874,1.3710629118923714,1.0032427349590316,0.7001232020408241,0.692266107989865
2025-03-11,84.54903841742227,4.542905396920539,2.8509263932308495,2.8838988673884973,1.4064514083245254,1.3710936913554732,1.003265257100412,0.7001389193475042,0.692281648909937
2025-03-12,84.54998746330368,4.5429563901161725,2.8509583943038637,2.8839312385708755,1.4053447156527141,1.371109081605264,1.0032765185503116,0.7001467782654797,0.6922894196316387
2025-03-13,84.55093653049103,4.543007384456596,2.850990396095298,2.883963610479982,1.4042379981358206,1.3711244722005635,1.0032877802530296,0.7001546373598866,0.6922971905277917
2025-03-14,84.55093653049103,4.543007384456596,2.850990396095298,2.883963610479982,1.4042379981358206,1.3708438490994175,1.0032877802530296,0.7001546373598866,0.692577813628938
2025-03-18,84.5960417773087,4.545430935014152,2.8808693624505963,2.885502113727867,1.4198680732822635,1.272462350823654,1.005507639336663,0.7005281476842491,0.6937896003718554
2025-03-19,84.60958273712215,4.54615850448824,2.8813304920193703,2.885963984843143,1.4200953460496035,1.256940235103426,1.0056685870388289,0.7006402785038087,0.6936198348314258
2025-03-20,84.63192291427588,4.543145486411363,2.856811003434325,2.88672599009828,1.4204703057241415,1.25727211556679,1.008181257291778,0.7008252744278689,0.6946456527695871
2025-03-21,84.63168519073278,4.543132725119825,2.856802978906342,2.886717881541761,1.4213089890630834,1.2572685840012574,1.0081784254003083,0.7008233058720145,0.6940819193626243
2025-03-25,84.6466643826178,4.543936826523398,2.8573086122267974,2.887228809582105,1.4215605504023985,1.239229958068178,1.0083568656387885,0.7009473464928824,0.6947666484476545
2025-03-27,84.64523756446957,4.543860233174141,2.8572604489611475,2.8871801419766694,1.4232222048510077,1.2392090694034337,1.0083398686090026,0.700935531208698,0.6947549373463368
2025-03-31,84.64404858608961,4.543796407355534,2.8572203141467454,2.8871395868920997,1.4232022134081324,1.2391916627207407,1.0097303655474938,0.700925685442813,0.6947451783968243
2025-04-01,84.6392930065733,4.543541122010822,2.8598689497113376,2.8869773779464087,1.423122253252555,1.2391220408797907,1.0124827991404521,0.7008863051451095,0.6947061453402227
2025-04-09,84.64523756446957,4.543860233174141,2.8600698098076753,2.8871801419766694,1.4232222048510077,1.2392090694034337,1.0055305077624748,0.700935531208698,0.6947549373463368
2025-04-11,84.65475059414123,4.544370904281765,2.860391244654415,2.8875046236740256,1.4093337737033096,1.2393483404715508,1.0084531929656375,0.7010143072946088,0.6948330188134539
