date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,IFAST SECURITIES (HK) LTD,BOCI SECURITIES LTD
2024-03-07,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,46.308068459657704,0.0,0.0,53.691931540342296,0.0,0.0,0.0,0.0,0.0
2024-03-13,46.19512195121951,0.0,0.0,53.804878048780495,0.0,0.0,0.0,0.0,0.0
2024-03-20,46.29990262901656,0.0,0.0,53.70009737098344,0.0,0.0,0.0,0.0,0.0
2024-03-22,41.929176623940904,0.0,0.0,47.946991092765586,0.0,0.0,0.0,0.0,10.123832283293504
2024-03-25,42.29850097762329,0.0,0.0,47.577666739083206,0.0,0.0,0.0,0.0,10.123832283293504
2024-04-08,43.09174512809284,0.0,0.0,46.70462010072258,0.0,0.0,0.0,0.0,10.203634771184584
2024-04-11,42.87581699346405,0.0,0.0,46.971677559912855,0.0,0.0,0.0,0.0,10.152505446623094
2024-04-15,28.75511396843951,0.0,0.0,31.502045587375804,32.93395675043834,0.0,0.0,0.0,6.808883693746346
2024-04-18,28.95741556534508,0.0,0.0,31.101321585903086,33.098384728340676,0.0,0.0,0.0,6.84287812041116
2024-04-19,28.94698193567337,0.0,0.0,31.105889264209136,33.10324570421501,0.0,0.0,0.0,6.843883095902482
2024-04-24,21.85569285083848,0.0,24.911738746690204,23.367166813768755,24.724183583406884,0.0,0.0,0.0,5.141218005295675
2024-04-26,21.867755822938513,0.0,24.837178496522792,23.413180262722154,24.737829782536704,0.0,0.0,0.0,5.144055635279832
2024-05-02,22.15286903197547,0.0,24.780989925536577,23.423127463863338,24.540078843626805,0.0,0.0,0.0,5.10293473499781
2024-05-06,21.912911611785095,0.0,24.51256499133449,24.25259965337955,24.27426343154246,0.0,0.0,0.0,5.047660311958405
2024-05-10,21.818377911993096,0.0,24.40681622088007,24.579378774805868,24.169542709232097,0.0,0.0,0.0,5.0258843830888695
2024-05-20,21.733061312144315,0.0,24.29936647696768,24.900676473746376,24.063137549661764,0.0,0.0,0.0,5.003758187479867
2024-05-21,21.851175775797273,0.0,24.29936647696768,24.782562010093418,24.063137549661764,0.0,0.0,0.0,5.003758187479867
2024-05-22,21.98109153416416,0.0,24.31241942415127,24.623979372582724,24.076063601203266,0.0,0.0,0.0,5.006446067898581
