date,THE HONGKONG AND SHANGHAI BANKING,FOSUN INTERNATIONAL SECURITIES LTD,"CHINA MINSHENG BANKING CORP., LTD.",CITIC SECURITIES BROKERAGE (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,DEUTSCHE BANK AG,CHINA SECURITIES DEPOSITORY AND CLEARING,ICBC INTERNATIONAL SECURITIES LTD
2024-03-01,48.30043832139458,0.0,0.0,0.0,0.0,0.0,38.4594807938645,0.0,13.240080884740923,0.0
2024-03-04,17.52743814585758,45.574458615552054,0.0,0.0,0.0,18.160383580971303,13.937240010325166,0.0,4.800479647293895,0.0
2024-03-05,17.544667038679567,45.55907846841488,0.0,0.0,0.0,18.154254942693907,13.934659254040218,0.0,4.807340296171425,0.0
2024-03-06,17.51559590889159,45.58121400670634,0.0,0.0,0.0,18.163075450459782,13.925496703126349,0.0,4.81461793081594,0.0
2024-03-07,17.532498430037748,45.569722248501236,0.0,0.0,0.0,18.15828774640488,13.925116395465375,0.0,4.8143751795907646,0.0
2024-03-08,17.25509112415432,44.836448197334256,0.0,0.0,1.5968985246195573,17.86609809588534,13.70384561152983,0.0,4.741618446476695,0.0
2024-03-11,16.523595510537653,42.97309509865547,0.0,0.0,1.5291774820310837,17.108435181562378,13.126743109559037,0.0,4.545466477198167,4.193487140456216
2024-03-12,16.5437242470774,42.946470344469546,0.0,0.0,1.5293952601034921,17.112993622272306,13.128685422368374,0.0,4.544126633567361,4.194604470141528
2024-03-13,16.515384792614956,42.96162982629321,0.0,0.0,1.5299351144724491,17.119034261088128,13.133433495581853,0.0,4.544497405201285,4.196085104748111
2024-03-14,16.51984431454587,40.49248208713255,2.466315884809674,0.0,1.5298152957669298,17.119803010660487,13.13214093117239,0.0,4.5437899598760305,4.195808516036066
2024-03-15,16.520780525183053,22.281067832199646,24.664675946899358,0.0,1.5299093989176145,13.137510931453155,13.126782556329362,0.0,4.543206197248148,4.196066611769663
2024-03-18,16.53086876477975,22.2816035727416,24.665269000471042,0.0,1.5299461850580582,13.137826818343287,13.116615445934235,0.0,4.541702707937196,4.196167504734828
2024-03-19,16.54430709429554,22.277712452660996,24.66096161194814,0.0,1.5296790048120994,13.133635513277431,13.116449478829766,0.0,4.541820131925628,4.195434712250394
2024-03-20,16.563433047625377,26.067849886895942,20.86388076945521,0.0,1.5294527268857259,13.131692718873936,13.103622074343424,0.0,4.545254673787493,4.194814102132888
2024-03-21,16.558908554255293,26.067177613533136,20.863342703164857,0.0,1.5294132832671525,13.131354060823433,13.107257658668283,0.0,4.547840205757776,4.194705920530069
2024-03-22,16.564941852783065,26.066303015897045,20.8626427029393,0.0,1.5293619688800724,13.13091348181674,13.10237983505232,0.0,4.548891961537642,4.194565181093811
2024-03-25,16.5635868465778,26.068619628385875,20.864496846145038,0.0,1.529497889153649,13.132080476543347,13.09689610647996,0.0,4.54988423849847,4.194937968215859
2024-03-26,16.5725381978116,26.071038451313814,20.866432795346444,0.0,1.529639806317475,13.133298959830956,13.083362551034195,0.0,4.548362035399031,4.1953272029464825
2024-03-27,16.57407233701277,26.075272522413663,20.869821611646213,0.0,1.5298882277107846,13.135431875313985,13.070366222201008,0.0,4.549138657980908,4.196008545720671
2024-03-28,16.586151129893857,26.070080238400262,20.865665872103182,0.0,1.5295835860553542,13.132816259585459,13.069622503925205,0.0,4.550907401818953,4.195173008217725
2024-04-02,16.514763387509092,26.092952424851322,20.883972045152444,0.0,1.5309255428369524,13.144338135213376,13.084572763723143,0.0,4.5496221215747585,4.198853579138909
2024-04-03,16.450445592729185,26.1121491031499,20.89933645798008,0.0,1.5320518502270248,13.154730448806445,13.093724145721797,0.0,4.551819831314893,4.205742570070674
2024-04-05,16.45641337778446,26.11573874110747,20.902209490419548,0.0,1.5322624614430076,13.156538830014522,13.081386645972495,0.0,4.549129719624582,4.206320733633913
2024-04-08,16.487024064669804,26.105608720224932,20.894101742799307,0.0,1.531668112920616,13.151435546725809,13.076920341841324,0.0,4.5485523248369635,4.204689145981242
2024-04-09,16.28092259827225,22.831464371135425,20.93988339977719,0.0,1.5350241942211131,13.180252028926315,13.105573551669961,3.3485671886116237,4.558518786417606,4.219793880968517
2024-04-10,16.284324730044876,22.83217799495233,20.940991860895913,0.0,1.5332017248091352,13.180949730849012,13.101974397126053,3.3487444463575793,4.557617857516553,4.220017257448548
2024-04-11,16.28649508213335,22.832720570628204,20.94148949510387,0.0,1.533238159264152,13.181262958203426,13.100172561071776,3.3488240247176346,4.555679608454884,4.220117540422699
2024-04-12,15.147727343623545,21.21079932416113,19.453919870599684,7.087550736316002,1.4243252515464215,12.244937660339108,12.168687844552476,3.110941762419887,4.230963546792023,3.9201466596497183
2024-04-15,15.145418304149427,21.211670522387973,19.45471890793144,7.087841845648554,1.4243837533319805,12.24544060074293,12.1683740921497,3.1110695391672794,4.23077476135128,3.9203076731394337
2024-04-16,15.147181861945272,27.579843782931473,13.088277289306694,7.08813481421123,1.4244444059409338,12.245962031795818,12.165717449997855,3.1112020136382528,4.228761743927931,3.9204746063045444
2024-04-17,15.138692858751885,27.578820414682564,13.087791640166829,7.0878718043055216,1.4243915509940803,12.245507637317761,12.16442593831414,3.1110865704406137,4.228764008785507,3.932647576241101
2024-04-18,15.136375943254125,27.57682326542857,13.086843873985476,7.0873585286224605,1.4242884021834825,12.244620866017359,12.159990368875194,3.11086127783818,4.227511634954928,3.9453258388402266
2024-04-19,15.140510072536307,27.596214504400425,13.085925467117136,7.086861152875201,1.4241884486527718,12.243761564568372,12.161250206740602,3.1106429642102698,4.2269231764094375,3.9237224424894808
2024-04-22,15.126571061476826,27.582616126603316,13.089592931375007,7.088847318090949,1.4245875920106514,12.247193003791587,12.163402627937254,3.1115147536697854,4.231477500546794,3.934197084497832
2024-04-23,15.12128764165716,27.57769764563569,13.08725881943249,7.0875832479803975,1.4243335621925275,12.24500910704229,12.160057587787167,3.110959914127873,4.231969778009171,3.953842696135236
2024-04-24,15.097999904993243,27.231281360898784,13.090764947370515,7.089482039314906,1.7785196047740763,12.248289592980859,12.158300136688053,3.1117933524834136,4.232475536388438,3.961093524107712
2024-04-25,15.105729774483137,27.23580372597144,13.092938962518305,7.090659406825929,1.778814967846973,12.250323696199175,12.157872401778185,3.1123101355676943,4.229542489350251,3.946004439458908
