date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,55.93752298348491,6.304272015842387,16.117656498616743,16.822898739373688,0.0,4.817649762682276
2024-03-04,55.88459310260513,6.299760056869285,16.267636890109213,16.73380817316704,0.0,4.814201777249324
2024-03-05,55.859451954232775,6.298379307199356,16.32498917815568,16.652462356402165,0.0,4.864717204010024
2024-03-06,55.929122317770386,6.224410271342809,16.376561256355654,16.59799700007505,0.0,4.871909154456102
2024-03-07,55.984158601919276,6.100114589400221,16.48889252191784,16.529613816660326,0.0,4.897220470102334
2024-03-08,56.08869428255957,5.973979210714278,16.543900033661362,16.48592853421878,0.0,4.907497938846007
2024-03-11,56.102994294157185,6.035854485580028,16.54643252955925,16.404835556712005,0.0,4.909883133991527
2024-03-12,56.16738085770524,6.090901144703623,16.472558561384698,16.352505640889262,0.0,4.916653795317175
2024-03-13,56.16533645441702,6.059634101495697,16.594868775706004,16.262549510499728,0.0,4.91761115788155
2024-03-14,56.2047044425475,6.09776663060359,16.68407679954515,16.188056682086614,0.0,4.825395445217149
2024-03-15,56.23317583784592,6.069758987170993,16.723369274582893,16.11223244425505,0.0,4.861463456145148
2024-03-18,56.345456927742845,6.110652122597861,16.639439958276846,16.064733712581464,0.0,4.839717278800983
2024-03-19,56.34545864653122,6.112065941279321,16.715307655789157,15.986330714509469,0.0,4.840837041890825
2024-03-20,56.35997299764364,6.115055034337895,16.739783838933935,15.909380492140452,0.0,4.875807636944083
2024-03-21,56.360713264553794,6.182425236932446,16.75627036206683,15.82359095613652,0.0,4.877000180310409
2024-03-22,56.36752147305706,6.21102781085815,16.79577534755144,15.746956900578962,0.0,4.87871846795439
2024-03-25,56.42110235847157,6.2222906830608355,16.793423969919637,15.678696233775252,0.0,4.884486754772705
2024-03-26,56.43753097270242,6.2163941001318905,16.85122191880887,15.607812385559553,0.0,4.887040622797268
2024-03-27,56.30265989008176,6.204605568368723,17.124293989302704,15.491949261782532,0.0,4.876491290464276
2024-03-28,56.261547964770166,6.364469168447329,17.09815554665525,15.401767692201728,0.0,4.874059627925532
2024-04-02,56.249977979790046,6.364635114878943,17.162156454536078,15.316451382047369,0.0,4.906779068747567
2024-04-03,56.26224636151866,6.383802564070701,17.213898506610505,15.2310655618708,0.0,4.90898700592933
2024-07-22,50.411129779182076,16.119625795745105,15.423701109380788,13.647077256407902,0.0,4.39846605928413
2024-08-21,50.41024610828252,16.119343230282084,15.425183671157312,13.646838032944983,0.0,4.398388957333106
2024-11-06,46.322501828286846,14.813575227024502,14.174362435644717,12.540222048778368,8.107612893603363,4.0417255666622065
2024-11-18,46.315911726100175,14.825694331606808,14.172345910345022,12.538438005570784,8.106459458548045,4.041150567829166
2024-12-10,46.31814966373064,14.821578796001445,14.17303070364915,12.539043850110904,8.106851154403659,4.041345832104208
