date,EMPEROR SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,CGS INTERNATIONAL SECURITIES HK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FULBRIGHT SECURITIES LTD
2024-03-01,0.0,95.47259481599599,0.0,4.527405184004002,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,90.57202604297981,4.851172379017308,4.576801578002877,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,90.56933960165507,4.851028489225704,4.579631909119222,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,90.57527176734045,4.851028489225704,4.573699743433835,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,90.57258530942741,4.850884607969628,4.576530082602957,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,90.57851729916507,4.850884607969628,4.5705980928653,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,82.55745007014042,4.730501684816406,4.4571709546328835,0.0,8.254877290410285,0.0,0.0,0.0,0.0
2024-05-07,0.0,81.22984366639189,4.730501684816406,4.4571709546328835,0.0,9.582483694158821,0.0,0.0,0.0,0.0
2024-05-30,0.0,81.20979051309114,4.728997094073935,4.455753299888678,0.0,9.605459092946262,0.0,0.0,0.0,0.0
2024-07-08,0.0,81.22354029100262,4.723374127642359,4.453178054877256,0.0,9.59990752647777,0.0,0.0,0.0,0.0
2024-07-17,0.0,81.13754743388114,4.716695283304716,4.446881267404447,0.0,9.586333270809586,0.0,0.0,0.0,0.11254274460011254
2024-07-18,0.0,76.79051793590321,4.436524517635492,4.2084852457225566,0.0,9.072412710117025,5.385550230087529,0.0,0.0,0.10650936053418542
2024-07-19,0.0,76.79597995439215,4.4310624991465595,4.178444144033428,0.0,9.072412710117025,5.415591331776659,0.0,0.0,0.10650936053418542
2024-07-22,0.0,76.76047683421409,4.417407452924229,4.178444144033428,0.0,9.072412710117025,5.464749498177051,0.0,0.0,0.10650936053418542
2024-07-24,0.0,76.7625732271852,4.300091491308326,4.178558260845817,0.0,9.072660485313596,5.423932487607707,0.0,0.0,0.26218404773934534
2024-07-29,0.0,76.7625732271852,4.300091491308326,4.178558260845817,0.0,9.072660485313596,5.388428397809671,0.0,0.0,0.2976881375373817
2024-07-30,0.0,76.76676635667172,4.286670217269586,4.184248979201661,0.0,9.073156076310651,5.3887227388804675,0.0,0.0,0.3004356316659156
2024-08-12,0.0,76.7091888941947,4.282693226004502,4.103963435432158,0.0,9.064738385974486,5.361893717170339,0.0,0.0,0.47752234122382153
2024-08-13,0.0,76.72556108875094,4.282693226004502,4.087591240875913,0.0,9.064738385974486,5.361893717170339,0.0,0.0,0.47752234122382153
2024-08-14,0.0,76.72346753618838,4.282576367382021,4.087479705854264,0.0,9.06449104328963,5.364476035854128,0.0,0.0,0.4775093114315729
2024-08-30,0.0,76.7213740978731,4.282459515136632,4.090096727104053,0.0,9.064243714102512,5.364329663433335,0.0,0.0,0.4774962823503731
2024-09-02,0.0,76.72410264805795,4.282459515136632,4.0873681769191945,0.0,9.064243714102512,5.364329663433335,0.0,0.0,0.4774962823503731
2024-09-11,0.0,77.04929203178021,4.277790648550675,4.085637580234127,0.0,9.054361602093241,4.949644993799316,0.0,0.0,0.5832731435424304
2024-09-12,0.0,77.0526430547417,4.277674057317289,4.082800724983306,0.0,9.054114825363515,4.949510091168014,0.0,0.0,0.5832572464261866
2024-09-16,0.0,77.05054304130384,4.277557472439121,4.085414878105284,0.0,9.053868062085224,4.949375195890057,0.0,0.0,0.5832413501764714
2024-09-17,0.0,77.05116849492403,4.27744089391565,4.0853035361449885,0.0,9.053621312257274,4.9492403079648435,0.0,0.0,0.5832254547932139
2024-09-26,0.0,77.05326846817383,4.277557472439121,4.085414878105284,0.0,9.053868062085224,4.946649769020073,0.0,0.0,0.5832413501764714
2024-09-30,0.0,77.06417017565376,4.277557472439121,4.0826894512353,0.0,9.053868062085224,4.938473488410122,0.0,0.0,0.5832413501764714
2024-10-02,0.0,77.06542030604876,4.277324321746359,4.082466921934403,0.0,9.053374575878562,4.938204314115579,0.0,0.0,0.5832095602763432
2024-10-03,0.0,77.06604532014335,4.277207755930725,4.08235566638052,0.0,9.05312785294799,4.938069737971631,0.0,0.0,0.5831936666257886
2024-10-04,0.0,77.08620102214651,4.278023850085179,4.058603066439523,0.0,9.054855195911413,4.939011925042589,0.0,0.0,0.5833049403747871
2024-10-07,0.0,77.09142444435359,4.277557472439121,4.055435182535465,0.0,9.053868062085224,4.938473488410122,0.0,0.0,0.5832413501764714
2024-10-08,0.0,77.09625107316607,4.277674057317289,4.050094711165015,0.0,9.054114825363515,4.938608086561916,0.0,0.0,0.5832572464261866
2024-10-09,0.0,76.76567567200836,4.259332130208828,3.994735199533224,0.0,9.015292345685713,4.917432188555844,0.0,0.46677612385850165,0.5807563401495311
2024-10-10,0.0,76.76838948668195,4.259332130208828,3.992021384859628,0.0,9.015292345685713,4.917432188555844,0.0,0.46677612385850165,0.5807563401495311
2024-10-14,0.0,76.77047289504037,4.245878282108691,4.002985277155846,0.0,9.015537010652011,4.917565642173825,0.0,0.46678879164122394,0.5807721012280345
2024-10-15,0.0,76.77110330135555,4.245763056840849,4.0028766435540115,0.0,9.015292345685713,4.917432188555844,0.0,0.46677612385850165,0.5807563401495311
2024-10-16,0.0,76.80453626707543,4.244611148039123,3.9746598477963015,0.0,9.012846426197484,4.916098050653173,0.0,0.4666494838368355,0.5805987764016441
2024-10-18,0.0,76.79828547400405,4.244265697272222,3.982474939978026,0.0,9.012112909132835,4.915697950436091,0.0,0.46661150522903305,0.5805515239477503
2024-10-22,0.0,76.80662009089059,4.244726310791562,3.972054534355287,0.0,9.013090958420946,4.91623143186597,0.0,0.46666214474665946,0.5806145289289832
2024-10-29,0.0,76.80245255632876,4.244495991535425,3.9772650198727604,0.0,9.012601907242367,4.915964676677655,0.0,0.4666368236139937,0.5805830247290387
2024-10-30,0.0,76.82832530692532,4.244726310791562,3.950349318320559,0.0,9.013090958420946,4.91623143186597,0.0,0.46666214474665946,0.5806145289289832
2024-10-31,0.0,76.83103845892965,4.244726310791562,3.947636166316218,0.0,9.013090958420946,4.91623143186597,0.0,0.46666214474665946,0.5806145289289832
2024-11-01,0.0,76.84106292643888,4.244380841279961,3.93917608279866,0.0,9.012357401554508,4.915831309938824,0.0,0.46662416407807816,0.5805672739110973
2024-11-05,0.0,76.85462758237136,4.244380841279961,3.8387976288981434,0.0,9.099171199522523,4.915831309938824,0.0,0.46662416407807816,0.5805672739110973
2024-11-06,0.0,76.86547930711738,4.244380841279961,3.8279459041521413,0.0,9.099171199522523,4.915831309938824,0.0,0.46662416407807816,0.5805672739110973
2024-11-07,0.0,76.87841669040546,4.244495991535425,3.8144847325655533,0.0,9.099418060472876,4.915964676677655,0.0,0.4666368236139937,0.5805830247290387
2024-11-08,0.0,76.89010079633172,4.244841479793252,3.8012290912050792,0.0,9.10015872369867,4.916364820316634,0.0,0.4666748063435215,0.5806302823111256
2024-11-11,0.0,76.90053322117146,4.245417418558268,3.788176872040487,0.0,9.101393430389535,4.917031871158569,0.0,0.46673812463536085,0.580709062046321
2024-11-18,0.0,76.87341480285912,4.254770850004747,3.7949789092487354,0.0,9.098183889649935,4.915297915338605,0.0,0.46657353280256075,0.5967801000962986
2024-11-19,0.0,76.87529667050926,4.2544246287380485,3.7946701023937073,0.0,9.09744354784024,4.914897945344816,0.0,0.46653556655590966,0.596731538618024
2024-11-21,0.0,76.82112025153482,4.319189017035521,3.7947063845934923,0.0,9.091032295661837,4.9114342634881485,0.0,0.46620678439291474,0.596311003293263
2024-11-22,0.0,76.82716936128692,4.319071948393392,3.7891826695035844,0.0,9.090785889495724,4.911301142446707,0.0,0.4661941481792679,0.5962948406944124
2024-11-25,0.0,76.82508707023892,4.32166524372891,3.7890799691019232,0.0,9.090539496686588,4.911168028621376,0.0,0.46618151265059427,0.5962786789716903
2024-11-27,0.0,76.75435627343992,4.390798683978933,3.796422913930597,0.0,9.08217008082969,4.9066464479616565,0.0,0.4738758986717936,0.5957297011873977
2024-11-28,0.0,76.78399848429486,4.386071752398739,3.7784363877498546,0.0,9.077991149364621,4.904388778368722,0.0,0.47365785663053334,0.5954555911926704
2024-11-29,0.0,80.68548006525813,4.391440937344101,3.7698706972103495,0.0,5.2017743740477576,4.886270174066634,0.0,0.47190799142475764,0.5932557606482668
2024-12-02,0.0,80.68226252275332,4.394256050697769,3.769972358929414,0.0,5.201914649767411,4.886401941616666,0.0,0.4719207173194903,0.5932717589159306
2024-12-03,0.0,80.64171412339199,4.408402883926035,3.760466406049211,0.0,5.218661652711458,4.90213318543969,0.0,0.4734400151500805,0.5951817333315297
