date,CHINA SECURITIES DEPOSITORY AND CLEARING,CSC SECURITIES (HK) LTD,CITIBANK N.A.,CHINA MERCHANTS BANK CO LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,32.307305856665316,37.054856723281745,0.0,11.728788669255888,18.909048750797055,0.0
2024-03-04,0.0,0.0,0.0,25.86193562357891,29.66234087639789,20.052280707181637,9.391966094878656,15.031476697962908,0.0
2024-03-05,0.0,0.0,0.0,25.683169229351314,29.457304803305632,19.913672601035316,9.941475553370916,15.00437781293682,0.0
2024-03-06,0.0,0.0,0.0,25.723472668810288,29.503530823551134,19.78799673841136,9.957076262711734,15.027923506515483,0.0
2024-03-07,0.0,0.0,0.0,25.85191710325003,29.173041556554928,19.87729302857496,10.00200905620721,15.09573925541286,0.0
2024-03-08,0.0,0.0,0.0,25.855113680273266,29.195196216324824,19.879750846226372,10.049614368073694,15.020324889101841,0.0
2024-03-11,0.0,0.0,0.0,25.93930747879483,29.290266557087257,19.944486656639114,10.14436570577928,14.681573601699515,0.0
2024-03-12,0.0,0.0,0.0,25.92885375494071,29.27846237309153,19.936448887855537,10.180578160117802,14.675656823994421,0.0
2024-03-13,0.0,0.0,0.0,25.920818160687997,29.300379638955604,19.930270395909197,10.177423103742155,14.671108700705043,0.0
2024-03-14,0.0,0.0,0.0,25.920818160687997,29.297280545440458,19.930270395909197,10.180522197257302,14.671108700705043,0.0
2024-03-15,0.0,0.0,0.0,25.89754307742325,29.33909247132042,19.912374405895374,10.233307014691995,14.617683030668957,0.0
2024-03-18,0.0,0.0,0.0,25.88267958229859,29.23138621955546,19.839274421187394,10.12787092594592,14.918788851012632,0.0
2024-03-19,0.0,0.0,27.00788136675105,18.834160770401155,20.940334514743473,14.325545584204594,8.090558476415968,10.801519287483762,0.0
2024-03-20,0.0,0.0,27.03980498332773,18.914408410227804,20.965086223363574,14.342478538636364,8.100121606643954,10.638100237800568,0.0
2024-03-21,0.0,0.0,27.018112802781907,18.95494519166233,20.948267372939306,14.33097255203156,8.11813606080718,10.629566019777723,0.0
2024-03-22,0.0,0.0,27.05126768321515,19.03398435241827,20.86241597553476,14.348558594584679,8.101324250806558,10.602449143440582,0.0
2024-03-25,0.0,0.0,26.88510964838706,19.094467232322057,20.461525535507118,14.311426259134427,8.687971503453468,10.55949982119587,0.0
2024-03-26,0.0,0.0,26.836531924287677,19.067829590955306,20.630058574397296,14.240530960333711,8.680280106438834,10.544768843587176,0.0
2024-03-27,0.0,0.0,24.559495033855566,17.449954691114623,18.95866346681255,13.030218170231917,7.966063394585018,9.650062041468802,8.385543201931519
2024-03-28,0.0,0.0,24.497440796260772,17.405864060060196,19.29683907204328,12.997294844522944,7.964127789645474,9.474077906108715,8.364355531358623
2024-04-02,0.0,0.0,24.46332099421905,17.381621338502725,19.12664649784956,12.979192336148243,7.953035428370775,9.410419077935165,8.685764326974478
2024-04-03,0.0,0.0,24.60337012044114,17.48112871451908,18.637266538571872,13.053496415556577,8.018866382806918,9.464292424467304,8.741579403637111
2024-04-05,0.0,0.0,24.561485960889193,17.45136927991143,18.670391300799448,13.035327744558161,8.207878943635036,9.34684881186291,8.726697958343818
2024-04-08,0.0,0.0,24.512305197098982,17.416425479209074,18.810993516360934,13.009226417637066,8.213692239120665,9.3281331216017,8.70922402897158
