date,LIVERMORE HOLDINGS LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB INTERNATIONAL SECURITIES LTD,ADVENT SECURITIES (HONG KONG) LTD,DINGXIN (SECURITIES) LTD,BANK OF CHINA (HONG KONG) LTD,GOLDLINK SECURITIES LTD
2024-06-25,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,0.0,61.1496327254306,38.00183637284701,0.0,0.0,0.0,0.8485309017223911,0.0
2024-10-18,49.63309352517985,30.69464428457234,19.188649080735413,0.0,0.0,0.0,0.48361310951239006,0.0
2024-10-21,45.45760184765608,28.012307962169825,17.544693104910028,8.637499817280847,0.0,0.0,0.34789726798321907,0.0
2024-10-22,45.390148690732055,28.12184744944954,17.548284281474334,8.626109332280656,0.0,0.0,0.3136102460634238,0.0
2024-10-23,45.42468359060648,28.061306606189184,17.56163581827493,8.639988294681396,0.0,0.0,0.31238569024800644,0.0
2024-10-24,45.419699352620604,28.045060531802058,17.559708862148423,8.645623788449582,0.0,0.0,0.32990746497933504,0.0
2024-10-25,45.40076921952004,28.04141501294219,17.552390283850777,8.65006361416183,0.0,0.0,0.3553618695251605,0.0
2024-10-28,45.339106814265264,28.005520343488037,17.528550982854807,8.631743435464557,0.0,0.0,0.49507842392733004,0.0
2024-10-29,45.31660535995796,28.027383663221812,17.519851696152276,8.643516085712617,0.0,0.0,0.4926431949553337,0.0
2024-10-30,45.31197547982194,28.043494125374007,17.51806173830548,8.643362767277239,0.0,0.0,0.4831058892213384,0.0
2024-10-31,45.32024378672311,28.05007116528594,17.521258348235467,8.647129666800483,0.0,0.0,0.4612970329550017,0.0
2024-11-01,46.61076120721594,27.39533757017869,17.10293824275414,8.447804155148338,0.0,0.0,0.44315882470289836,0.0
2024-11-04,46.5881900529824,27.383495698740955,17.09465618412807,8.426622229818264,0.0,0.0,0.5070358343303139,0.0
2024-11-05,46.53880901737887,27.34237727017279,17.07653674603231,8.412710833517105,0.0,0.0,0.5513149751374731,0.0782511577614478
2024-11-06,46.16475668962403,27.120497911256635,16.939285311053403,8.33239245794287,0.0,0.0,0.6597888675623801,0.7832787625606864
2024-11-07,46.1026193949388,27.076242221799397,16.916485204682072,8.315539488241969,0.0,0.0,0.5320535859002276,1.0570601044375383
2024-11-08,46.09882094254122,27.078150437301346,16.91767740480503,8.316125531210137,0.0,0.0,0.5320910827172588,1.0571346014250174
2024-11-11,46.041063975054726,27.042816619859085,16.89648133679639,8.305706301778688,0.0,0.0,0.6581216434036503,1.0558101231074604
2024-11-12,46.03199178037847,27.02833939718084,16.893151957438125,8.304773432606845,0.0,0.0,0.6861413521558913,1.0556020802398327
2024-11-13,46.017095219670054,27.02029617643955,16.88768511027472,8.305603433114074,0.0,0.0,0.7140595870414014,1.0552604734601991
2024-11-14,46.01482919691598,27.02388992064832,16.88685350892003,8.303787495075694,0.0,0.0,0.7154313692385615,1.0552085092014183
2024-11-15,46.00576733717823,27.019271346180894,16.88352792235195,8.302855535237024,0.0,0.0,0.7335771557181038,1.0550007033338022
2024-11-18,45.998002869117606,27.004866248488085,16.880678461927936,8.302157463925065,0.0,0.0,0.7594723073893843,1.0548226491519226
2024-11-19,45.959542730268474,26.994934058444525,16.866564083106734,8.295918439043584,0.0,0.0,0.8291000049183898,1.0539406842182921
2024-11-20,45.956959481771364,26.998334867316327,16.86561606396358,8.296857325529928,0.0,0.0,0.8283508160555324,1.053881445363273
