date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-08,0.0,0.0,1.0956666666666666,0.0,0.0,0.0,0.0,0.0,1.0956666666666666
2024-03-13,0.0,0.0,1.1046666666666667,0.0,0.0,0.0,0.0,0.0,1.1046666666666667
2024-03-14,0.0,0.0,1.097,0.0,0.23500000000000001,0.0,1.6417000000000002,0.0,2.9737
2024-03-15,0.0,0.0,1.0933333333333333,0.0,0.23866666666666667,0.0,1.6417000000000002,0.0,2.9737
2024-03-21,0.0,0.0,1.0936666666666668,0.0,0.23866666666666667,0.0,1.6417000000000002,0.0,2.9740333333333333
2024-03-22,0.0,0.0,1.0943333333333332,0.0,0.2436666666666667,0.0,1.6417000000000002,0.0,2.9797000000000002
2024-03-25,0.0,0.0,1.0956666666666666,0.0,0.2436666666666667,0.0,1.6403666666666668,0.0,2.9797000000000002
2024-03-26,0.0,0.0,1.0999999999999999,0.0,0.2436666666666667,0.0,1.1360333333333332,0.0,2.4797
2024-03-28,0.0,0.0,1.1023333333333334,0.0,0.2436666666666667,0.0,1.1340333333333332,0.05867566666666667,2.538709
2024-04-03,3.701,0.0,1.106,0.0,0.26366666666666666,0.0,1.1340333333333332,0.05867566666666667,6.263375666666667
2024-04-05,3.9989999999999997,0.0,1.0330000000000001,0.3606666666666667,0.26366666666666666,0.0,0.9030333333333332,0.05867566666666667,6.618042333333333
2024-04-08,3.9989999999999997,0.0,1.0446666666666666,0.3606666666666667,0.26366666666666666,0.0,0.8913666666666666,0.05867566666666667,6.618042333333333
2024-04-09,4.0009999999999994,0.0,1.043,0.3606666666666667,0.26366666666666666,0.0,0.8913666666666666,0.05867566666666667,6.618375666666666
2024-04-10,4.017666666666667,0.0,1.0223333333333333,0.3606666666666667,0.26366666666666666,0.0,0.8913666666666666,0.05867566666666667,6.614375666666667
2024-04-22,4.017666666666667,0.0,1.0216666666666667,0.3606666666666667,0.26366666666666666,0.0,0.8913666666666666,0.05867566666666667,6.613708999999999
2024-04-25,4.017666666666667,0.0,1.0223333333333333,0.3606666666666667,0.26366666666666666,0.0,0.8913666666666666,0.05867566666666667,6.614375666666667
