date,CMB INTERNATIONAL SECURITIES LTD,WATON SECURITIES INTERNATIONAL LIMITED,YUEN META (INTERNATIONAL) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,EMPEROR SECURITIES LTD,OPEN SECURITIES LTD,DBS BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,IMPERIUM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,46.54950495049505,0.0,0.0,0.0,53.45049504950495,0.0,0.0
2024-03-05,0.0,0.0,0.0,46.55479655479656,0.0,0.0,0.0,53.44520344520345,0.0,0.0
2024-03-06,0.0,0.0,0.0,46.56102995791037,0.0,0.0,0.0,53.43897004208963,0.0,0.0
2024-03-07,0.0,0.0,0.0,46.60685074108957,0.0,0.0,0.0,53.39314925891042,0.0,0.0
2024-03-08,0.0,0.0,0.0,46.6279877020728,0.0,0.0,0.0,53.372012297927206,0.0,0.0
2024-03-11,0.0,0.0,0.0,46.694071616066566,0.0,0.0,0.0,53.305928383933434,0.0,0.0
2024-03-12,0.0,0.0,0.0,46.51748666271488,0.0,0.0,0.6767437265362577,52.80576961074887,0.0,0.0
2024-03-13,0.0,0.0,0.0,46.53049112221178,0.0,0.0,0.6775804935951333,52.791928384193085,0.0,0.0
2024-03-14,0.0,0.0,0.0,46.593439216268365,0.0,0.0,0.6778486962545149,52.72871208747711,0.0,0.0
2024-03-15,0.0,0.0,0.0,46.686761871818945,0.0,0.0,0.6769778129169344,52.63626031526412,0.0,0.0
2024-03-18,0.0,0.0,0.0,46.750679515690635,0.0,0.0,0.6770447244872745,52.5722757598221,0.0,0.0
2024-03-19,0.0,0.0,0.0,46.742783708975885,0.0,0.0,0.6771451166468959,52.58007117437722,0.0,0.0
2024-03-20,0.0,0.0,0.0,46.74567901234568,0.0,0.0,0.6765432098765433,52.577777777777776,0.0,0.0
2024-03-22,0.0,0.0,0.0,46.79484011268719,0.0,0.0,0.6771116492858202,52.52804823802698,0.0,0.0
2024-03-25,0.0,0.0,0.0,46.80241178214886,0.0,0.0,0.6770781852327765,52.52051003261836,0.0,0.0
2024-03-26,0.0,0.0,0.0,46.84044233807267,0.0,0.0,0.6763428120063192,52.48321484992101,0.0,0.0
2024-03-27,0.0,0.0,0.0,46.805356525176656,0.0,0.0,0.6769778129169344,52.517665661906406,0.0,0.0
2024-03-28,0.0,0.0,0.0,46.80567221700677,0.0,0.0,0.6769109145708779,52.51741686842235,0.0,0.0
2024-04-02,0.0,0.0,0.0,46.80041508128675,0.0,0.0,0.6769778129169344,52.52260710579632,0.0,0.0
2024-04-03,0.0,0.0,0.0,46.81618337202983,0.0,0.0,0.6767771575359383,52.50703947043422,0.0,0.0
2024-04-05,0.0,0.0,0.0,46.79084935026434,0.0,0.0,0.6769109145708779,52.53223973516478,0.0,0.0
2024-04-08,0.0,0.0,0.0,46.63426130505229,0.0,0.0,0.6726567486620514,52.69308194628566,0.0,0.0
2024-04-09,0.0,0.0,0.0,46.66208521500098,0.0,0.0,0.6724916552130376,52.665423129785985,0.0,0.0
2024-04-10,0.0,0.0,0.0,47.03567035670357,0.0,0.0,0.6740467404674046,52.290282902829034,0.0,0.0
2024-04-11,0.0,0.0,0.0,47.09553764497739,0.0,0.0,0.6732848437192845,52.231177511303315,0.0,0.0
2024-04-12,0.0,0.0,0.0,47.1515568215303,0.0,0.0,0.6728219231902564,52.175621255279445,0.0,0.0
2024-04-15,0.0,0.0,0.0,47.06865202221239,0.0,0.0,0.6732517568430881,52.258096220944516,0.0,0.0
2024-04-16,0.0,0.0,0.0,47.063453025086076,0.0,0.0,0.6738809640924741,52.26266601082145,0.0,0.0
2024-04-17,0.0,0.0,0.0,47.11689587426326,0.0,0.0,0.6728880157170923,52.210216110019644,0.0,0.0
2024-04-18,0.0,0.0,0.0,47.08947885939037,0.0,0.0,0.6735496558505408,52.236971484759096,0.0,0.0
2024-04-22,0.0,0.0,0.0,46.89617915725371,0.0,0.0,0.6728219231902564,52.43099891955604,0.0,0.0
2024-04-23,0.0,0.0,0.0,46.91854759568204,0.0,0.0,0.6722276741903828,52.409224730127576,0.0,0.0
2024-04-24,0.0,0.0,0.0,46.95528535006864,0.0,0.0,0.6717003333987056,52.373014316532654,0.0,0.0
2024-04-25,0.0,0.0,0.0,46.748087110064745,0.0,0.0,0.6719639003335295,52.57994898960172,0.0,0.0
2024-04-26,0.0,0.0,0.0,47.098159808659155,0.0,0.0,0.668716747205545,52.23312344413531,0.0,0.0
2024-04-29,0.0,0.0,0.0,47.035073211071655,0.0,0.0,0.6664396555917692,52.29848713333658,0.0,0.0
2024-04-30,0.0,0.0,0.0,47.05338459292423,0.0,0.0,0.6666991094457151,52.27991629763006,0.0,0.0
2024-05-02,0.0,0.0,0.0,47.03534222568396,0.0,0.0,0.6669262973420309,52.29773147697401,0.0,0.0
2024-05-03,0.0,0.0,0.0,46.94174757281554,0.0,0.0,0.6650485436893204,52.39320388349514,0.0,0.0
2024-05-06,0.0,0.0,0.0,47.08093332031631,0.0,0.0,0.6687493898271991,52.25031728985648,0.0,0.0
2024-05-08,0.0,0.0,0.0,47.086099180007814,0.0,0.0,0.6686841077704022,52.24521671222179,0.0,0.0
2024-05-09,0.0,0.0,0.0,47.083516376238585,0.0,0.0,0.668716747205545,52.247766876555865,0.0,0.0
2024-05-10,0.0,0.0,0.0,47.08093332031631,0.0,0.0,0.6687493898271991,52.25031728985648,0.0,0.0
2024-05-13,0.0,0.0,0.0,47.08868173166089,0.0,0.0,0.6686514715213041,52.24266679681781,0.0,0.0
