date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,HGNH INTERNATIONAL SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TIGER BROKERS (HK) GLOBAL LTD,UBS SECURITIES HONG KONG LTD,SINOMAX SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL
2024-03-01,47.294003795570546,16.433585398287214,7.4844441713841015,0.0,0.0,13.818698589687866,4.097491631123948,0.0,2.2931222743600626,8.578654139586263
2024-03-04,38.993075761458506,13.597854496189104,6.025730086093752,0.0,17.692562159708228,11.373105007239158,3.369134807522128,0.0,1.9022760629785573,7.046261618810565
2024-03-05,39.01857095039039,13.552866374314892,6.032824503783978,0.0,17.70295510211416,11.379079438728784,3.3710225466655315,0.0,1.880743416652143,7.0619376673501195
2024-03-06,39.02656600913088,13.606199365728433,6.071919170326702,0.0,17.704339026776044,11.380439928210873,3.371279482565448,0.0,1.7892469937004454,7.050010023561174
2024-03-07,39.13385089491854,13.605485013615205,5.9108618941258655,0.0,17.727338809907565,11.394752762554745,3.3793282118004595,0.0,1.7906283237530716,7.057754089324554
2024-03-08,39.166378289860866,13.56511194230122,5.908854900116984,0.0,17.729784590968436,11.397318579609326,3.3790584841745415,0.0,1.7945317758350923,7.058961437133539
2024-03-11,39.15159339527338,13.637324133849237,5.957276377283072,0.0,17.706886614014984,11.383776547059314,3.3744589219800405,0.0,1.732715796575451,7.05596821396452
2024-03-12,39.17887162756685,13.57570343794838,5.919959702975455,0.0,17.729141987884077,11.397612927438958,3.3787002008988947,0.0,1.7558808543296323,7.064129260957753
2024-03-13,39.20087801679133,13.574172020008577,5.87311181207177,0.0,17.737925892475793,11.40231616111736,3.38037417814094,0.0,1.767367592774358,7.06385432661987
2024-03-14,39.2084020400011,13.527004609951664,6.0744852069114375,0.0,17.74506834698353,10.698600647679925,3.381735338906458,0.0,2.3095702676232466,7.055133541942639
2024-03-15,39.26000515463893,13.524216813918338,6.037971845583189,0.0,17.754422214047302,10.704703468697943,3.3835179357489418,0.0,2.2897705259975116,7.045392041367843
2024-03-18,39.31300511586257,13.609574484163117,6.064169786939815,0.0,17.754255347285458,10.704602859442243,3.38348613540789,0.0,2.2294845976264512,6.941421673272452
2024-03-19,39.33329635715402,13.601274686910102,6.087090231160912,0.0,17.744659498952313,10.692916764417523,3.381657423408565,0.0,2.221907111746577,6.937197926249987
2024-03-20,39.263284618426106,13.576937122948598,6.116046194075133,0.0,17.73691496579702,10.6880140001491,3.3801815225586793,0.0,2.2225887819511696,7.016032794094194
2024-03-21,39.367320061993595,13.575407193127234,6.15290367044199,0.0,17.75713193194309,10.700196457900429,3.386741477180132,0.0,2.044535810935605,7.015763396477929
2024-03-22,39.43735650637534,13.565596948239705,6.155100860814492,0.0,17.756656937702495,10.699910233091702,3.3866508835695077,0.0,1.982915724087205,7.015811906119556
2024-03-25,39.541255631974344,13.413440337118423,6.154821523320825,0.0,17.764712546698696,10.704764429094622,3.386769585936679,0.0,1.983815307482982,7.050420638373432
2024-03-26,39.75346647441286,13.3528642736813,6.063694521625127,0.0,17.803030347877755,10.727854193929513,3.3928907448487493,0.0,1.8185494266439224,7.087650016980773
2024-03-27,39.73450279858019,13.352650177942998,6.107063986159409,0.0,17.79485572184149,10.722454908310684,3.391806201199615,0.0,1.8148741726369204,7.081792033328696
2024-03-28,39.70391553136247,13.363618637038973,6.125741946828335,0.0,17.786772758346856,10.717584443893806,3.3897923832791133,0.0,1.8299771995765077,7.082597099673937
2024-04-02,39.71913459078241,13.370465561878172,6.115403400802041,0.0,17.80281956734995,10.722280970516335,3.392850574423377,0.0,1.7769292698285601,7.100116064419155
2024-04-03,39.685117566356496,13.378834441561718,6.063348866891867,0.0,17.80923172029568,10.72566912750473,3.396915122986056,0.0,1.8384466737720615,7.102436480631392
2024-04-05,39.70199094184898,13.350215209159666,6.138231500679736,0.0,17.825102801648573,10.733567922234489,3.3970972997246185,0.0,1.748821764477547,7.104972560226383
2024-04-08,39.69368726018712,13.370310876243208,6.141902475735686,0.0,17.828188403448493,10.73495169057588,3.3979224810145614,0.0,1.7389279388458676,7.094108873949183
2024-04-09,39.69519934676583,13.370820203267847,6.131702363822986,0.0,17.82886754832689,10.735360626542649,3.3978147828672056,0.0,1.7155023226880446,7.124732805718543
