date,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,FIRST SHANGHAI SECURITIES LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,NANYANG COMMERCIAL BANK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,0.0,79.10981355480354,0.0,0.0,0.0,11.749506652192244,9.140679793004216,0.0,0.0
2024-03-04,0.0,79.11157092623672,0.0,0.0,0.0,11.747822002729235,9.140607071034053,0.0,0.0
2024-03-05,0.0,79.1128473928927,0.0,0.0,0.0,11.747775270900634,9.139377336206666,0.0,0.0
2024-03-07,0.0,79.11715826121943,0.0,0.0,0.0,11.74526365342853,9.137578085352043,0.0,0.0
2024-03-08,0.0,79.12131012559219,0.0,0.0,0.0,11.742928495104705,9.1357613793031,0.0,0.0
2024-03-11,0.0,79.19141097247454,0.0,0.0,0.0,11.672355374146589,9.136233653378875,0.0,0.0
2024-03-12,0.0,79.19634261666009,0.0,0.0,0.0,11.669239901510519,9.134417481829397,0.0,0.0
2024-03-18,0.0,79.21241093131161,0.0,0.0,0.0,11.653244218702136,9.134344849986258,0.0,0.0
2024-03-19,0.0,79.21918567122624,0.0,0.0,0.0,11.649446390176536,9.131367938597215,0.0,0.0
2024-03-20,58.689752085062786,32.72605140424646,0.0,0.0,0.0,4.812185676264271,3.7720108344264784,0.0,0.0
2024-03-21,58.66928428307388,32.748913199657906,0.0,0.0,0.0,4.810410857790511,3.771391659477711,0.0,0.0
2024-03-22,58.66716563787586,32.75134174798352,0.0,0.0,0.0,4.810237145873128,3.7712554682674924,0.0,0.0
2024-03-27,58.664276822825435,32.754653122139175,0.0,0.0,0.0,4.810000286203634,3.7710697688317474,0.0,0.0
2024-04-02,58.66620266791415,32.75572839982543,0.0,0.0,0.0,4.810158190058067,3.767910742202353,0.0,0.0
2024-04-03,58.66716563787586,32.7562660651436,0.0,0.0,0.0,4.810237145873128,3.766331151107411,0.0,0.0
2024-04-09,57.63953966531995,32.18282320236979,0.0,0.0,0.0,4.725980056383515,3.6995529871166943,0.0,1.752104088810056
2024-04-12,57.63958614263347,32.182849152805424,0.0,0.0,0.0,4.725903232721816,3.699555970230111,0.0,1.7521055016091784
2024-04-17,49.83560544264941,27.82552547186345,13.537041663852012,0.0,0.0,4.08605031068853,3.200893949641151,0.0,1.5148831613054492
2024-04-18,49.83386830592063,27.824555548013514,13.536569798564846,0.0,0.0,4.0857684524696785,3.204407538525906,0.0,1.5148303565054284
2024-04-19,49.83331244774429,27.82424518666228,13.536418808620498,0.0,0.0,4.085722878889337,3.2054872183367014,0.0,1.5148134597468972
2024-04-25,48.50918252550582,27.084922155427044,13.176740185947338,0.0,0.0,3.9771604002544954,3.120313640007881,2.6571180144345345,1.4745630784228834
2024-04-26,48.51234296222122,27.08668677354586,13.177598667812104,0.0,0.0,3.977419517458652,3.1140018016752826,2.657291129149991,1.4746591481368958
2024-04-29,43.40455580113887,24.234772755583084,11.790150336533555,10.528840392351304,0.0,3.5586433647312017,2.786133522161948,2.377509187401679,1.3193946400983547
2024-04-30,43.40516198475327,24.235111215956014,11.79031499657473,10.528562387985678,0.0,3.5577215236276785,2.786172433019518,2.377542391453325,1.3194130666297865
2024-05-08,43.405530974373704,24.2353172399421,11.790415226677705,10.527923230101138,0.0,3.5577517680100192,2.786196118421473,2.3775626030692822,1.319302839404579
2024-05-14,43.404981126025774,24.23555270021543,11.790529777453521,10.52802551502924,0.0,3.5577863336480693,2.7862231879453874,2.377585702479735,1.3193156572028402
2024-05-20,43.405613692389345,24.235905899204184,11.790701607790785,10.528178946148037,0.0,3.5578381833645083,2.7848064342988916,2.3776203524370176,1.319334884367235
2024-05-21,43.405824551941116,24.23772389481952,11.790758885682848,10.528230090848103,0.0,3.557855466939161,2.7826339135754687,2.377631902647213,1.3193412935465711
2024-05-22,43.40745878293244,24.23863644607173,11.791202808215855,10.528626479122623,0.0,3.557989420336585,2.7789736759416126,2.3777214205813006,1.3193909667978527
2024-05-29,43.405613692389345,24.237606151275905,11.790701607790785,10.528178946148037,0.0,3.5578381833645083,2.7831061822271708,2.3776203524370176,1.319334884367235
2024-05-30,43.40529740690289,24.239372669171022,11.790615691996113,10.528102230029631,0.0,3.557812258317381,2.7818714455358475,2.3776030273321336,1.3193252707149858
2024-05-31,43.40708975227492,24.244017112603725,11.791102564722056,10.528536969483927,0.0,3.550186326698351,2.7819863180216697,2.3777012062650553,1.319379749930299
2024-06-05,43.4081441422296,24.244606017509593,11.791388979226456,10.528792715346675,0.0,3.550272563320559,2.779624821371579,2.377758962366223,1.3194117986293175
2024-06-06,43.41394420272822,24.247845505961482,11.792964507754425,10.53019953970955,0.0,3.537385252304108,2.779996226149323,2.3780766710843766,1.3195880943085239
