date,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CITIBANK N.A.,CMBC SECURITIES CO LTD,BNP PARIBAS
2024-03-01,37.45537511496945,17.91023747412746,15.54805580051301,8.463697198538718,9.953368655145947,7.033715538933656,0.0,3.6355502177717547,0.0,0.0
2024-03-04,36.369718556597505,17.406823712392626,15.093581867090894,8.25452974121288,9.724748337375317,6.827125615260171,0.0,3.481868933355549,0.0,2.841603236715058
2024-03-05,36.377749555980124,17.433588787192345,15.11126554496144,8.2566775683151,9.761449048110467,6.842380176541367,0.0,3.3185391309520975,0.0,2.898350187947061
2024-03-06,36.29757531814221,17.58555378678426,15.071730511789797,8.273938193586849,9.706453534253859,6.8133223267354355,0.0,3.3660023297322774,0.0,2.8854239989753183
2024-03-07,36.331074274637956,17.637373884387852,15.083590191997828,8.301337228926693,9.742255096147467,6.58611945969511,0.0,3.400839361761497,0.0,2.9174105024455934
2024-03-08,36.43903093209344,17.70900437388542,15.138870560252245,8.040985214683472,9.786691848967578,6.607254549034809,0.0,3.3824189238852846,0.0,2.8957435971977534
2024-03-11,36.40929254951803,17.744639588416195,15.149323546295982,8.087725991422733,9.817194992182829,6.602771002083277,0.0,3.3303530958091168,0.0,2.85869923427184
2024-03-12,36.420754916058165,17.808027512739105,15.134196038574089,8.11157900906106,9.679990549898582,6.684697144772757,0.0,3.312047562952963,0.0,2.8487072659432826
2024-03-13,36.43281602849321,17.66740527260797,15.146439002570258,8.175647379936885,9.711381075106807,6.686146895165181,0.0,3.3424557708320743,0.0,2.8377085752876186
2024-03-14,36.34547624246747,17.416240704062822,15.104813848379806,8.116394317359319,9.885213332950848,6.736380243004163,0.0,3.554481656181416,0.0,2.840999655594157
2024-03-15,36.41240998484127,17.440611122921943,15.185427998468592,7.563848677318188,9.92279108991726,6.79262409789712,0.0,3.65585005129197,0.0,3.0264369773436584
2024-03-18,36.23324407704656,17.382396422285776,15.049785145085417,7.54503717126126,9.795469729464754,6.759085467144773,0.0,3.69453816313121,0.0,3.540443824580255
2024-03-19,36.24088964323528,17.49681402136678,15.05280482946367,7.5571147104094765,9.735853054701673,6.760629121426128,0.0,3.6284256899407277,0.0,3.52746892945627
2024-03-20,36.1960093944672,17.4672343629935,15.032544777262267,7.366365424089387,9.71208654136018,6.947563755561716,0.0,3.608769542235837,0.0,3.6694262020299115
2024-03-21,36.17365548695333,17.485020740967496,15.026223046176007,7.194295092217273,9.726683048067736,7.050883019794749,0.0,3.683362875251424,0.0,3.659876690571983
