date,GAOYU SECURITIES LIMITED,INNOVAX SECURITIES LTD,ADVENT SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHIEF SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-07-25,0.0,0.0,0.0,10.038609921158185,0.0,0.0,25.634726504800202,42.026441534732164,21.6216213686484,0.6786006706610428
2024-07-26,0.0,0.0,0.0,10.050368864350839,0.0,0.04685486650047011,25.547617130752993,42.075670117422156,21.60009345671672,0.6793955642568166
2024-07-29,0.0,0.0,0.0,10.327543882415855,0.0,0.0932509605635743,25.42254428928145,41.86968129304486,21.610910110608344,0.6760694640859137
2024-07-30,0.0,0.0,0.0,10.598489127269156,0.0,0.09296920287078207,25.345730094761997,41.743172088981154,21.545612765303744,0.6740267208131699
2024-07-31,0.0,0.0,0.0,10.665737066739432,0.0,0.09294759971014756,25.339840532823978,41.73347226985625,21.49413243297162,0.6738700978985699
2024-08-01,0.0,0.0,0.0,10.658307210031348,0.0,0.09288285150354116,25.322187391152905,41.70440032508998,21.548821548821547,0.6734006734006733
2024-08-02,93.75457198936763,0.0,0.0,0.6822675618712383,0.0,0.0057942043471018116,1.5796449601286313,2.6015977518487134,1.334115550920192,0.04200798151648813
2024-08-05,90.85592020980475,0.0,0.0,0.6076825562911242,3.381827206202923,0.005365850386676594,1.5098161525511264,2.4092668236177905,1.1965846362288803,0.03353656491672871
2024-08-06,90.62614990399346,0.0,0.0,0.667696980644816,3.3532036743404983,0.005352280405970469,1.5769156146090493,2.3416226776120803,1.3862406251463515,0.04281824324776375
2024-08-07,90.63100072928724,0.0,0.0,0.6637182944045604,3.3533831568101378,0.005352566890359358,1.577000020072126,2.3417480145322194,1.384976682880484,0.04282053512287486
2024-08-08,90.6128128114736,0.0,0.0,0.6849910696965035,3.3567238161494672,0.005351492732003933,1.576683546166659,2.341278070251721,1.3793472516740137,0.04281194185603147
2024-08-09,90.60069158790992,0.0,0.0,0.7116533231668573,3.3428978469811583,0.0053507768659162205,1.5764726341205664,2.3409648788383466,1.3791627371899058,0.042806214927329764
2024-08-12,90.50222693817965,0.0,0.0,0.7191084137036111,3.3779171538445945,0.005406830178222639,1.5929873412588453,2.3654882029724047,1.3936104784368855,0.043254641425781115
2024-08-13,90.563434577069,0.0,0.0,0.7195947545329736,3.3802016758983098,0.005410486876187771,1.594064695896822,2.299456922379803,1.394552992337398,0.043283895009502166
2024-08-14,90.39476837744377,0.0,0.0,0.7450268771184989,3.4224672167631045,0.005478138802341904,1.6482350121546203,2.3282089909953094,1.4119902763036258,0.043825110418735234
2024-08-15,90.2758120749767,0.0,0.0,0.7911905830370396,3.450585108219131,0.005523145431323138,1.6617763816493492,2.347336808312334,1.423590734923539,0.044185163450585103
2024-08-16,90.17405560012557,0.0,0.0,0.799469810596812,3.4866929435976144,0.005580941086190659,1.6791656493076144,2.37189996163103,1.4384875649656423,0.04464752868952527
2024-08-19,90.05529960459718,0.0,0.0,0.8305588880449211,3.5479771986739452,0.005679035131931085,1.6433707913025577,2.413589931070711,1.4580922701233061,0.04543228105544868
2024-08-20,90.06651664335863,0.0,0.0,0.8192124486217496,3.548027572107023,0.0056791157616759074,1.6433941235349656,2.4136241987122604,1.4581129718102892,0.04543292609340726
2024-08-21,90.06567037023889,0.0,0.0,0.8192822406020376,3.548329842746086,0.005679599588229029,1.6435341308437754,2.413829824997338,1.4582371942778034,0.045436796705832234
2024-08-22,90.06552931069982,0.0,0.0,0.8192938737549076,3.548380226193265,0.005679680234002825,1.6435574677145677,2.413864099451201,1.4582579000802254,0.0454374418720226
