date,DBS BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,UOB KAY HIAN (HONG KONG) LTD,DBS BANK LTD
2024-03-01,0.0,0.0,39.40304965268113,0.0,49.21897693511047,0.0,11.377973412208393,0.0,0.0
2024-03-04,0.0,0.0,39.396102535197485,0.0,49.23141774185496,0.0,11.372479722947554,0.0,0.0
2024-03-05,0.0,0.0,39.395034805849264,0.0,49.23279369281855,0.0,11.372171501332195,0.0,0.0
2024-03-06,0.0,0.0,33.952581861758105,0.0,42.47536817585662,13.770952292391462,9.801097669993803,0.0,0.0
2024-03-07,0.0,0.0,33.95152446675543,0.0,42.49013605157756,13.757547050071258,9.800792431595754,0.0,0.0
2024-03-08,0.0,0.0,33.958458176170446,0.0,42.48271320925462,13.757832692826327,9.800995921748603,0.0,0.0
2024-03-12,0.0,0.0,33.95731248152611,0.0,42.48465373456031,13.757368529372496,9.800665254541086,0.0,0.0
2024-03-13,0.0,0.0,33.95010343284205,0.0,42.48706609958968,13.7612494645584,9.801581003009872,0.0,0.0
2024-03-14,0.0,0.0,33.95045590413071,0.0,42.48646899808254,13.76139233438329,9.801682763403443,0.0,0.0
2024-03-15,0.0,0.0,33.95618458851201,0.0,42.493638020261585,13.7468407252328,9.803336665993607,0.0,0.0
2024-03-18,0.0,0.0,33.975323589465276,0.0,42.49031624209139,13.725497967939027,9.808862200504311,0.0,0.0
2024-03-19,0.0,0.0,33.97426464799627,0.0,42.492108701516834,13.725070172190659,9.808556478296236,0.0,0.0
2024-03-20,0.0,0.0,33.98501288755705,0.0,42.47080867967165,13.745830912046616,9.79834752072469,0.0,0.0
2024-03-21,0.0,0.0,33.98802296931764,0.0,42.46458135146452,13.742058804912968,9.805336874304874,0.0,0.0
2024-03-22,0.0,0.0,21.80121458689218,35.84236624311707,27.238402516720562,8.831329846218933,6.286686807051257,0.0,0.0
2024-03-25,0.0,0.0,21.7811769045977,35.840740363496984,27.268191646008393,8.826583220566455,6.283307865330469,0.0,0.0
2024-03-26,0.0,0.0,21.760550430304132,35.82869725107142,27.272669369458676,8.856886384613672,6.281196564552103,0.0,0.0
2024-03-27,0.0,0.0,21.74286702694766,35.82696895372104,27.272684493817607,8.876585952033338,6.280893573480349,0.0,0.0
2024-03-28,0.0,0.0,21.73412209074104,35.785183049531,27.26164357151017,8.945483280498488,6.273568007719306,0.0,0.0
2024-04-02,0.0,0.0,21.713005167508257,35.74877442630223,27.270255328691178,8.994306941131777,6.273658136366556,0.0,0.0
2024-04-03,0.0,0.0,21.595346282297047,35.79309226642873,27.28162803656889,9.038527013038875,6.29140640166646,0.0,0.0
2024-04-05,0.0,0.0,21.59653833451128,35.78405344673309,27.245664468776987,9.083926115431638,6.289817634547001,0.0,0.0
2024-04-08,0.0,0.0,21.583027473768706,35.796364017149926,27.241575823479884,9.087051203322305,6.291981482279187,0.0,0.0
2024-04-09,0.0,0.0,21.585861571199043,35.80106448761913,27.215400117877408,9.104866132164025,6.2928076911404025,0.0,0.0
2024-04-10,0.0,0.0,21.587009771847733,35.80296882696332,27.21152854089524,9.10535044052321,6.293142419770492,0.0,0.0
2024-04-11,0.0,0.0,20.34825954774479,33.74844918173711,25.64657348878455,8.614185898434314,5.935150110897165,5.707381772402068,0.0
2024-04-12,0.0,0.0,20.346410496283617,33.74538245167474,25.65176327487312,8.611836396723048,5.937744239260043,5.70686314118543,0.0
2024-04-15,0.0,0.0,20.32921130502523,33.76068817993992,25.62663548331629,8.592503043129893,5.988922962726608,5.702039025862059,0.0
2024-04-16,0.0,0.0,20.33576091249456,33.74558009578902,25.62377329978951,8.60274018523574,5.9926581730509945,5.69948733364017,0.0
2024-04-17,0.0,0.0,20.337797560449193,33.74895975131191,25.62680900585598,8.59155233468921,5.994823204371508,5.7000581433222095,0.0
2024-04-18,0.0,0.0,20.34413286977084,33.75947269395837,25.584857271875787,8.609882116605345,5.999821312425981,5.701833735363677,0.0
2024-04-19,0.0,0.0,20.352479851299606,33.77332384685838,25.55432552958978,8.609812882801943,6.005884752295746,5.7041731371545445,0.0
2024-04-22,0.0,0.0,20.366513103652267,33.809147472501735,25.60015276548037,8.506054558861937,6.0100258740138734,5.708106225489814,0.0
2024-04-23,0.0,0.0,20.36861990894364,33.80978325996165,25.574777044250673,8.508565165654955,6.0300410536741325,5.708213567514956,0.0
2024-04-24,0.0,0.0,20.383984460264244,33.791090501046824,25.59744372765209,8.494306928613545,6.028116773029431,5.705057609393858,0.0
2024-04-25,0.0,0.0,20.395803953749958,33.81068399979733,25.55022742255592,8.491396581048804,6.043522400553043,5.708365642294948,0.0
2024-04-26,0.0,0.0,20.393023543151983,33.80607483683758,25.54737111808093,8.503244507921297,6.042698531399872,5.707587462608335,0.0
2024-04-29,0.0,0.0,20.381326704046646,33.79707205237497,25.5734643926597,8.500980036878529,6.041089320253259,5.706067493786892,0.0
2024-04-30,0.0,0.0,5.784487975499893,9.591094231673212,7.2575374653280855,2.416894159435608,1.7181478170218478,1.6192950365755636,0.0
2024-05-02,0.0,0.0,20.3737246425463,33.78109069021572,25.57765566544841,8.512617936640119,6.051541755719534,5.703369309429915,0.0
2024-05-03,0.0,0.0,20.369674077843325,33.77437456461874,25.564586654935166,8.54223467614334,6.046894621939795,5.702235404519638,0.0
2024-05-06,0.0,0.0,20.371428061671555,33.77728279508764,25.556611607043244,8.544535820302961,6.047415305547071,5.7027264103475215,0.0
2024-05-07,0.0,0.0,20.366071385920243,33.79735689491054,25.550830593728985,8.538689114352465,6.0458251350972,5.701226875990568,0.0
2024-05-08,0.0,0.0,20.368694684026867,33.793918810657466,25.550265927583194,8.537194495282094,6.049279171881555,5.70064691056882,0.0
2024-05-09,0.0,0.0,20.36544370274455,33.78852507290383,25.54650088694726,8.55147962253916,6.0483136660568375,5.699737048808365,0.0
2024-05-10,0.0,0.0,20.36604919903725,33.78952965826746,25.54428726870502,8.551733871318817,6.048493491822255,5.699906510849203,0.0
2024-05-13,0.0,0.0,20.363468123142102,33.785247367693714,25.5613899969304,8.535160332558924,6.055550042181225,5.699184137493627,0.0
2024-05-14,0.0,0.0,19.795122425121114,32.832208344942174,24.84550521793211,8.371938976266117,5.884730647798396,8.270494387940094,0.0
2024-05-16,0.0,42.40122254023641,11.4079311775246,18.904211153583777,14.319665042783955,4.816261695644658,3.388481874652982,4.762226515573615,0.0
2024-05-17,0.0,42.39278121114735,11.40706727734547,18.903667463024018,14.318858251668074,4.8240960526254355,3.3922119781421767,4.76131776604747,0.0
2024-05-20,0.0,42.393438693224226,11.407197084895246,18.90388257867956,14.317708166551474,4.824150948776502,3.39225058006452,4.7613719478084695,0.0
2024-05-21,0.0,42.38476736113441,11.404910907236303,18.900093950000922,14.311513007783,4.827472478641537,3.4108245995303954,4.760417695673436,0.0
2024-05-22,0.0,42.38061322420105,11.409043653486561,18.898241549168976,14.314660805137644,4.826999337393705,3.41049030413787,4.759951126474193,0.0
2024-05-23,0.0,42.37330836950738,11.407077155134083,18.908108284685127,14.31630570210149,4.826167340730996,3.4099024613906654,4.759130686450262,0.0
2024-05-24,0.0,42.37282641182745,11.406947410050394,18.907893222223603,14.317280275862688,4.826112447485601,3.409863676864691,4.75907655568558,0.0
2024-05-27,0.0,42.36596897127498,11.405101357512166,18.90483324806744,14.331146807945558,4.825331409683533,3.4093118388251695,4.7583063666911505,0.0
2024-05-28,0.0,42.33597061704908,11.423250733170995,18.90893055126152,14.338482631803284,4.831530561098713,3.406897784651712,4.7549371209647004,0.0
2024-05-29,0.0,42.327497302291505,11.420964431531843,18.904009839533714,14.338060044871645,4.849267023116169,3.4062159125496794,4.753985446105446,0.0
2024-05-30,0.0,42.34170775555634,11.400231279387164,18.892171238889375,14.343310852046567,4.859637921408852,3.407359468751209,4.755581483960487,0.0
2024-05-31,23.662798915393285,21.529627600878488,5.796713146906164,9.827800089834382,7.295902275959405,2.4709960998044553,1.7325512916968737,2.4180861803304725,0.0
2024-06-03,31.66255058603736,28.808211803207623,7.7564249226353095,13.150313223995541,9.762270854653135,3.3063729818142376,2.318279976616405,3.235575651040389,0.0
2024-06-04,31.66552667459029,28.810919601151593,7.755012345178769,13.151549274027168,9.773182743775724,3.289431704728998,2.3184978809346988,3.2358797756127613,0.0
2024-06-05,31.664208085322255,28.809719881033917,7.758615583997653,13.151001628257402,9.773013726594417,3.2892947289765226,2.3184013359930913,3.2357450298247437,0.0
2024-06-06,31.663850201469433,28.809394259956584,7.7585278924555094,13.150852989418294,9.773438647665737,3.289257551812088,2.3189699993180204,3.2357084579043316,0.0
2024-06-07,31.6654324860006,28.81083390354382,7.726731683849239,13.151510154959578,9.799626577618211,3.2909091621669018,2.3190858813202033,3.235870150541446,0.0
2024-06-11,31.66652510809093,28.811828027138308,7.72699829627361,13.151963950451645,9.79651419566666,3.2910227156466925,2.3191659018430375,3.235981804889117,0.0
2024-06-12,31.666186010407564,28.811519498681076,7.726915552517777,13.151823114016576,9.796647255065869,3.2918203492991607,2.319141067296716,3.2359471527152612,0.0
2024-06-13,31.651532572119883,28.79791653684407,7.733138253783816,13.117071422148236,9.747305727321764,3.2876497897044636,2.4309663532112693,3.234419344866496,0.0
2024-06-14,31.647279608798783,28.794047009121325,7.7320991649727,13.115308903271414,9.769183452006999,3.277457412120864,2.4306397083414994,3.233984741366415,0.0
2024-06-17,31.641447756786263,28.78874094101454,7.730674320289882,13.112892059183459,9.776953713053087,3.28571061750666,2.430191798402635,3.233388793763476,0.0
2024-06-18,31.64125966831276,28.788569810085914,7.730628366301202,13.112814111300999,9.777490032224739,3.2856910860269637,2.4301773524433607,3.2333695733040604,0.0
2024-06-19,31.64191798775331,28.789168777237357,7.730789207651849,13.113086932944015,9.778287909392258,3.2830844250572366,2.430227914052218,3.2334368459117537,0.0
2024-06-20,31.641654656689884,28.788929187385936,7.730724870308456,13.112977802924519,9.778206532310291,3.283057102500073,2.431039911348078,3.233409936532762,0.0
2024-06-21,31.641391330009416,28.78868960152233,7.731492749301906,13.112868674721417,9.778125156582789,3.283029780397675,2.431019679862813,3.2333830276016577,0.0
2024-06-24,31.642087274322893,28.789322801390554,7.731662801508444,13.113157088915736,9.77952912904643,3.279713610261971,2.4310731495192046,3.2334541450347665,0.0
2024-06-25,31.644081230230398,28.7911369876601,7.7321500195160375,13.118144856921985,9.769682371097629,3.2799202845016127,2.4312263458815693,3.2336579041906726,0.0
2024-06-26,31.643930734224746,28.791000059964734,7.732113246203373,13.118082468370137,9.771538266475327,3.278477916298074,2.4312147832183584,3.233642525245249,0.0
2024-06-27,31.644965423173865,28.791941464174165,7.732366069792087,13.118511401648927,9.771917225568485,3.275255878444018,2.431294278749121,3.2337482584493307,0.0
2024-06-28,31.64481491875786,28.7918045288267,7.732329294424373,13.118449009610542,9.772346353068674,3.2752403012276528,2.431282715439739,3.233732878644466,0.0
2024-07-02,31.645322876899595,28.79226669084481,7.732453412692399,13.118659585118678,9.77327608474291,3.272914821579663,2.431321742049733,3.2337847860722113,0.0
2024-07-04,31.64537931769975,28.79231804309603,7.732467203857034,13.118682982814661,9.773115161483796,3.272920658964609,2.4313260784170723,3.2337905536670486,0.0
2024-07-05,31.646037808577855,28.792917166228683,7.730844524108706,13.118955962101467,9.77302126134975,3.272988763327557,2.4313766705123117,3.233857843793671,0.0
2024-07-08,31.646000179789436,28.79288292994942,7.730835331731618,13.118940362979039,9.7731285459303,3.272984871573322,2.431373779478722,3.233853998568139,0.0
2024-07-09,31.50128084902865,28.66121110018823,7.695481691174397,13.058946548315742,9.727606828183546,3.273049191339597,2.8633584294840704,3.219065362285764,0.0
2024-07-11,31.502175723399837,28.662025295121563,7.695700300994498,13.059317521059258,9.728593354587732,3.269591226278317,2.863439770496404,3.219156808062388,0.0
2024-07-12,31.49714271630447,28.657446050248296,7.695890933117236,13.057231073496991,9.72703904672622,3.2836253995598788,2.8629822874067083,3.2186424931401953,0.0
2024-07-15,31.492893873678458,28.653580271709984,7.694852787221391,13.061445365423573,9.733240857855934,3.283182451204494,2.8625960821788308,3.2182083107273356,0.0
2024-07-16,31.49069536138666,28.651579971303043,7.6943156111681485,13.067396205944192,9.732679704037682,3.282953252928713,2.862396244948935,3.2179836482826243,0.0
2024-07-17,31.49065810111187,28.651546070313216,7.6943065071356465,13.067380744400145,9.73278650971856,3.282949368487962,2.8623928581177,3.217979840714908,0.0
2024-07-18,31.486876641834353,28.648105537112713,7.69338255989288,13.076459247580082,9.732978312126447,3.2825551455629536,2.8620491364338134,3.2175934194567546,0.0
2024-07-19,31.482611947670442,28.644225336168006,7.692340540893119,13.074688125595765,9.73810691916444,3.289208022952081,2.861661490355486,3.217157617200662,0.0
2024-07-22,28.524990182639332,25.953254700138086,16.36355831432281,11.84639162225824,8.823853724370466,2.980204651358643,2.5928238118904683,2.9149229930219533,0.0
2024-07-23,28.522727986016523,25.95119645700609,16.362260589551695,11.843844585305586,8.832156219596648,2.980504153772632,2.5926181859732202,2.914691822777605,0.0
2024-07-24,28.51915200177741,25.947942873773734,16.360209201409116,11.84235968520808,8.84358621930188,2.980130478579862,2.592293141265869,2.9143263986840457,0.0
2024-07-25,28.519289523052336,25.948067996504793,16.360823876715216,11.845685080034528,8.839342581482223,2.980144848970077,2.592305641478279,2.9143404517625484,0.0
2024-07-26,28.520053554287212,25.948763144762882,16.361262182881994,11.851360421990128,8.831542392895688,2.980224686995047,2.5923750892981072,2.914418526888943,0.0
2024-07-29,28.515011704514738,25.94417585444421,16.358905501004017,11.850336717265877,8.828909719883729,2.996840392100293,2.591916802439379,2.91390330834776,0.0
2024-07-30,28.511620917531683,25.941090771587334,16.35792437931662,11.859640390013517,8.829681033600439,2.994877107158,2.591608591527669,2.9135568092647435,0.0
2024-07-31,23.663021191237036,21.529627600878488,13.576145402326443,9.84282593687191,7.328043362965713,2.4855773951544817,2.1508874994547407,2.4180861803304725,0.0
2024-08-02,27.80858665434543,25.301440164222655,15.954573712354088,11.567207575780909,8.613005262421082,2.8975204767613274,2.5277051873023595,2.841714865568262,2.4882461012438877
2024-08-05,27.80786026650748,25.30077926553527,15.954156963079901,11.566905428857496,8.612780282189306,2.9000568897418755,2.5276391611382536,2.841640637160219,2.488181105790208
2024-08-06,27.807831211783274,25.30075283030592,15.954140293561785,11.56689334330888,8.612875767078796,2.90005385965066,2.5276365201634357,2.8416376681045565,2.4881785060426873
2024-08-07,27.802529741057214,25.295929325752276,15.952143329014659,11.564688153483612,8.62925377965115,2.8995009740076254,2.5271546346501172,2.8410959193145553,2.487704143068799
2024-08-08,27.803183237789362,25.29652390499758,15.952518283151331,11.564959980759298,8.627106115944803,2.899569126597661,2.527214035262607,2.8411626990974135,2.4877626163999387
2024-08-09,27.801251880665262,25.29476667377549,15.957050929509073,11.564156617070406,8.627812570393377,2.899367707089629,2.527038481521534,2.8409653368107755,2.487589803164448
2024-08-12,27.796330311588115,25.290288819972012,15.960701422219284,11.56748814345191,8.619966556790692,2.9110217757661454,2.5265911277656383,2.840462409560919,2.487149432885281
2024-08-13,27.79455955379651,25.288677708883682,15.959684650002014,11.565445814862395,8.619417424125599,2.9185122280184794,2.526430171953287,2.8402814586624694,2.486990989695558
2024-08-14,27.793282425934514,25.28751572339395,15.957907029059083,11.564914396004758,8.622102032950913,2.9183781257573953,2.5288726005483997,2.8401509510147496,2.486876715336242
2024-08-15,27.792063458818344,25.28640665503549,15.954074403534491,11.564407178104616,8.626945112367162,2.9205474719531503,2.5287616884044573,2.840026386720357,2.4867676450619394
2024-08-16,27.792368190573175,25.286683913004648,15.958008662394088,11.549757734182014,8.601977523248193,2.95034083485381,2.5340107032409045,2.840057526769597,2.4867949117335724
2024-08-19,27.79871103005902,25.29245489934484,15.959039396914438,11.54215758751361,8.551298095126882,2.9931595767319634,2.5351112690425994,2.840705691362817,2.4873624539038257
2024-08-20,27.79670771536564,25.290632198052084,15.933554308570052,11.532500447667388,8.53929766117789,3.0489770394816875,2.5306464517612475,2.840500975847593,2.487183202076419
2024-08-21,27.79554650571818,25.28957567990614,15.915395368956622,11.52502135090321,8.52776609784296,3.0845151415145455,2.5347182416592062,2.840382313696286,2.487079299802854
2024-08-22,27.795154619359398,25.289219124954926,15.876372922384535,11.524858860892405,8.527959174476475,3.124366290784579,2.5346825049449793,2.8403422674578627,2.4870442347448387
2024-08-23,27.791352444043955,25.28575974341809,15.854883091375713,11.523282343888814,8.519744130790865,3.1639847132840857,2.5343357787840795,2.8399537292610213,2.4867040251533736
2024-08-26,27.784940444364608,25.279925832179213,15.848980511138597,11.498178164158519,8.525242907869906,3.203552289534379,2.533751058762496,2.839298497298559,2.486130294693727
2024-08-27,27.782446076701355,25.277656349915915,15.829446283253782,11.496623983343826,8.49550976061298,3.25984324611374,2.533523593574281,2.839043601867987,2.485907104616133
2024-08-28,27.791340483154986,25.290500128456273,15.832476158328795,11.502465509566026,8.454028792914915,3.2663561288332157,2.5351764423918524,2.8404861425364745,2.4871702138174614
