date,CINDA INTERNATIONAL SECURITIES LTD,MONEYMORE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BMI SECURITIES LTD
2024-03-01,0.0,0.0,73.32772397795857,0.0,26.672276022041423,0.0
2024-03-07,0.0,0.0,73.42021495815982,0.0,26.579785041840186,0.0
2024-03-08,0.0,0.0,53.723437113209506,0.0,19.357676678765152,26.918886208025345
2024-03-14,0.0,0.0,53.68542323900242,0.0,19.373578038769097,26.94099872222849
2024-04-09,0.0,0.0,53.87196779876767,0.0,19.29554568180792,26.83248651942441
2024-04-18,0.0,4.311778279978169,51.549127992223575,0.0,18.46356453409646,25.675529193701795
2024-05-13,0.0,4.31515646395733,51.511167793677856,0.0,18.478030333091024,25.695645409273787
2024-05-14,0.0,4.316196970396242,51.49947576291434,0.0,18.482485909545918,25.7018413571435
2024-05-17,0.0,4.177928986130537,49.84970659034921,0.0,21.093873302879732,24.878491120640522
2024-05-21,0.0,4.171843209360293,49.92275797338289,0.0,21.063146929940583,24.84225188731623
2024-05-27,0.0,4.181100612370068,50.03353756569409,0.0,20.887984483865555,24.897377338070296
2024-05-30,0.0,8.595296965449068,47.72858665866415,0.0,19.925714352178428,23.750402023708357
2024-06-25,0.0,8.599608343851644,47.74695388830929,0.0,19.891122604800078,23.762315163038988
2024-07-11,0.0,8.612087767879464,47.816242448879024,0.0,19.774871653659716,23.79679812958179
2024-08-09,0.0,8.600567015372931,47.75227664756653,0.0,19.882192186542607,23.76496415051793
2024-08-19,0.0,8.602005423489159,47.7435384388891,0.0,19.885517398305787,23.768938739315953
2024-08-23,0.0,8.603444312821102,47.75152467753309,0.0,19.872116351843424,23.77291465780238
2024-09-24,0.0,8.599608343851644,47.77482040919021,0.0,19.863256083919158,23.762315163038988
2024-10-03,0.0,8.601525900660592,47.78547332831267,0.0,19.845387042353668,23.767613728673066
2024-10-07,0.0,8.492637901175593,48.00614657832885,0.0,20.03447955948098,23.466735961014574
