date,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,LEI SHING HONG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,11.640457922183522,4.802011081151277,1.8689834827074778,2.842504316303619,3.421923545810529,2.3624149447687195,1.8489765063582588,0.0,28.787271799283403
2024-03-04,11.62349624740093,4.802011081151277,1.8709644082295327,2.8472090144184996,3.424275894867969,2.3617959055430777,1.849595545583901,0.0,28.779348097195186
2024-03-05,11.604553647096278,4.799658732093837,1.8662597101146525,2.827523567043079,3.5194752136068828,2.362291136923591,1.8489765063582588,0.0,28.82873851323658
2024-03-06,11.600963219587554,4.799534924248708,1.8682406356367074,2.8330949200738584,3.563179382937218,2.3630339839943617,1.849595545583901,0.0,28.87764261206231
2024-03-07,11.600715603897298,4.799039692868194,1.872450102371074,2.8299997239456474,3.635427946193294,2.355853128976913,1.849595545583901,0.0,28.943081743836323
2024-03-08,11.60133464312294,4.799039692868194,1.8734405651321013,2.827523567043079,3.6434754561266414,2.357090959812507,1.849595545583901,0.0,28.951500429689364
2024-03-11,11.649745739109367,4.799039692868194,1.9004925792926632,2.8291330690297487,3.573462119706514,2.3622908893079013,1.8499669691192864,0.0,28.96413105843368
2024-03-12,11.64417438607859,4.799039692868194,1.887987986934692,2.8063524255261174,3.5659098411536805,2.37343359536946,1.8552907064598088,0.0,28.932188634390542
2024-03-13,11.632412640791387,4.802753928222048,1.8887308340054625,2.8145237433045938,3.5615570049346554,2.3884143446299997,1.8582620947428912,1.3709242691071029,30.31757885973814
2024-03-14,11.662677530436955,4.802630120376919,1.9532347213173744,2.8166284766717773,3.4867659856749444,2.3797477954710096,1.8663096046762393,1.3712956926424882,30.33928992726771
2024-03-15,11.65438240481335,4.80572531650513,1.968091662732786,2.7742861936378547,3.4700688263534665,2.3735574032145883,1.8586335182782763,1.3700576141912038,30.27480293972665
