date,FUTU SECURITIES INTERNATIONAL,I WIN SECURITIES LTD,CS WEALTH SECURITIES LTD,RIFA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,DL SECURITIES (HK) LTD,QUAM SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LEEDS SECURITIES INVESTMENT LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,7.316766083333333,0.0,0.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.0,0.0,9.62343275
2024-03-05,7.280099416666666,0.0,0.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.0,0.0,9.586766083333334
2024-03-06,7.28843275,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,2.3066666666666666,0.0,0.0,9.786766083333333
2024-03-07,7.366766083333333,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,2.3066666666666666,0.0,0.0,9.865099416666666
2024-03-11,7.345099416666667,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,2.3316666666666666,0.0,0.0,9.86843275
2024-03-12,7.346766083333334,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,2.3316666666666666,0.0,0.0,9.870099416666667
2024-03-13,7.36343275,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,2.3316666666666666,0.0,0.0,9.886766083333333
2024-03-14,7.348432750000001,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,2.3066666666666666,0.0,0.0,9.846766083333334
2024-03-18,7.340099416666666,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,2.3066666666666666,0.0,0.0,9.838432749999999
2024-03-19,7.340099416666666,0.0,0.0,0.0,0.0,0.0,0.5433333333333333,2.3066666666666666,0.0,0.0,10.190099416666666
2024-03-20,7.345099416666667,0.0,0.0,0.0,3.02,0.0,0.5433333333333333,2.3066666666666666,0.0,0.0,13.215099416666668
2024-03-22,7.350099416666667,0.0,0.0,0.0,3.02,0.0,0.5433333333333333,2.3066666666666666,3.535,0.0,16.755099416666667
2024-03-25,7.33843275,0.0,0.0,0.0,3.02,0.0,0.5566666666666666,2.3066666666666666,3.535,0.0,16.756766083333332
2024-03-26,7.30343275,0.0,0.0,0.0,3.02,0.0,0.5950000000000001,2.3066666666666666,3.535,0.0,16.760099416666666
2024-03-27,7.305099416666666,0.0,0.0,5.633333333333333,3.015,0.0,0.5950000000000001,2.3066666666666666,3.535,0.0,22.39009941666667
2024-03-28,7.308432750000001,0.0,0.0,5.346666666666667,3.015,0.0,0.5950000000000001,2.3066666666666666,3.535,0.0,22.106766083333333
2024-04-02,7.308432750000001,0.0,0.0,5.346666666666667,3.015,0.0,0.5950000000000001,2.3066666666666666,2.9516666666666667,0.0,21.523432749999998
2024-04-03,7.320099416666667,0.0,0.0,5.283333333333333,3.02,0.0,0.5950000000000001,2.3066666666666666,3.2266666666666666,0.0,21.751766083333333
2024-04-05,7.316766083333333,0.0,0.0,5.283333333333333,3.153333333333333,0.0,0.5950000000000001,2.313333333333333,3.2266666666666666,1.0883333333333334,22.976766083333334
2024-04-08,7.183432750000001,0.0,0.0,5.283333333333333,3.2933333333333334,0.0,0.5950000000000001,2.313333333333333,3.2266666666666666,1.0883333333333334,22.98343275
2024-04-10,7.165099416666666,0.0,0.0,5.283333333333333,3.3166666666666664,0.0,0.5950000000000001,2.313333333333333,3.2266666666666666,1.1183333333333334,23.018432750000002
2024-04-11,7.165099416666666,0.0,0.0,5.175,3.323333333333333,0.0,0.5950000000000001,2.313333333333333,3.2266666666666666,1.1183333333333334,22.916766083333336
2024-04-12,7.16343275,0.0,0.0,5.175,3.3266666666666667,0.0,0.5950000000000001,2.313333333333333,3.2266666666666666,1.1183333333333334,22.91843275
2024-04-15,7.17343275,0.0,0.0,5.175,3.3266666666666667,0.0,0.5950000000000001,2.3,3.2266666666666666,1.1183333333333334,22.915099416666667
2024-04-16,7.245099416666667,0.0,0.0,5.016666666666667,3.39,0.0,0.5966666666666667,2.3,3.2266666666666666,1.1183333333333334,22.893432750000002
2024-04-17,7.266766083333333,0.0,0.0,5.016666666666667,3.415,0.0,0.5950000000000001,2.3,3.2266666666666666,1.1183333333333334,22.93843275
2024-04-18,7.266766083333333,0.0,0.0,5.016666666666667,3.53,0.0,0.5950000000000001,2.3,2.4516666666666667,1.1183333333333334,22.27843275
2024-04-19,7.266766083333333,0.0,0.0,5.016666666666667,3.6583333333333337,0.0,0.5950000000000001,2.3,2.4516666666666667,1.1183333333333334,22.40676608333333
2024-04-22,7.241766083333332,0.0,0.0,5.016666666666667,3.6583333333333337,0.0,0.5950000000000001,2.3,2.4516666666666667,1.1183333333333334,22.381766083333332
2024-04-23,7.250099416666666,0.0,0.0,5.016666666666667,3.6583333333333337,0.0,0.5983333333333334,2.288333333333333,2.4516666666666667,1.1183333333333334,22.381766083333332
2024-04-24,7.250099416666666,0.0,0.0,5.016666666666667,3.6583333333333337,0.0,0.5983333333333334,2.288333333333333,2.1766666666666667,1.1183333333333334,22.106766083333333
2024-04-25,7.256766083333334,0.0,0.0,5.016666666666667,3.6583333333333337,0.0,0.5950000000000001,2.288333333333333,2.1766666666666667,1.1183333333333334,22.110099416666667
2024-04-26,7.245099416666667,0.0,0.0,5.016666666666667,3.65,0.0,0.5950000000000001,2.288333333333333,2.3783333333333334,1.1183333333333334,22.291766083333332
2024-04-30,7.246766083333334,0.0,0.0,5.016666666666667,3.65,0.0,0.5950000000000001,2.288333333333333,2.0,1.1266666666666667,21.92343275
2024-05-02,7.246766083333334,0.0,0.0,5.016666666666667,3.65,0.0,0.19166666666666665,2.288333333333333,2.0566666666666666,1.1266666666666667,21.576766083333336
2024-05-03,7.251766083333333,0.0,0.0,5.016666666666667,3.675,0.0,0.19166666666666665,2.288333333333333,2.1166666666666667,1.1283333333333332,21.66843275
2024-05-06,7.251766083333333,0.0,0.0,5.016666666666667,3.675,0.0,0.19166666666666665,2.288333333333333,2.1166666666666667,1.18,21.720099416666667
2024-05-10,7.236766083333333,0.0,0.0,5.016666666666667,3.675,0.0,0.19166666666666665,2.288333333333333,2.1166666666666667,1.18,21.705099416666666
2024-05-13,7.211766083333333,0.0,0.0,5.016666666666667,3.675,0.0,0.19166666666666665,2.288333333333333,2.1166666666666667,1.18,21.680099416666668
2024-05-14,7.1867660833333336,0.0,0.0,5.016666666666667,3.675,0.0,0.19166666666666665,2.288333333333333,2.1166666666666667,1.18,21.65509941666667
2024-05-16,7.1867660833333336,0.0,0.0,5.016666666666667,3.675,0.0,0.36166666666666664,2.288333333333333,2.1166666666666667,1.18,21.825099416666667
2024-05-17,7.168432750000001,0.0,0.0,5.016666666666667,3.841666666666667,0.0,0.36166666666666664,2.288333333333333,2.1166666666666667,1.18,21.97343275
2024-05-20,7.17843275,0.0,0.0,4.226666666666667,3.8666666666666667,0.0,0.36166666666666664,2.288333333333333,2.1166666666666667,1.18,21.218432749999998
2024-05-21,7.166766083333333,0.0,0.0,4.226666666666667,3.8666666666666667,0.0,0.36166666666666664,2.288333333333333,2.1166666666666667,1.1966666666666668,21.223432749999997
2024-05-22,7.151766083333333,0.0,0.0,4.226666666666667,3.8666666666666667,0.0,0.36166666666666664,2.288333333333333,2.1166666666666667,1.1966666666666668,21.20843275
2024-05-23,7.1050994166666674,0.0,0.0,4.226666666666667,3.978333333333333,0.0,0.36166666666666664,2.2849999999999997,2.1166666666666667,1.1966666666666668,21.270099416666667
