date,FUTU SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,TIGER BROKERS (HK) GLOBAL LTD,LONG BRIDGE HK LTD,HAFOO SECURITIES LTD
2024-03-01,81.2797461660497,0.0,0.0,0.0,0.0,0.0,0.0,18.72025383395029,0.0,0.0
2024-03-04,80.63104140069305,0.0,0.0,0.0,0.0,0.0,0.0,19.36895859930695,0.0,0.0
2024-03-05,66.626936829559,0.0,0.0,0.0,0.0,17.550655542312278,0.0,15.822407628128724,0.0,0.0
2024-03-06,66.37646352446713,0.0,0.0,0.0,0.0,17.682377664365056,0.0,15.941158811167819,0.0,0.0
2024-03-07,65.94709638187899,0.0,0.0,0.0,0.0,17.908178777743995,0.0,16.144724840377016,0.0,0.0
2024-03-08,67.88069974189848,0.0,0.0,0.0,0.0,16.891310582162316,0.0,15.227989675939202,0.0,0.0
2024-03-11,64.77987421383648,0.0,0.0,0.0,0.0,18.52201257861635,0.0,16.69811320754717,0.0,0.0
2024-03-12,64.21725239616613,0.0,0.0,0.0,0.0,18.817891373801917,0.0,16.96485623003195,0.0,0.0
2024-03-13,58.56455789863115,0.0,0.0,0.0,0.0,21.790603033666297,0.0,19.644839067702552,0.0,0.0
2024-03-14,57.9066265060241,0.0,0.0,0.0,0.0,22.17620481927711,0.0,19.917168674698797,0.0,0.0
2024-03-15,18.95138654990457,0.0,11.788480970023576,0.0,0.0,6.612776467946559,56.70820702818008,5.939148983945212,0.0,0.0
2024-03-18,18.64472303529022,0.0,11.597724636880764,0.0,1.6181587231457448,6.505771248688353,55.79057822941403,5.843044126580881,0.0,0.0
2024-03-19,18.510755653612794,0.0,11.583011583011583,0.0,1.6161059018201875,6.73469387755102,55.719801434087145,5.835631549917264,0.0,0.0
2024-03-20,18.012621670766926,0.0,11.231147716333298,0.0,1.5670125147074554,6.530110172210931,54.42828109958284,5.658359182800299,0.0,2.572467643598246
2024-03-21,17.83142736128759,0.0,11.118170266836087,0.0,1.5512494705633206,6.782083862770012,53.880770859805175,5.601440067767895,0.6882676831850911,2.546590427784837
2024-03-25,17.89858528055953,0.0,11.127006835161342,0.0,1.5524823822391776,6.787474169448418,53.79113018597997,5.605892015047952,0.6888147088433211,2.5486144227202883
2024-03-26,17.80501739988573,0.0,10.907391055939335,0.0,1.5218407520905832,6.653508544122993,54.28764348413234,5.495247493897055,0.675219446320054,2.6541318236119045
2024-03-27,18.26699104508515,0.0,10.870127853408562,0.0,1.5166416481184326,6.630777990579223,53.92101040426523,5.476473937574409,0.6729126766395777,2.645064444329417
2024-03-28,18.260374624857707,0.0,10.866190624029805,0.0,1.5160923108765394,6.628376280658181,53.93770050708889,5.474490323915968,0.6726689433923213,2.6441063851805855
2024-04-02,18.53711564344135,0.0,10.870690547675743,0.0,1.516720157366187,6.320530075577182,53.96003727093902,5.476757428305207,0.6729475100942126,2.6452013666010976
2024-04-03,15.287721375894925,0.0,11.304301017387091,0.0,1.5772191419497226,6.572643591537923,56.11239705011574,5.695214512569306,0.6997900629811057,2.750713247564192
2024-04-05,15.246684919740161,0.0,11.273957158962796,0.0,1.572985451226714,6.5550008052826545,56.230203468083964,5.679926987706018,0.6979116336500778,2.7433295753476137
2024-04-08,15.470588235294116,0.0,11.229946524064172,0.0,1.566844919786096,6.529411764705882,56.01069518716577,5.657754010695188,0.6951871657754011,2.8395721925133692
2024-04-10,17.1280276816609,0.0,11.00975149418056,0.0,1.5361224703785257,6.401384083044983,54.91244626192723,5.546817657544302,0.6815560448778442,2.783894306385656
2024-04-11,15.36649354821438,0.0,11.243775766986133,0.0,1.5687744284413985,6.537452481661937,56.0796701825775,5.664721314986347,0.6960432617658082,2.8430690153664937
2024-04-12,17.353341001777682,0.0,10.979818048729479,0.0,1.5319460420370177,6.383979922618425,54.763149639234555,5.531736902645614,0.6797030220642059,2.7763254208930253
2024-04-15,18.53244078269825,0.0,10.813594232749743,0.0,1.5087538619979401,6.287332646755922,53.9340885684861,5.447991761071061,0.690010298661174,2.785787847579815
2024-04-16,18.690716840304773,0.0,10.366454154356502,0.0,1.5186855336132277,6.328720261234645,54.02995905250609,5.483854247654589,0.6945524283418857,2.8870574819882857
2024-04-17,18.64459550620103,0.0,10.37828862020653,0.0,1.5204192828602563,6.335945202636085,54.091640288516416,5.490114680089253,0.6953453375538374,2.8436510819365886
2024-04-18,18.70432754599637,0.0,10.365379632029024,0.0,1.518528116092252,6.328064265353718,54.008810572687224,5.483285825343353,0.7255765742420316,2.866027468256025
2024-04-19,17.153708197067203,0.0,10.549636037556704,0.0,1.5455216795020572,6.4405528009283675,54.9688785736892,5.580757463867497,0.8703449730984281,2.890600274290537
2024-04-22,18.518327576429343,0.35572511213074187,10.310872815383822,0.0,1.51054286745373,6.294787853791823,53.724802804557406,5.454451719338041,1.0053100994999227,2.8251791514151674
2024-04-23,18.938307030129124,0.35355605656896905,10.248001639680263,0.0,1.5013322402131584,6.256405001024801,53.397212543554005,5.498052879688461,0.9991801598688255,2.807952449272392
2024-04-24,19.57188081000955,0.3467162454148033,10.049746243907341,0.0,0.1004974624390734,8.396562986784584,52.3642028038792,5.391688859856289,0.9999497512687805,2.77875483644038
2024-04-25,22.08835341365462,0.3338655828131804,9.67726326994726,0.0,0.09677263269947259,8.085353462040935,50.42338026806019,5.191851744326705,1.4273963323172207,2.675763294140417
2024-04-26,21.45179290601194,0.3348051822019506,9.704498034839148,0.0,0.09704498034839149,8.525401523606192,50.56528701052938,5.206463195691203,1.4314134601387742,2.6832937066330245
2024-04-29,19.77615619761365,0.3402031357854255,9.860960457548565,0.0,0.09860960457548566,9.07208362094468,51.3805344640568,5.290405285474805,1.4544916674884134,2.7265555665121783
2024-04-30,19.845781226830113,0.3410607483564826,9.885818792941524,0.0,0.09885818792941525,9.094953289506204,51.510058820621815,5.303741782413128,1.1961840739459246,2.7235430774553904
2024-05-02,19.737879385100513,0.33996846669294445,9.854158454867955,0.0,0.44343713046905797,9.110169491525424,51.34509262908947,5.286756011036657,1.1233740638549468,2.7591643673630273
2024-05-03,20.60306427137892,0.33775515198981837,9.790004405501982,0.0,0.09790004405501981,9.050859072886583,51.01081795486808,5.252337363551813,1.1160605022272259,2.741201233540555
2024-05-06,24.345683603737623,0.32076611965970897,9.297568685788667,0.0,0.09297568685788667,8.595602250011622,48.44498163730185,5.211287248384547,1.073869183208591,2.6172655850495095
2024-05-07,23.93439584877687,0.3196812453669385,9.266123054114159,0.0,0.37064492216456635,8.566530763528538,48.28113417346182,5.193661971830986,0.8478502594514455,3.21997776130467
2024-05-08,23.216494845360824,0.3161512027491409,9.163802978235967,0.0,0.3665521191294387,8.471935853379152,47.74799541809851,5.127147766323024,2.1260022909507446,3.463917525773196
2024-05-09,22.86200865322655,0.31759182546257936,9.205560158335635,0.0,0.3682224063334254,8.510540366381294,47.9839823253245,5.150510908588787,2.121881616496364,3.47970173985087
