date,VALUABLE CAPITAL LTD,GRAND CHINA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,USMART SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,SHANXI SECURITIES INTERNATIONAL LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,WATON SECURITIES INTERNATIONAL LIMITED
2024-03-01,21.14078295555776,0.0,15.729231504726334,54.57169273365318,6.620583460268557,1.9377093457941748,0.0,0.0,0.0,0.0
2024-03-04,20.56747430224,0.0,15.472997648871242,53.51290298509728,6.557387800317553,1.9816838459257777,0.0,1.9075534175481537,0.0,0.0
2024-03-05,22.270224064785683,0.0,11.76903506478913,53.645583720506316,6.4530268150987755,3.033328469630165,0.0,2.8288018651899294,0.0,0.0
2024-03-06,23.141794940651955,0.0,12.204783332981416,51.79855811740239,6.882557451022286,2.410279368977848,0.0,3.5620267889640984,0.0,0.0
2024-03-07,22.571852993697632,0.0,12.098112314521773,50.82931096892332,6.206107957428125,2.380391459933368,2.6926816836763523,3.2215426218194296,0.0,0.0
2024-03-08,22.5390620837206,0.0,12.239386610679954,50.721284537631895,6.192918250897179,2.3905130248742874,2.686958985741903,3.2298765064541817,0.0,0.0
2024-03-11,22.321517772174147,0.0,13.040702066070816,49.89567038130465,6.136913588111868,2.54573647828378,2.643222093107543,3.4162376209471974,0.0,0.0
2024-03-12,22.326642292519036,0.0,13.634670943854898,49.18322896053133,6.211209436679507,2.509386869196605,2.605480523768121,3.529380973450507,0.0,0.0
2024-03-13,22.57927633318368,0.0,13.754405574575513,48.6615059259156,6.139809707058084,2.858867110901408,2.5755297377211472,3.4306056106445686,0.0,0.0
2024-03-14,22.65178977271981,0.0,13.55041622115562,48.81778255390079,5.955159285788338,3.0724168200719477,2.5838010621495244,3.368634284213971,0.0,0.0
2024-03-15,22.655096906248026,0.0,13.552394565306608,48.82490989028688,5.956028731741065,3.0728653891598774,2.5841782939360023,3.354526223321535,0.0,0.0
