date,SFGHK LTD,CLSA LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,FULBRIGHT SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BLUEMOUNT SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,74.92451340177452,16.650020903981048,8.425465694244437,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,74.91363844845303,16.662118775436742,8.424242776110217,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,71.7398435458493,15.928411384346802,8.0673408910214,0.0,0.0,4.264404178782504,0.0,0.0
2024-03-18,0.0,71.85970227387907,15.787949499056031,8.08081933159205,0.0,0.0,4.271528895472847,0.0,0.0
2024-03-22,0.0,71.8197048886514,15.834822248568138,8.076321516634104,0.0,0.0,4.269151346146353,0.0,0.0
2024-03-27,0.0,71.77975200404983,15.881642848003738,8.071828705892823,0.0,0.0,4.266776442053616,0.0,0.0
2024-04-02,0.0,71.75979222628203,15.905033618632897,8.06958417449433,0.0,0.0,4.265589980590732,0.0,0.0
2024-04-05,0.0,71.7398435458493,15.928411384346802,8.0673408910214,0.0,0.0,4.264404178782504,0.0,0.0
2024-04-10,0.0,71.74143903211996,15.984365356922444,8.067520307800086,0.0,0.0,4.206675303157508,0.0,0.0
2024-04-12,0.0,71.66175155645156,15.966610573318448,8.058559234020338,0.0,0.0,4.313078636209645,0.0,0.0
2024-04-15,0.0,71.66453762843655,15.963343515690088,8.058872535406831,0.0,0.0,4.313246320466537,0.0,0.0
2024-04-16,0.0,71.68444444444444,15.939999999999998,8.06111111111111,0.0,0.0,4.314444444444445,0.0,0.0
2024-04-17,0.0,71.6446418656302,15.986674069961133,8.056635202665186,0.0,0.0,4.3120488617434765,0.0,0.0
2024-04-19,0.0,71.64384626489434,15.987607022687145,8.0565457351945,0.0,0.0,4.3120009772240175,0.0,0.0
2024-04-22,0.0,71.62396198765487,15.983169767751676,8.054309694036148,0.0,0.0,4.338558550557307,0.0,0.0
