date,CITYLINE SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CINDA INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,VC BROKERAGE LTD
2024-03-01,0.0,0.0,55.59680235209742,15.086069813875469,0.0,7.24756795925625,7.227100302772653,1.337721959921196,13.504737612077012,0.0
2024-03-04,0.0,0.0,55.20330138573788,15.812221581133546,0.0,7.085527248199792,7.283295398102091,1.4539453387716454,13.161709048055052,0.0
2024-03-05,0.0,0.0,55.41374365710211,15.43648726014608,0.0,7.037089767607668,7.402392610520987,1.503168649407698,13.20711805521545,0.0
2024-03-06,0.0,0.0,55.35640640587959,15.531461503995144,0.0,7.105484295602323,7.344273210274572,1.4612141372981513,13.201160446950222,0.0
2024-03-07,0.0,0.0,48.15848335488725,14.611479055514879,0.0,6.382197233661814,6.451428393675111,1.2643119145146797,11.586440889795957,11.545659157950306
2024-03-08,0.0,38.199607085090484,29.245439392492994,9.406491211219413,0.0,4.324666127208379,3.9000953212537555,0.847589002826545,7.0633777123790695,7.012734147529362
2024-03-11,0.0,38.498526697421845,29.474290840786466,8.601242604209505,0.0,4.334423467243287,4.025260414344968,0.8237996087089533,7.174846163881714,7.0676102034032615
2024-03-12,0.0,39.24358777247372,30.044706093110875,7.443430338595683,0.0,3.8981603316273183,4.066982029254033,0.793657231425518,7.305086707291933,7.204389496220923
2024-03-13,0.0,39.69581813557843,30.397680153771528,6.738641620607287,0.0,3.510362822150722,3.9504690957814774,0.7241062027175629,7.693911468364926,7.28901050102807
2024-03-14,0.0,39.401642493900425,30.1724106547473,6.908862979487278,0.0,3.6686078280651473,4.0306242318965,0.800921464319372,7.78193685494742,7.234993492636555
2024-03-15,0.0,39.37053602463456,30.184894558497167,7.142843199508257,0.0,3.5014784688499265,4.055966865424971,0.7229267265892255,7.792072484191502,7.2292816723043885
2024-03-18,0.0,39.41499701115171,30.24580842449147,7.155669068146454,0.0,3.265727712138513,4.15573694849569,0.7358581770447726,7.788756987780045,7.237445670751345
2024-03-19,0.0,39.900627169644196,30.555496221223944,7.5333592821062085,0.0,3.2350067177089223,4.285781635192306,0.7650731755833075,6.3980379305377175,7.326617868003403
2024-03-20,0.0,39.4337532181672,30.19796887711752,7.921242738169408,0.0,3.7401379294183736,4.336063686930138,0.7786312067729627,6.3513126275238045,7.240889715900595
2024-03-21,0.0,39.05845483396111,29.91056917506059,8.148992691060878,0.0,3.8974872526655235,4.347820680770539,0.9367246874889101,6.527973861023666,7.17197681796878
