date,CHINA INDUSTRIAL SECURITIES,FUTU SECURITIES INTERNATIONAL,FORTUNE (HK) SECURITIES LTD,KINGSTON SECURITIES LTD,DL SECURITIES (HK) LTD,FOSUN INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,0.0,91.2993350418033,0.0,0.0,0.0,0.0,8.700664958196686,0.0,0.0,0.0
2024-03-04,46.058802467293894,49.24687174945739,0.0,0.0,0.0,0.0,4.694325783248713,0.0,0.0,0.0
2024-03-05,43.604466223581625,46.60920800290229,0.0,0.0,0.0,5.326284774281094,4.460040999234988,0.0,0.0,0.0
2024-03-06,43.59954578280999,46.61405827767581,0.0,0.0,0.0,5.325665292070779,4.460730647443417,0.0,0.0,0.0
2024-03-07,43.60488077580712,46.607525787024365,0.0,0.0,0.0,5.326316959112902,4.4612764780556144,0.0,0.0,0.0
2024-03-08,43.60451715888744,46.599406269305206,0.0,0.0,0.0,5.326493982640795,4.469582589166561,0.0,0.0,0.0
2024-03-11,43.6105124998434,46.59312167364475,0.0,0.0,0.0,5.325413239251756,4.470952587260087,0.0,0.0,0.0
2024-03-12,43.607613447824335,46.59652086698961,0.0,0.0,0.0,5.325059227131314,4.470806458054739,0.0,0.0,0.0
2024-03-13,42.90258805190708,45.83901046081495,0.0,0.0,0.0,5.23807458177858,4.399119322583886,0.0,0.0,1.6212075829155046
2024-03-14,42.894918642508465,45.84099772383682,0.0,0.0,0.0,5.2375374145092275,4.4055048919097635,0.0,0.0,1.6210413272357178
2024-03-15,42.899636818204094,45.826122151285006,0.0,0.0,0.0,5.238113511224553,4.414907887532662,0.0,0.0,1.6212196317536847
2024-03-18,42.92292409502285,45.79255067329201,0.0,0.0,0.0,5.2409569245583505,4.421319905214125,0.0,0.0,1.622248401912659
2024-03-19,42.94003880138399,45.76171209827798,0.0,0.0,0.0,5.243046657275921,4.432307200198392,0.0,0.0,1.622895242863711
2024-03-20,42.93294859212328,45.76442012151617,0.0,0.0,0.0,5.248131159864941,4.431872854206709,0.0,0.0,1.6226272722888977
2024-03-21,42.90856593649999,45.79507314246442,0.0,0.0,0.0,5.245150619768509,4.429355886863121,0.0,0.0,1.6218544144039622
2024-03-22,42.88656874066482,45.8288052495959,0.0,0.0,0.0,5.236517878286813,4.427085165231193,0.0,0.0,1.6210229662212712
2024-03-25,42.886250106526234,45.82653303475619,0.0,0.0,0.0,5.236776160366857,4.4294297758361845,0.0,0.0,1.6210109225145435
2024-03-26,42.884147239952206,45.81938263710747,0.0,0.0,0.0,5.245434579665085,4.43010410473694,0.0,0.0,1.6209314385382894
2024-03-27,42.880770340324446,45.82364907397006,0.0,0.0,0.0,5.245021529453769,4.429755257485331,0.0,0.0,1.620803798766399
2024-03-28,42.880961471386634,45.823407595484106,0.0,0.0,0.0,5.2450449079175465,4.4297750020892845,0.0,0.0,1.6208110231224264
2024-04-02,42.89224122065394,45.80915655358787,0.0,0.0,0.0,5.246424606259818,4.4309402453492215,0.0,0.0,1.6212373741491564
2024-04-03,42.89198624552826,45.806803645775915,0.0,0.0,0.0,5.246393418619925,4.4309139053978965,0.0,0.0,1.6239027846780065
