date,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,VALUABLE CAPITAL LTD,UBS SECURITIES HONG KONG LTD,DBS BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,99.84188205279845,0.15811794720153943,0.0,0.0
2024-03-08,0.0,0.0,0.0,99.99820357574129,0.001796424258715418,0.0,0.0
2024-03-15,0.0,0.0,0.0,99.99820346470895,0.0017965352910403653,0.0,0.0
2024-03-19,0.0,0.0,0.0,99.99820339067979,0.0017966093202157777,0.0,0.0
2024-03-20,0.0,0.0,0.0,99.9982033166445,0.001796683355492428,0.0,0.0
2024-03-21,0.0,0.0,0.0,99.99820327962458,0.0017967203754189532,0.0,0.0
2024-03-28,0.0,0.0,0.0,99.99820324260314,0.0017967573968710707,0.0,0.0
2024-04-08,0.0,0.0,0.0,99.99820320558015,0.0017967944198488748,0.0,0.0
2024-04-09,0.0,0.0,0.0,99.99820316855565,0.0017968314443524598,0.0,0.0
2024-04-10,0.0,0.0,0.0,99.99820313152962,0.0017968684703819203,0.0,0.0
2024-04-12,0.0,0.0,0.0,99.99931998484183,0.0006800151581560709,0.0,0.0
2024-04-15,0.0,0.0,0.0,99.99931997082881,0.0006800291711907496,0.0,0.0
2024-04-16,84.73530960873437,0.0,0.0,15.264586586918085,0.00010380434755255771,0.0,0.0
2024-04-17,84.72588771555355,0.0,0.0,15.264634603143406,0.00947768130304183,0.0,0.0
2024-04-18,84.72562120296278,0.0,0.0,15.264901145547032,0.009477651490177466,0.0,0.0
2024-04-19,84.68774528625916,0.0,0.0,15.302781263987722,0.009473449753111774,0.0,0.0
2024-04-22,84.77476290517377,0.0,0.0,15.224881432128415,0.00035566269780668795,0.0,0.0
2024-04-24,74.15976254658119,0.0,0.0,13.317684753174172,12.52255270024463,0.0,0.0
2024-04-25,74.15969139913472,0.0,0.0,13.31772142153935,12.522587179325932,0.0,0.0
