date,GF SECURITIES (HONG KONG) BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,CATHAYSIA SECURITIES LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHINA MERCHANTS BANK CO LTD,ZINVEST GLOBAL LTD,HAFOO SECURITIES LTD
2024-03-06,0.0,69.9433975668012,0.0,0.0,22.36627204699607,0.0,7.690330386202729,0.0,0.0,0.0
2024-03-07,0.0,48.32781079483041,0.0,30.888590520081895,15.454110055785856,0.0,5.329488629301844,0.0,0.0,0.0
2024-03-08,0.0,44.73011562359279,0.0,28.58445814019419,14.308626430760604,7.437549331244138,4.939250474208277,0.0,0.0,0.0
2024-03-19,0.0,44.732078833736516,0.0,28.58571271549299,14.30925443809213,7.433486754173909,4.939467258504453,0.0,0.0,0.0
2024-03-20,0.0,44.732078833736516,0.0,28.58571271549299,14.30193941808694,7.433486754173909,4.946782278509644,0.0,0.0,0.0
2024-03-21,0.0,44.732078833736516,0.0,28.58571271549299,14.30193941808694,7.421782722165607,4.958486310517947,0.0,0.0,0.0
2024-04-02,0.0,44.72476381373133,0.0,28.58571271549299,14.30193941808694,7.421782722165607,4.965801330523137,0.0,0.0,0.0
2024-04-03,0.0,44.66465410814566,0.0,28.61679858493178,14.310169255477398,7.4225306522516545,4.985847399193504,0.0,0.0,0.0
2024-04-05,0.0,44.65406112768805,0.0,28.600058260250393,14.294476524942871,7.473244212128527,4.9781598749901566,0.0,0.0,0.0
2024-04-11,0.0,42.65449305954235,0.0,27.284401043625508,13.619410191023443,7.138599162727606,4.818193341379207,0.0,4.484903201701891,0.0
2024-04-12,0.0,42.65449305954235,0.0,27.284401043625508,13.61241564454543,7.138599162727606,4.832182434335232,0.0,4.477908655223878,0.0
2024-04-15,0.0,42.63659963887204,0.0,27.272955326408105,13.620688505172737,7.1356045436698405,4.84413857414709,0.0,4.490013411730189,0.0
2024-04-18,0.0,33.24026114719986,0.0,21.262487275819357,10.558975470096302,5.633906074765719,3.776577696197667,22.03819856944098,3.4895937664801133,0.0
2024-04-19,0.0,33.23663783060529,0.0,21.260169582746872,10.557824501068918,5.633291957286839,3.776166034671401,22.04669670631228,3.489213387308409,0.0
