date,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,HANG SENG BANK LTD
2024-03-01,45.28652058014378,25.677259376669564,5.0906726692306625,9.292931438187384,5.583905384459137,2.1219900555979336,3.025264282244818,2.5710333559391616,0.0,1.3504228575275536
2024-03-04,44.74982474508779,25.313678477841595,4.979047837152929,9.1454530464569,5.453560298859484,2.0851655123728916,2.9712528153032767,2.5368710185685837,1.4338196291136112,1.3313266192429412
2024-03-05,44.9345778628137,25.351482039925138,4.954670694768674,9.112638562211643,5.346883480016441,2.073268591392437,3.0079865871508953,2.4507280702961745,1.4344808499262527,1.3332832614986485
2024-03-06,44.988067146270154,25.36343778174304,4.831511092994103,9.204869875341654,5.289425711648237,2.0549035360258325,3.0393934131265175,2.458895062410513,1.4351515529310235,1.3343448275089276
2024-03-07,45.00257451198511,25.338731622358328,4.893230685134553,9.246824878213664,5.2149865478108,2.0357879975618434,3.044995759942113,2.4599380136774727,1.429917229430906,1.3330127538852108
2024-03-08,45.04995858806584,25.348194156761227,4.873087049156675,9.257016827164954,5.197627065664766,2.0273448990886798,3.0217763554309283,2.4609588246215033,1.4305179828498604,1.333518251195565
2024-03-11,45.06814179054735,25.357825560677888,4.8721319808280175,9.29339736363588,5.194746919388094,2.027867631697925,2.959576921174221,2.4611758018494667,1.4311103201385578,1.3340257100625983
2024-03-12,45.11903209533063,25.3491418131709,4.889964093328851,9.264054785517677,5.154494110977654,2.024325567638292,2.9719598263205187,2.4625510219588667,1.4305822649244395,1.3338944208321664
2024-03-13,44.98316354934071,25.348680321910262,4.9547606215434765,9.315356520658465,5.074657156657137,2.0284866746254755,3.061096996629672,2.4693254043087416,1.4305595848217274,1.3339131695043336
2024-03-14,45.03208712976641,25.331029178862867,4.951380101071488,9.289338631134145,4.986698396986538,2.0521095860841303,3.1103469666304613,2.4837975922599025,1.4296426331990806,1.33356978400497
2024-03-15,45.12759880298232,25.338600716113895,4.899349168242546,9.230836781283477,4.985879366367326,2.0279210673720316,3.142841618903045,2.4829580524991735,1.4300575800549242,1.3339568461812588
2024-03-18,45.17769566744968,25.30614682370262,4.949559462617266,9.200400725286448,4.976083813412216,2.011342642594142,3.13407985683224,2.4842247195203813,1.4282218294542828,1.3322444591307225
2024-03-19,45.09691568102178,25.290623452357824,5.002663572099971,9.316016275010005,4.973290215644471,2.011043666554352,3.075235402731952,2.4826327297531576,1.4201371769403939,1.3314418278860967
2024-03-20,45.0918751804394,25.27950741112834,5.0305218189591505,9.26623777166546,4.970099582937697,2.0014669001313656,3.1317841890380698,2.478291164004632,1.419506427860042,1.3307095538358422
2024-03-21,45.18869539216175,25.205750831252722,5.080856159398725,9.256249218847616,4.9399902826308235,2.019355042443052,3.0948844519250738,2.4720299531020733,1.415363181246859,1.3268254869913034
2024-03-22,45.247471823198445,25.185145689248813,5.142102920124789,9.168031000131412,4.904545297812109,2.0280483455793465,3.114791853340048,2.4705374993377283,1.414224203720677,1.3251013675066265
2024-03-25,45.2774327886312,25.197223148538622,5.151405417626368,9.18160285153836,4.859362073474487,2.019485227450581,3.1019415311464407,2.470895178837307,1.414899124657908,1.325752658098728
2024-03-26,45.157480267799606,25.173345782666033,5.377257868519307,9.131557108793,4.791369579775598,2.066833723974443,3.086800006411254,2.4772298699383475,1.4135950472994705,1.3245307448229442
2024-03-27,45.08884355925021,25.15270274439829,5.476212285810429,9.103965988022686,4.81028732206213,2.109857253906114,3.0391768585403254,2.483148458475751,1.4124439999871048,1.3233615295469596
2024-03-28,45.074576229983,25.140555240582387,5.425442773348411,9.198584791157561,4.797535562091392,2.1146426190828205,3.039596041665199,2.4740931988792196,1.4120144613818237,1.32295908182819
2024-04-02,45.08715207765807,25.12564469389967,5.452502024478834,9.301167758792472,4.788088847792796,2.1338583093203334,2.9030510802406435,2.474002037307506,1.4111761548992676,1.323357015610411
2024-04-03,45.07982434676887,25.134064912400717,5.4290574163130785,9.353233975165162,4.8277520623290116,2.0834121649771964,2.9086800126045755,2.4485113201977526,1.4116564076096088,1.3238073816340215
2024-04-05,45.078257487963505,25.152026372872665,5.401657538011837,9.376165208709434,4.838715511899298,2.0771442310928556,2.8954075169088958,2.44375417106991,1.4121883844194085,1.32468357705219
2024-04-08,45.022440523282555,25.113204984408405,5.518632322220802,9.34097668018807,4.822878673051227,2.1136525425443238,2.8924353600948867,2.443359835322822,1.409890758095708,1.3225283207912057
2024-04-09,45.05578602188343,25.114745846732344,5.518703473557342,9.321882672242165,4.804051547694497,2.113679793717188,2.892472652059582,2.4462236843404512,1.4099089357176182,1.3225453720553857
2024-04-10,45.033680065410906,25.134811063464372,5.489337160475954,9.31789218371126,4.793223607434995,2.1402027287415666,2.918279132501136,2.4459492239611667,1.4026614920996774,1.3239633421989634
2024-04-11,45.00440814492855,25.117582168144185,5.479734486399306,9.380993605049971,4.789213486459831,2.1670660126436028,2.8929300477483615,2.443316205255268,1.4017000244381133,1.323055818932808
2024-04-12,45.019092375869945,25.112716625572745,5.439982741852023,9.398428192118946,4.788144860883829,2.196008102817398,2.8924131942616205,2.429083319435376,1.401378373010572,1.3227522141775412
2024-04-15,45.014529293440944,25.073617171581308,5.511302789369388,9.333533174532441,4.818960298933198,2.2152634772050064,2.888103799979504,2.424329941442469,1.3994386920099533,1.3209213615057862
2024-04-16,44.89790494895512,25.0163154189784,5.6646071461578,9.257827884214986,4.900467923370566,2.246873698628267,2.882147411509517,2.4191012846162456,1.3962727248546387,1.3184815587144532
2024-04-17,44.83874072399768,24.98859593558497,5.73561847119895,9.173679937226433,4.954710163512704,2.303140474766673,2.8785146850243604,2.4152506509653717,1.3947014327826868,1.3170475249401687
2024-04-18,45.00629101659494,24.993397453470763,5.906704813481354,9.10218599321554,4.651824782350142,2.3488078713528497,2.879066125647629,2.41226787575293,1.3822487540254886,1.3172053141083544
2024-04-19,44.93845379375263,24.98086172610277,6.032953724474843,8.865794993776248,4.648153424523807,2.381241532091417,3.0438879001313315,2.4105652341399098,1.3815490937688781,1.3165385772381684
2024-04-22,44.81308179217328,24.98667154074749,6.09903730132203,9.011804829845559,4.680402759197535,2.4174771997587894,2.8813068349071354,2.400718507557436,1.3926476304721274,1.316851604018623
2024-04-23,44.793769676714106,24.962441871814388,6.114207494322126,8.999201943177598,4.699064418719158,2.4445505537819425,2.8815386958012343,2.3983162128219497,1.391344353105982,1.3155647797415162
2024-04-24,44.723223931509935,24.99394910930669,6.146703319003102,8.918792299948228,4.712644856673628,2.4771294237945267,2.9152024042489315,2.4020059034963497,1.3931009076733938,1.3172478443452138
2024-04-25,44.70032455042563,24.986047154656873,6.152642710259599,8.945500376138181,4.695093798056055,2.507690720488529,2.9060214616536353,2.397170186779622,1.392659668681624,1.3168493728602535
2024-04-26,44.73359312147004,24.97036377074167,6.12743054175598,8.962450154838052,4.689548109518692,2.5002856969604825,2.923874701879171,2.384459948288836,1.3917710874749762,1.3162228670721015
2024-04-29,44.79175599030317,24.959011977442707,6.11874167147263,8.90510737289885,4.683890005101818,2.5067719475633874,2.964304434917955,2.356398586482645,1.4000717163713798,1.313946297445457
2024-04-30,44.87247296685729,24.935401589438126,6.071131974784495,8.90732046891677,4.616468825690885,2.5301489331889844,3.0122879972794014,2.3433119057078726,1.3987497171361296,1.3127056210000498
2024-05-02,44.75913556512629,24.904316543664642,6.089575318386388,8.861842956860963,4.62752612049262,2.6306152700191157,3.082160176819446,2.332611076292609,1.400452733358966,1.3117642389789572
2024-05-03,44.5833132296927,24.86645702765478,6.216382817266698,8.892017601113732,4.6935838434388675,2.6406061177507247,3.069233520702708,2.3303135422648014,1.3983229596175104,1.3097693404974802
2024-05-06,44.579963610597275,24.86023338397937,6.215013468530486,8.849750893229688,4.690452203304794,2.640024443366044,3.1296279382971735,2.3239806681381228,1.4011856265685865,1.3097677639884646
2024-05-07,44.639474667198584,24.849610813141346,6.2124080381376965,8.836327263663572,4.693361833055409,2.638917704023115,3.0999830649414144,2.320099699143525,1.4005982277421982,1.3092186889531374
2024-05-08,44.70059367635979,24.824219525048456,6.258464064787297,8.872695645937602,4.710961836560627,2.527608847154592,3.07902900225752,2.3193840580994842,1.3991646765434769,1.307878667251152
2024-05-09,44.674225741025474,24.789356607253055,6.247897040753038,8.853930425743155,4.797199244992899,2.5412764304652926,3.078832909867615,2.31402316932642,1.3972203053793808,1.3060381251936715
2024-05-10,44.41450594638477,24.902938084009342,6.329630942344708,8.902855481309624,4.7294999507547,2.5936595236376347,3.087987990168773,2.323210529805159,1.4036197495811693,1.3120918020041226
2024-05-13,44.31484460965548,24.891691743537766,6.37791253168498,8.906906233180116,4.725720438700051,2.6687673952673356,3.0776438592098665,2.3219562454749423,1.4030576910915349,1.3114992521979303
2024-05-14,44.12419747102974,24.84274674909149,6.425368441586589,8.957168359796276,4.883165584765532,2.7019044378457413,3.0710214894322885,2.2850027985786494,1.4003586050392884,1.3090660628344064
2024-05-16,43.84294706454416,24.825124447163816,6.594431745200634,8.925448339482884,4.9894316439106605,2.7562411803200666,3.0749789403592067,2.2775016820900835,1.405314665670441,1.3085802912580415
2024-05-17,43.78975574472731,24.823628836526755,6.7089183749893895,8.886137055743863,4.972902505040803,2.760619729918935,3.063635642051054,2.280807889256481,1.4052243243942324,1.3083698973511784
2024-05-20,43.79289222557745,24.766407410519196,6.773465311867015,8.898486996519486,4.952721436253002,2.836351699839401,2.9709605620169866,2.289567450698906,1.4134925536141922,1.3056543530943703
2024-05-21,43.687758121040766,24.72463942938849,6.846456522928052,8.88673779423946,5.019764016526422,2.8859542705999686,2.9556353051940625,2.2784902791604447,1.4111103595228383,1.3034539013994964
2024-05-22,43.47206738363497,24.690794274347212,6.958110109388575,9.028243512265934,5.096101258282698,2.8035060453818956,2.953001426351137,2.286957048224969,1.4093617330328618,1.3018572090897467
2024-05-23,43.34804965097962,24.70499334114573,6.954561651121996,9.082873805263924,5.151326260663277,2.800267633929039,2.9533860167640635,2.291710301362809,1.4101998985153135,1.3026314402542267
2024-05-24,43.27015081363152,24.699242371214194,6.973422581764415,9.112653278747686,5.149964328319046,2.836724545514291,2.952737874001406,2.292907507645874,1.4098699964318495,1.3023267027297254
2024-05-27,43.170695119298166,24.678096021030868,6.9754625852567,9.340121056946511,5.154347164769186,2.8154600665023635,2.8579888612683306,2.2850243306490996,1.421581609417598,1.3012231848611808
2024-05-28,43.09917904773721,24.704607604995267,7.02402031582635,9.367849740514925,5.160436123262212,2.809794509409589,2.842663565272919,2.265668750114308,1.423127703450938,1.30265263941628
2024-05-29,43.10051561529292,24.671650931387195,7.044555827442592,9.361546078220316,5.153950687815431,2.8171966901482137,2.8363241206774696,2.2622710029724313,1.4512927802510116,1.3006962657924221
2024-05-30,43.121029433087514,24.66869053516273,7.061020151665579,9.323484882497466,5.1543853737800776,2.821108245852094,2.8359755996999585,2.2632244857867563,1.450544853237779,1.3005364392300438
