date,KINGKEY SECURITIES GROUP LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD,MINERVA HOLDING FINANCIAL SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,QUAM SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,29.728470090341318,0.0,0.0,13.259455134643936,29.9707889947575,0.0,0.0,27.04128578025725,0.0
2024-03-05,0.0,29.373224519126147,0.0,0.0,14.669441062189726,29.41632047578871,0.0,0.0,26.541013942895425,0.0
2024-03-06,0.0,28.475042191464162,0.0,0.0,16.062737652724373,29.177313718807284,0.0,0.0,26.284906437004178,0.0
2024-03-07,0.0,26.909794754467985,0.0,0.0,16.731388455998026,27.899235901573512,3.4920016505115483,0.0,24.967579237448927,0.0
2024-03-08,0.0,27.052846797352974,0.0,0.0,16.58581705875008,28.085012816463834,3.480780812762113,0.0,24.795542514670995,0.0
2024-03-11,0.0,18.05249857984004,0.0,0.0,12.528594808075525,34.8174418185261,4.273272589560246,0.0,30.32819220399809,0.0
2024-03-12,0.0,18.66331341546759,0.0,0.0,10.40801224625501,35.66152634884279,4.376870186002697,0.0,30.89027780343191,0.0
2024-03-14,0.0,21.11645100432065,0.0,0.0,9.955671977072019,34.80157324506224,4.2099962356714,0.0,29.9163075378737,0.0
2024-03-15,0.0,20.836362412847155,0.0,0.0,9.742476544567687,33.8999683510697,3.9864508931622535,0.0,31.534741798353206,0.0
2024-03-18,2.574641429688087,20.969537872460503,0.0,0.0,9.542311142327208,33.20347185247511,3.9045467137791725,0.0,29.805490989269924,0.0
2024-03-19,2.574641429688087,21.021030701054265,0.0,0.0,9.490818313733447,33.20347185247511,3.9045467137791725,0.0,29.805490989269924,0.0
2024-03-20,2.5876997316037835,21.1390329662595,0.0,0.0,9.538954714219617,32.85433631194824,3.9243501509664025,0.0,29.95562612500246,0.0
