date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,KAISA FINANCIAL GROUP CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PUBLIC BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,4.333383349483766,4.194040135572119,2.37248545851304,0.0,1.5647918887189232,1.7359670506257696,1.7367858704857315,0.0,1.0275809637076905,0.0,16.96503471710704
2024-03-04,4.334323267119062,4.194040135572119,2.37369825546181,2.2232387266372817,1.5650957549944375,1.738999042997694,1.737089069722924,0.0,1.0275809637076905,0.0,19.19406521621302
2024-03-05,4.367675183210231,4.195252932520888,2.372788657750233,2.222632328162897,1.568127747366362,1.7386958437605016,1.739211464383271,0.0,1.0275809637076905,0.0,19.231965120862075
2024-03-06,4.369949177489174,4.202529714213507,2.3491391172492224,2.222632328162897,1.5608509656737435,1.7356638513885772,1.7431530544667728,0.0,1.0281873621820754,0.0,19.21210557082597
2024-03-07,4.377832357656178,4.200104120315968,2.3458039256401055,2.223845125111666,1.5614573641481282,1.7432438323183883,1.7434562537039653,0.0,1.0215169789638416,0.0,19.21725995785824
2024-03-08,4.386928334771951,4.203136112687892,2.3524743088583393,2.223845125111666,1.5593349694877812,1.742334234606811,1.7440626521783502,0.0,1.0227297759126115,0.0,19.234845513615404
2024-03-11,4.39663071036211,4.206168105059816,2.3506551134351845,2.223845125111666,1.5581153505561747,1.742334234606811,1.7449722498899274,0.0,1.0275809637076905,0.8504738603247927,20.100775713054173
2024-03-12,4.391173124092646,4.211322492092088,2.353687105807109,2.223845125111666,1.5578121513189822,1.741727836132426,1.7437594529411578,0.0,1.0303097568424224,0.8504738603247927,20.10411090466329
2024-03-13,4.3893539286694905,4.213444886752435,2.3545967035186863,2.223845125111666,1.5590097883058924,1.7353606521513847,1.744669050652735,0.0,1.0303097568424224,0.8504738603247927,20.101063752329505
2024-03-14,4.3914763233298375,4.209200097431741,2.354899902755879,2.223845125111666,1.550520209664504,1.7180782956314158,1.7470946445502746,0.0,1.03000655760523,0.8504738603247927,20.07559501640534
2024-03-15,4.364188391982518,4.2161736798871665,2.3615702859741123,2.223845125111666,1.5502170104273116,1.70867911927845,1.7470946445502746,0.0,1.0221233774382266,0.8504738603247927,20.04436549497452
2024-03-18,4.346906035462549,4.2267856531889025,2.3615702859741123,2.223845125111666,1.5482462153855607,1.7101951154644124,1.744669050652735,0.0,1.0221233774382266,0.8504738603247927,20.03481471900296
2024-03-19,4.346906035462549,4.231333641746788,2.3615702859741123,2.223845125111666,1.5488526138599457,1.7132271078363368,1.7443658514155427,0.0,1.0221233774382266,0.8504738603247927,20.042697899169962
2024-03-20,4.342358046904662,4.229211247086441,2.3600542897881502,2.223845125111666,1.5483621890937869,1.6777527970848214,1.7583130163263947,0.0,1.0236393736241887,0.8504738603247927,20.014009945344906
2024-03-21,4.343570843853432,4.231030442509597,2.36247988368569,2.223845125111666,1.5483621890937869,1.656225651244158,1.7540682270057006,0.0,1.022426576675419,0.8504738603247927,19.99248279950424
2024-03-22,4.349390813851189,4.230120844798019,2.366724673006384,2.223845125111666,1.5483394491509974,1.6440976817564605,1.7552810239544705,0.0,1.022426576675419,0.8504738603247927,19.9907000486294
2024-03-25,4.348327433486507,4.233456036407135,2.367634270717961,2.2241483243488585,1.5482333294179802,1.6447040802308455,1.7537650277685082,0.0,1.022426576675419,0.8504738603247927,19.99316893937801
2024-03-26,4.332398740280907,4.237397626490638,2.3567190981790334,2.2241483243488585,1.5427757431485163,1.6668376245458936,1.7516426331081612,0.0,1.0215169789638416,0.8504738603247927,19.983910629390643
2024-03-27,4.332095541043715,4.238307224202216,2.353687105807109,2.2241483243488585,1.5424725439113238,1.6677472222574707,1.7540682270057006,0.0,1.0215169789638416,0.8504738603247927,19.984517027865028
2024-03-28,4.3084460005427045,4.2386104234394075,2.368847067666731,2.2241483243488585,1.5417448657420618,1.677449597847629,1.7525522308197385,0.0,1.0215169789638416,0.8504738603247927,19.983789349695765
2024-04-02,4.29825125971127,4.213444886752435,2.3976509952000127,2.223845125111666,1.5359840802354057,1.6732048085269347,1.7746857751347864,0.0,1.004537821681065,0.8504738603247927,19.972078612678366
2024-04-03,4.294570420971754,4.214960882938397,2.4064437730785935,2.225057922060436,1.53701495764186,1.677449597847629,1.7546746254800856,0.0,1.0224690245686259,0.8504738603247927,19.983115064912173
2024-04-05,4.298815210292448,4.209806495906125,2.3921934089305488,2.225057922060436,1.5372787409782172,1.676843199373244,1.7586162155635872,0.0,1.0224690245686259,0.8504738603247927,19.971554077998025
2024-04-08,4.277591263688977,4.207077702771394,2.3964381982512433,2.225057922060436,1.5381883386897945,1.6801783909823609,1.7607386102239344,0.0,1.0251978177033578,0.8504738603247927,19.96094210469629
2024-04-09,4.276984865214592,4.2064713042970086,2.3897678150330095,2.225057922060436,1.5381883386897945,1.6807847894567456,1.757100219377625,0.0,1.0282298100752822,0.8504738603247927,19.953058924529287
2024-04-10,4.272133677419513,4.21162569132928,2.39295140702353,2.225057922060436,1.539855934494353,1.6829071841170928,1.759222614037972,0.0,1.0264106146521277,0.8504738603247927,19.960638905459096
2024-04-11,4.272133677419513,4.2228440631054,2.3693018665225196,2.2253611212976288,1.5357021049448165,1.7365734491001545,1.754371426242893,0.0,1.0185274344851243,0.8504738603247927,19.985289003442844
2024-04-12,4.265463294201279,4.230424044035211,2.3662698741505954,2.2253611212976288,1.5325033529924363,1.7332382574910377,1.7501266369221988,0.0,1.018375834866528,0.8504738603247927,19.972236276281706
2024-04-15,4.26303770030374,4.2279984501376715,2.3738498550804064,2.2253611212976288,1.5319303064341425,1.7311158628306906,1.7489138399734292,0.0,1.0180726356293355,0.8504738603247927,19.970753632011835
2024-04-16,4.26303770030374,4.2258760554773245,2.3705146634712895,2.2253611212976288,1.5319303064341425,1.7311158628306906,1.7510362346337762,0.0,1.0186790341037204,0.8504738603247927,19.968024838877106
2024-04-17,4.2674253874249235,4.2237536608169775,2.322609183994884,2.2253611212976288,1.5309236849666639,1.7338446559654226,1.766802594967783,0.0,1.0192854325781053,0.8504738603247927,19.940479582337183
2024-04-18,4.264393395052998,4.223147262342593,2.326550774078386,2.225057922060436,1.531226884203856,1.7317222613050756,1.7713505835256698,0.0,1.0208014287640674,0.8504738603247927,19.944724371657873
2024-04-19,4.264393395052998,4.219812070733476,2.3241251801808462,2.225057922060436,1.531196564280137,1.7474886216390824,1.7716537827628622,0.0,1.0198918310524903,0.8504738603247927,19.95409322808712
2024-04-22,4.272882973694387,4.221328066919439,2.3207899885717294,2.225057922060436,1.531196564280137,1.7474886216390824,1.7783241659810958,0.0,1.0198918310524903,0.8504738603247927,19.96743399452359
2024-04-23,4.273489372168772,4.218599273784706,2.3207899885717294,2.225057922060436,1.5308933650429446,1.7480950201134673,1.7822657560645976,0.0,1.0192854325781053,0.8504738603247927,19.96894999070955
2024-04-24,4.212000566866145,4.218599273784706,2.320486789334537,2.225057922060436,1.53042947021004,1.7480950201134673,1.7816593575902127,0.0,1.0192854325781053,0.8504738603247927,19.906087692862442
2024-04-25,4.212000566866145,4.221328066919439,2.3126036091675335,2.225057922060436,1.531035868684425,1.7483982193506598,1.78256895530179,0.0,1.0189822333409129,0.8504738603247927,19.902449302016134
