date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-06-28,75.53160395871518,0.0,1.5749146025205112,0.0,0.0012032435946968023,2.808589321585009,1.4010130873524222,1.2437382109474164,0.07503864599654604,0.0010938578133607292
2024-07-02,91.36860969519789,0.0,1.9076471857817565,0.0,0.03488381801701102,3.3974771892606106,1.69476896089928,1.5045176482836502,0.0907722913161232,0.0013232112436752652
2024-07-03,83.0160219992159,0.0,6.020459136129466,0.0,0.5835110957276792,3.7920707171926646,1.9213727364524376,1.68270485615643,0.5513509601333342,2.4325084989920955
2024-07-04,82.37400839879986,0.0,6.4266239030553205,0.0,0.5812841408966926,3.778729852887988,1.8556461850533679,1.7997230589642188,0.5265682805527169,2.6574161797898324
2024-07-05,82.09889520554881,0.0,6.578392590572407,0.0,0.6542476302062359,3.7550522440035268,1.9109182354420668,1.6580512992748282,0.5494212433955608,2.7950215515565553
2024-07-08,82.29537079198472,0.0,6.66421423641245,0.0,0.7205287123718591,3.634369584036095,1.716816386397493,1.6778703701430433,0.5748106872979091,2.716019231356427
2024-07-09,82.27928872194926,0.0,6.699970017499285,0.0,0.6875003381104275,3.5776551653990936,1.7397166707303469,1.6804022712155384,0.6307025525972922,2.70476426249876
2024-07-10,82.2561572582604,0.0,6.685935746749995,0.0,0.7328125645132866,3.576649366712265,1.7489957756833967,1.6774282422845594,0.6293339973801694,2.6926870484159284
2024-07-11,82.27281844298517,0.0,6.709689915340947,0.0,0.7657268321183246,3.5773738257409966,1.6766694603810184,1.6777680094550522,0.6398273891065348,2.680126124871954
2024-07-12,82.2549814296115,0.0,6.749451672449952,0.0,0.7928399087015361,3.57659823951483,1.639020561118703,1.673592338869273,0.6339707848822769,2.679545064851924
2024-07-15,82.22921962441767,0.0,6.839748012542926,0.0,0.7900908032933196,3.575478068730014,1.5956365032130537,1.6613978147790778,0.6297233268645378,2.6787058461594007
2024-07-16,82.227080063558,0.0,6.803964452947869,0.0,0.8347082272295594,3.575385036679298,1.5889263795538824,1.6604019280797744,0.630897764303383,2.678636147648225
2024-07-17,82.2414765087418,0.0,6.800987093142472,0.0,0.8343779568461123,3.5769638454560577,1.5653839512932162,1.6598589121353924,0.6418466049500606,2.6791051274348976
2024-07-18,82.28626501875328,0.0,6.799209168029938,0.0,0.8406715872628084,3.5718809415284394,1.5213101335395003,1.6618353789686018,0.6435070006590345,2.6753207712583937
2024-07-19,82.32941392235624,0.0,6.802655276470319,0.0,0.8569462188750843,3.5551539979919924,1.4943748682428988,1.6501876073275266,0.638598300100448,2.6726698086354825
2024-07-22,82.33019922370458,0.0,6.891190002917716,0.0,0.8492043395863029,3.479952776182956,1.480915952806277,1.6579534009803294,0.6378890018528708,2.6726953019689628
2024-07-23,82.31831038329518,0.0,6.973168087590709,0.0,0.866144863772784,3.3924237645552404,1.4331355678175748,1.667251134992346,0.6356510292062812,2.713915168769878
