date,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,48.87925973553997,34.65824271057561,0.0,0.0,16.462497553884432
2024-03-05,0.0,36.24586705138274,21.074775903709376,15.014759211890091,10.395950633575175,10.0463579582803,7.222289241162322
2024-04-03,0.0,36.24586705138274,21.07231398346082,15.014759211890091,10.395950633575175,10.0463579582803,7.224751161410878
2024-05-28,0.0,36.24122745477416,21.06961665423556,15.012837270670715,10.407420262456338,10.045071989641565,7.223826368221663
2024-06-27,0.0,36.237837731400006,21.06764596568351,15.01143308629334,10.406446833072017,10.053485676028915,7.223150707522208
2024-07-17,86.97012539638841,4.714573338063431,2.740918558711527,1.9530001408841682,1.3538875345386263,1.3277570151747928,0.9397380162390438
2024-08-30,87.0065129470621,4.67470673702861,2.7420653354063176,1.95381725930579,1.3544539894108596,1.3283125372630022,0.9401311945233115
2024-09-05,87.03729616482315,4.6763606651149185,2.707655127706239,1.9545085268916438,1.3549332001123469,1.3287824990245332,0.9404638163271821
2024-09-16,87.07887690973591,4.678594725322488,2.708948668775848,1.9076687840408266,1.355580498848064,1.3294173046604052,0.9409131086164594
2024-10-16,87.07695314545741,4.678594725322488,2.708948668775848,1.9076687840408266,1.3575042631265684,1.3294173046604052,0.9409131086164594
2024-11-18,87.03236102278393,4.676198816159446,2.7587714328859527,1.9066918665286097,1.3568090849600793,1.3287365098301747,0.9404312668518031
2024-12-06,87.03236102278393,4.676198816159446,2.7558872642082224,1.9066918665286097,1.3596932536378092,1.3287365098301747,0.9404312668518031
2024-12-16,87.03286305769906,4.675648953144417,2.7559031611873754,1.9067028650339717,1.3597010968524386,1.3287441744748323,0.9404366916079018
2025-01-14,87.03291883971383,4.675651949910349,2.755840834481641,1.9067040870979557,1.359701968326316,1.3287450261074747,0.9404372943624425
2025-03-10,87.03253428142538,4.675651949910349,2.755840834481641,1.9067040870979557,1.360086526614749,1.3287450261074747,0.9404372943624425
2025-04-09,87.03253428142538,4.670780878256866,2.7607119061351235,1.9067040870979557,1.360086526614749,1.3287450261074747,0.9404372943624425
2025-04-25,87.03113975866931,4.670706038310205,2.762269971761405,1.9066735359683058,1.3600647339411556,1.3287237356189092,0.940422225730712
