date,KINGSTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,QUAM SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FULBRIGHT SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,80.19376949292429,8.561973747937744,0.0,5.898102832914208,5.346153926223759,0.0,0.0,0.0,0.0,0.0
2024-03-05,77.5859869709679,8.286112673106027,0.0,5.708069899521064,5.173904417906929,0.0,3.2459260384980744,0.0,0.0,0.0
2024-03-06,77.57863067946379,8.28788390101275,0.0,5.709290048594387,5.177575487800908,0.0,3.246619883128163,0.0,0.0,0.0
2024-03-07,77.57628536541398,8.288319587649838,0.0,5.710061451858366,5.178275049146854,0.0,3.2470585459309684,0.0,0.0,0.0
2024-03-08,77.5721682392038,8.289841371991486,0.0,5.711109852805675,5.179225810975377,0.0,3.2476547250236485,0.0,0.0,0.0
2024-03-11,77.57184852330005,8.28995954632749,0.0,5.711191266500391,5.179299642493227,0.0,3.2477010213788473,0.0,0.0,0.0
2024-03-13,77.56605001110619,8.291997401749747,0.0,5.712880380111822,5.180572828906378,0.0,3.2484993781258624,0.0,0.0,0.0
2024-03-14,76.28050885307374,8.15755113846551,0.0,5.620251863424904,5.096575135133423,0.0,3.1958282807400833,1.6492847291623374,0.0,0.0
2024-03-15,76.27648881426732,8.158933700677276,0.0,5.621204397796442,5.097438915460589,0.0,3.1963699177266296,1.6495642540717466,0.0,0.0
2024-03-18,73.93695199931022,7.908684560211357,0.0,5.448791969832353,4.9410913149076325,3.0671794825976493,3.098331515422195,1.5989691577185927,0.0,0.0
2024-03-19,73.9366684368674,7.9084986090072915,0.0,5.449123248577341,4.941145073313921,3.0672128530962444,3.0983652248507005,1.5989865542871124,0.0,0.0
