date,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,EAST ASIA SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,HING WONG SECURITIES LTD
2024-06-03,0.0,100.0,0.0,0.0,0.0,0.0
2024-07-02,72.5,27.500000000000004,0.0,0.0,0.0,0.0
2024-09-03,63.63636363636363,36.36363636363637,0.0,0.0,0.0,0.0
2024-09-04,55.44554455445545,31.683168316831683,9.900990099009901,2.9702970297029703,0.0,0.0
2024-09-05,56.56565656565656,32.323232323232325,10.1010101010101,1.0101010101010102,0.0,0.0
2024-09-10,56.56565656565656,32.323232323232325,10.1010101010101,1.0101010101010102,0.0,0.0
2024-09-11,58.333333333333336,30.208333333333332,10.416666666666668,1.0416666666666665,0.0,0.0
2024-09-12,62.92134831460674,24.719101123595504,11.235955056179774,1.1235955056179776,0.0,0.0
2024-10-02,58.22784810126582,27.848101265822784,12.658227848101266,1.2658227848101267,0.0,0.0
2024-10-07,68.65671641791045,14.925373134328357,14.925373134328357,1.4925373134328357,0.0,0.0
2024-10-08,66.12903225806451,16.129032258064516,16.129032258064516,1.6129032258064515,0.0,0.0
2024-10-09,71.9298245614035,17.543859649122805,8.771929824561402,1.7543859649122806,0.0,0.0
2024-12-12,56.75675675675676,27.027027027027028,13.513513513513514,2.7027027027027026,0.0,0.0
2025-01-07,56.75675675675676,27.027027027027028,13.513513513513514,2.7027027027027026,0.0,0.0
