date,HAO TIAN INTERNATIONAL SECURITIES LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,77.64127392272745,0.0,0.0,0.0,22.358726077272557
2024-04-08,0.0,0.0,59.256512239700534,0.0,23.679108744820905,0.0,17.064379015478558
2024-04-24,0.0,0.0,56.94420846047882,0.0,25.022962588688518,0.0,18.032828950832663
2024-05-02,0.0,0.0,29.359085455364582,48.42098675820868,12.91367320962508,0.0,9.306254576801663
2024-05-03,0.0,0.0,29.390253621379962,48.399622462975,12.907975442076902,0.0,9.302148473568133
2024-05-06,0.0,0.0,25.556720372012016,42.10068626984661,11.246694824437437,13.019710226723152,8.076188306980779
2024-05-07,0.0,0.0,25.476914128801532,42.10068626984661,11.246694824437437,13.099516469933636,8.076188306980779
2024-05-13,0.0,0.0,25.432627328326852,42.159566710951815,11.202485637162699,13.117836962456508,8.087483361102125
2024-05-14,0.0,0.0,25.40724616992678,42.117492464081636,11.191305822401103,13.204543298916724,8.07941224467376
2024-05-16,66.1802392879883,13.618682264057194,5.132537730251825,8.50818769298046,2.260764468533747,2.6674601505082878,1.6321284056801888
2024-05-17,66.18026597213202,13.618687755165698,5.132539799712074,8.508191123516609,2.2607250596734003,2.667461226039153,1.6321290637610513
2024-05-24,66.16425935180655,13.61539388559558,5.139360554937799,8.50613329883171,2.276302534905079,2.6668160633392013,1.6317343105840727
2024-05-27,66.1669265841413,13.615942753204433,5.143598962574689,8.506476200482851,2.268331841295122,2.6669235687825426,1.6318000895190679
2024-05-28,66.16711329845816,13.615981175594301,5.143331290354825,8.506500204633788,2.2683382422276126,2.6669310944881777,1.6318046942431303
2024-05-29,66.16724666647252,13.616008620291256,5.143341657376253,8.506517350538829,2.268141251955276,2.666936470018207,1.631807983347657
2024-06-04,66.16457940833278,13.615459747372208,5.143134324887866,8.510205530848944,2.2680498212471667,2.6668289635347704,1.6317422037762628
2024-06-06,66.16724666647252,13.616008620291256,5.155435400721671,8.49442360719341,2.268141251955276,2.666936470018207,1.631807983347657
2024-06-11,66.16738003502451,13.61603606509885,5.155445792161378,8.494440728791083,2.267944260888821,2.666941845569907,1.6318112724654432
2024-06-13,66.16791351460898,13.616145845435598,5.154681100657192,8.494509215871995,2.2679625463636466,2.6669633479934096,1.6318244290691821
2024-06-18,66.16524620270762,13.615596961453392,5.158504434875411,8.494166791510636,2.267871121937963,2.666855839343057,1.6317586481719257
2024-06-19,66.16527287476217,13.615602450074164,5.158506514334335,8.49425083816816,2.267751102319885,2.666856914386656,1.631759305954646
2024-06-21,66.16267245060212,13.615067330365191,5.1622339698456585,8.493916997557498,2.2676619752824037,2.666752101713024,1.6316951746341175
2024-07-05,66.16000556122327,13.614518533330388,5.1660566967938015,8.493574624189156,2.2675705702134628,2.666644610092861,1.631629404157056
2024-07-09,66.13601322804912,13.609581350180445,5.200447376550362,8.490494505460411,2.2667482560652865,2.6656775753201205,1.6310377083742462
2024-07-29,66.13614647072073,13.609608769084153,5.2004578537694774,8.490511611060159,2.266551355179803,2.6656829457980864,1.6310409943875868
2024-08-05,66.13460088873686,13.60929071659329,5.200336320623147,8.490313190340471,2.268835356675351,2.665620649584054,1.6310028774468448
2024-08-06,66.13465418346476,13.609301683673095,5.200340511326735,8.490320032279868,2.2687565997801906,2.6656227976808955,1.6310041917944544
2024-08-07,66.13705253512595,13.609795220559368,5.196902632598536,8.49062793096634,2.2688388754982256,2.665719465622141,1.6310633396294447
2024-08-09,66.1317231009783,13.608698520531012,5.204542024513412,8.489943741987613,2.268656048672489,2.6655046574956294,1.6309319058215268
2024-08-14,66.13059070687174,13.608465494544692,5.206467412774616,8.489798366034776,2.2683150256794073,2.665459015228595,1.6309039788661752
2024-08-16,66.13067063930127,13.608481943176065,5.206473705862052,8.489687757121944,2.268317767404969,2.665462236984406,1.6309059501492977
2024-08-19,66.12800632910883,13.607933676890626,5.210292801537953,8.489345719737425,2.2682263801244686,2.665354849320907,1.630840243279794
2024-08-21,66.12947167314712,13.608235217880502,5.21040825748345,8.489533836888237,2.266060721732876,2.665413911465,1.6308763814028158
2024-08-27,66.12973810631314,13.608290044950813,5.210026353766475,8.489568040902286,2.266069851606701,2.665424650317878,1.6308829521427097
2024-09-03,66.12707387125948,13.607741794127564,5.209816452211749,8.493254813413127,2.265978556178872,2.6653172656829227,1.6308172471262687
2024-09-04,66.113755915444,13.605001202515792,5.2289071423379925,8.491544276628224,2.265522189360815,2.6647804722713815,1.630488801441788
2024-09-10,66.11376923072028,13.605003942556001,5.228908195437188,8.491545986820853,2.2655025056875013,2.664781008956791,1.63048912982139
2024-09-23,66.12735360585312,13.607799358388284,5.209435609351082,8.493290742073578,2.2659679977666816,2.6653285406630265,1.6308241459042305
2024-09-24,68.2459276174425,10.839984511687181,5.376334393215957,8.765396974333825,2.3385645958367545,2.7507197663916836,1.6830721410921
