date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,MERRILL LYNCH FAR EAST LTD,UBS SECURITIES HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,MORGAN STANLEY HONG KONG SECURITIES LTD,BNP PARIBAS
2024-03-01,55.439843319942696,26.640661888141665,8.469338265901492,3.653907483737583,3.1319601503387293,0.1662952803318823,0.43170027813922124,1.2672214170472689,0.0,0.7990719164194646
2024-03-04,55.50177481439604,26.432428611695354,8.463459145388274,3.670785232894231,3.1008851704350744,0.17220794579769405,0.5150322512956446,1.2820360895037883,0.0,0.8613907385938979
2024-03-05,55.41325793143172,26.582354317931863,8.500340265523674,3.7893635161770773,3.0959580475451154,0.1660195597520553,0.31398483682732464,1.282110839074582,0.0,0.8566106857365856
2024-03-06,55.487611087525515,26.2983633537549,8.492547950503788,3.8178833497031808,3.1128939325518865,0.16359287507834752,0.33526746628235066,1.2807105152622809,0.14630596189608555,0.864823507441668
2024-03-07,55.231133077529456,26.497043916559004,8.426282165775099,3.9391760174886894,3.0824654272324983,0.1628148640314886,0.3524063110959971,1.2766225435299194,0.144503528277107,0.8875521484807346
2024-03-08,55.22912574781679,26.271890258929076,8.468477265045657,4.049155838310738,3.0885319517542125,0.16305063651221136,0.37715195387679246,1.2804567877956998,0.14529196044159923,0.926867599517226
2024-03-11,55.227075938386406,26.262176021767175,8.460720697814192,4.079266403095141,3.0934616551845098,0.17347737905739807,0.35647645451034515,1.2800014877400123,0.1571662656876012,0.9101776967572238
2024-03-12,55.179303039328964,26.2311332954707,8.455466577574947,4.211544817210395,3.100033284622592,0.16425538161769043,0.32325448723390676,1.278823745344481,0.15600329898149734,0.9001820726148323
2024-03-13,55.24089308224121,26.19601855537665,8.451410352511527,4.225789994347973,3.1370574269310976,0.16508438702710326,0.236144631939104,1.280159946719487,0.17144638528940662,0.8959952376164423
2024-03-14,55.24031582510993,26.28385921735058,8.406270573244475,4.1981535670407215,3.1193595584161247,0.14710823752248606,0.21844554629611204,1.2780773587848338,0.22176743970428106,0.8866426765304534
2024-03-15,55.254155810780084,26.096800173767797,8.564495124478885,4.336838695091906,3.0580781870921845,0.18163523174462318,0.14743713859753554,1.2777175875420663,0.25428407543357096,0.8285579754713495
2024-03-18,55.21367639728288,25.994496956878294,8.603165292889228,4.426058026938772,3.0472862445609166,0.1450999041410541,0.16357458039184633,1.2770487002430668,0.27285515746494954,0.8567387392089829
2024-03-19,55.02068556872486,25.898565094899684,8.713860624137997,4.531018635671342,3.058613216645569,0.14531541703698628,0.23507063536143508,1.2790272398232045,0.2626891782723039,0.8551543894266261
2024-03-20,54.90096738763057,25.887846369385404,8.767799892751164,4.579651560237786,3.09957964200026,0.14604582442560476,0.23696650688072668,1.2806841443507377,0.23869468139680028,0.8617639909409394
2024-03-21,54.7737394024011,25.880879809026613,8.774021878763246,4.647342021903434,3.138773762785188,0.14898569060223668,0.2539421250790998,1.2783678924913897,0.23826297698159327,0.8656844399660989
