date,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,YUNFENG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-13,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,53.50745450721457,46.49254549278544,0.0
2024-03-15,0.0,0.0,0.0,72.78302700879458,0.0,14.5782618926595,12.638711098545926,0.0
2024-03-18,0.0,0.0,0.0,72.78495372472142,0.0,14.577229883354745,12.637816391923842,0.0
2024-03-19,0.0,0.0,26.599251778838962,53.42470062637133,0.0,10.699795804301065,9.276251790488638,0.0
2024-03-20,0.0,0.0,26.589718524434268,53.44399048218483,0.0,10.695960964271398,9.2703300291095,0.0
2024-03-21,0.0,0.0,26.594415215924528,53.45446962780079,0.0,10.687459921247319,9.26365523502736,0.0
2024-03-22,0.0,0.0,26.59455337902741,53.454747334053266,0.0,10.687515444657501,9.263183842261824,0.0
2024-03-25,0.0,43.949953802603645,16.508567502043476,27.157083244259827,0.0,6.634274606258231,5.750120844834819,0.0
2024-03-26,0.0,43.949528602073315,16.508407787389658,27.157787974166368,0.0,6.6342104219568405,5.750065214413825,0.0
2024-04-03,0.0,43.949953802603645,16.508567502043476,27.158050718869593,0.0,6.634274606258231,5.749153370225054,0.0
2024-04-05,0.0,43.8339812619852,16.59803525580421,27.18998435367135,0.0,6.631366165386705,5.746632963152537,0.0
2024-04-08,0.0,43.705041198977284,16.726975318812123,27.18998435367135,0.0,6.631366165386705,5.746632963152537,0.0
2024-04-09,0.0,43.609179597276096,16.82078219540028,27.191799671155863,0.0,6.6314944251830585,5.746744110984701,0.0
2024-04-10,0.0,43.51247267961075,16.917489113065624,27.191799671155863,0.0,6.6314944251830585,5.746744110984701,0.0
2024-04-11,0.0,43.60777387281027,16.91694378456905,27.190923154366953,0.0,6.631280661612073,5.653078526641657,0.0
2024-04-12,44.79131057267893,24.073728429589686,9.340800390713227,15.014343614044643,0.0,3.660807136215115,3.1190098567583964,0.0
2024-04-15,44.79107145348769,24.073599911571375,9.340750524687731,15.014797311450742,0.0,3.6607875929324885,3.118993205869978,0.0
2024-04-18,44.78836161440829,24.072143469925635,9.340185413606854,15.019938876855242,0.0,3.660566116978491,3.1188045082254843,0.0
2024-04-19,44.78836004251245,24.072144155268493,9.3401856795254,15.019939304478477,0.0,3.6605662211961674,3.1188045970190057,0.0
2024-04-22,44.7892367192688,24.072615337719387,9.34036850210871,15.020233301214628,0.0,3.6586804959266312,3.118865643761847,0.0
2024-04-23,44.79003372792032,24.073043701408835,9.34053471066795,15.0205005809623,0.0,3.656966136165951,3.118921142874649,0.0
2024-04-24,44.7812484549954,24.075399974234745,9.377041740737239,14.98975932621392,0.0,3.657324080513945,3.119226423304754,0.0
2024-04-26,44.78188601967294,24.07574274325416,9.377175244621117,14.9899727401182,0.0,3.6573761509838065,3.1178471013497777,0.0
