date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD
2024-03-01,47.941344390044605,8.822776007395966,14.225829775884627,5.18049623573561,7.621536723948213,0.10829724699544106,8.476846010437457,3.302669692615795,1.4050757658986457,2.915128151043642
2024-03-04,47.99888768180918,8.860600169235292,14.242890694613742,5.298000630551253,7.618012003631994,0.1078752589904306,8.219082033885856,3.298623715123167,1.4376643327626382,2.918363479396448
2024-03-05,48.0152569031487,8.809113661688428,14.175879490932724,5.3875496834067915,7.626759003128251,0.10790545918502878,8.208005377657447,3.2963561291738337,1.4497206973111667,2.9234535943676314
2024-03-06,48.23485462956333,8.747903856145781,13.952429151939466,5.441950939262445,7.621267275126836,0.10779032112177342,8.205189232048816,3.292838827423028,1.4689783281638213,2.9267974392047003
2024-03-07,48.44252020156492,8.768661677864584,13.685031178591004,5.467194360288404,7.657775762779957,0.1078284766198332,8.194083953473143,3.288165748659407,1.4555247212428708,2.93321391891588
2024-03-08,48.216888936836156,8.77206425480259,13.656445295182717,5.741252802435657,7.674973906489749,0.1088335123627287,8.175771209678887,3.2783323826963375,1.449210782766618,2.9262269167485595
2024-03-11,48.4129120973117,8.734150993825505,13.435387036084057,5.8195394908062426,7.676924196109487,0.10784444638638473,8.159800463373859,3.2824069199059407,1.4470670351626735,2.92396732103415
2024-03-12,48.46970520950966,8.744818400354374,13.444547088520384,5.874974884319979,7.688723166944877,0.10716995538522048,8.047697368626611,3.2838591236459664,1.4209736768509855,2.9175311258419403
2024-03-13,48.41282285805928,8.660738654821397,13.514526074933098,5.982975748345434,7.69793403148676,0.1070396784827103,8.038757166270681,3.283057762969669,1.3816845173543595,2.92046350727661
2024-03-14,48.30226416366021,8.701370281620422,13.549336397716738,6.0130537152941725,7.712094268060393,0.11124783025429337,8.031858412669804,3.2816765897207625,1.3836452530229522,2.9134530879802503
2024-03-15,48.27933316392131,8.769858368780541,13.452246123561507,6.036263445539953,7.734116581390616,0.11084881154016565,8.03581467646831,3.2821873568871265,1.3840718437730488,2.9152596281374277
2024-03-18,48.258864525574424,8.833701398588659,13.493247313195432,5.937085238202626,7.730813180661854,0.1111301383319711,8.051476593457842,3.286685131074421,1.382533371799137,2.9144631091136337
