date,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,YUNFENG SECURITIES LTD,FORTUNE (HK) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,LUK FOOK SECURITIES (HK) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,3.2770908141242403,6.156384645392419,0.0,0.0,2.740360993176201,2.0691264419884914,0.05220805051809162,0.0,0.7442488055847635,0.31268207731202846,15.352101828096234
2024-03-04,3.278311682764444,6.156384645392419,0.0,0.0,2.881066239071306,2.1163884882858865,0.05220805051809162,0.0,0.7490587794217768,0.31362785868447485,15.5470457441384
2024-03-05,3.281689473380324,6.156546779341981,0.0,0.0,2.853692623920213,2.1792153937412584,0.053613211414297764,0.0,0.7487885561725064,0.3127901666117366,15.586336204582315
2024-03-06,3.2834786755583933,6.156412248697332,0.0,0.0,2.8384790549862884,2.161596837888827,0.0567153472935972,0.0,0.7562196955274428,0.3141412828580887,15.56704314280997
2024-03-07,3.2831003630094147,6.156115003123134,0.0,0.0,2.900657424643411,2.195536877997191,0.014236252508288033,0.0,0.7903488919102962,0.31635711350210605,15.65635192669384
2024-03-08,3.281208800264521,6.156628427296748,0.0,0.0,2.854368182043389,2.1602997662923293,0.008561564273609325,0.0,0.7918351197812834,0.316303068852252,15.569204928804131
2024-03-11,3.283397608583612,6.156709494271529,0.0,0.0,2.8634476832188747,2.247446764182038,0.011020595841970097,0.0,0.796780205242932,0.309142152746586,15.667944504087542
2024-03-12,3.2849404752476463,6.156682471946602,0.0,0.0,2.888875690975221,2.2133445901241116,0.012993225561644124,0.0,0.7990771028617305,0.3094123759958564,15.665325932712811
2024-03-13,3.282103131130307,6.156682471946602,0.0,0.0,2.8547464945923675,2.2081563037381198,0.025045182479104613,0.0,0.7842148241518578,0.3108986038668437,15.621847011905201
2024-03-14,3.280752014883955,6.156655449621675,0.0,0.0,2.804539014877925,2.1952666547479205,0.025666695952426568,0.0,0.8109128811797748,0.31254696568739326,15.58633967695107
