date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-01,28.7346783944617,0.0,68.70480570900212,0.0,0.0,0.0,0.0,2.560515896536191,0.0,0.0
2024-03-04,26.065076668315445,0.0,62.32177036065292,0.0,0.0,0.0,0.0,2.322630594206327,0.0,9.290522376825308
2024-03-05,25.196720295751668,0.0,59.933084119870294,0.0,0.0,3.55232450071253,0.0,2.230529337656705,0.0,9.087341746008798
2024-03-06,21.63926284609518,0.0,51.68413771084979,0.0,0.0,3.0507813192855497,13.90588694372018,1.9156068749002289,0.0,7.804324305149081
2024-03-07,12.79028224365845,3.3583422650946764,38.459271168274384,29.636477313326186,0.0,1.6434440871739908,7.395498392282958,0.964630225080386,1.6791711325473382,4.072883172561629
2024-03-08,12.68104280656582,3.057611844222723,42.37125844866431,26.762954618603153,0.0,1.931123270035404,6.662375281622143,0.8690054715159318,1.9954940457032506,3.6691342130672675
2024-03-11,11.862430778198776,2.7688720489653162,46.15199650247741,24.964296123579132,0.0,1.8944914019236374,6.3538327018361995,0.8743806470416788,1.8070533372194695,3.322646458758379
2024-03-12,12.143273150844497,2.766453115899825,46.05343622597554,24.9424868957484,0.0,1.8928363424577752,6.493884682585906,0.8736167734420501,1.5142690739662201,3.3197437390797906
2024-03-13,12.59475218658892,2.7696793002915454,46.28206997084548,24.24271137026239,0.0,1.8950437317784257,6.501457725947522,0.8746355685131195,1.5160349854227406,3.323615160349854
2024-03-14,11.518324607329843,2.7632344386271086,47.425101803374055,24.18630017452007,0.0,1.890634089586969,6.660849331006399,0.8435136707388016,1.5125072716695753,3.1995346131471787
2024-03-15,12.360939431396787,2.9357231149567364,44.51406056860321,26.005098887515448,0.0,1.6069221260815822,6.61310259579728,0.7416563658838072,1.6069221260815822,3.6155747836835603
2024-03-18,15.777126099706745,2.785923753665689,42.68255131964809,24.854105571847505,0.0,1.5249266862170088,6.363636363636363,0.8797653958944283,1.6422287390029326,3.4897360703812317
2024-03-19,15.771330077563919,2.8727377190462513,42.185435219764436,25.15153691467969,0.0,1.4938236139040506,6.3487503590922145,0.9192760700948004,1.8098247629991384,3.4472852628555013
2024-03-20,17.607052896725442,2.518891687657431,43.96662468513854,22.154282115869016,0.0,1.4609571788413098,5.969773299748111,1.2090680100755666,2.040302267002519,3.0730478589420653
2024-03-21,17.268701934281054,2.4469820554649266,41.33010953157772,20.54357958517828,3.9850850617571663,1.631321370309951,5.942670706129107,1.4215800512701002,2.4702866464693543,2.95968305756234
2024-03-22,18.17369948649252,2.4335789238669343,40.198146907791916,20.59667336459031,3.8178164768921636,1.6744809109176158,5.983478455012279,1.6744809109176158,2.478231748158071,2.9694128153605717
2024-03-25,18.632855567805954,2.4035281146637266,39.87816979051819,20.80540242557883,3.7706725468577726,1.6538037486218304,5.909592061742006,1.6538037486218304,2.491730981256891,2.8004410143329657
2024-03-26,13.392997330821165,1.6643115088710945,56.75105982100801,15.144057151829173,2.6848798869524257,1.1775788977861517,4.207881928089182,1.1932799497566335,1.7899199246349504,1.9940336002512167
2024-03-27,13.43608905495874,1.6658882142301106,56.50747314339094,15.016736727385958,2.6623073330219524,1.2455238984898023,4.2970574497898175,1.3389381908765374,1.7748715553479684,2.055114432508174
2024-03-28,13.857620930940067,1.6276239732278672,56.000532400365074,14.671813203529055,2.601156069364162,1.216915120170368,4.822026163675084,1.4602981442044418,1.7341040462427744,2.0079099482811076
2024-04-02,14.18899028554607,1.5749190462172504,56.38026199587871,14.432219605534295,2.5316455696202533,1.3246982631733883,4.533411833971151,1.4130114807182808,1.6485133941713275,1.972328525169267
2024-04-03,14.648295866569978,1.551849166062364,55.98948513415518,14.220812182741117,2.4945612762871647,1.3633067440174038,4.5395213923132705,1.5953589557650472,1.6243654822335025,1.9724437998549675
2024-04-05,15.759475634083783,1.52465089769165,54.765958962667426,13.971573097748646,2.4508406953548016,1.3394129381590196,4.459960102593332,1.8951268167569109,1.738387004844685,2.0946138500997433
2024-04-08,15.76179647527004,1.5207504263786242,54.62585275724844,13.950042637862422,2.44457077885162,1.335986355884025,4.519613416714042,2.0181921546333146,1.733939738487777,2.0892552586696986
2024-04-09,15.799943165672065,1.5203182722364308,54.6813725490196,13.94607843137255,2.443876101165104,1.3356067064506962,4.518329070758739,1.9607843137254901,1.7050298380221656,2.0886615515771525
2024-04-10,17.095080154781648,1.478717523493643,54.193960751796574,13.564469320066335,2.377003869541183,1.299060254284135,4.39469320066335,1.9071310116086235,1.658374792703151,2.03150912106136
2024-04-11,16.96636925188744,1.4824982841455046,53.85689773507206,13.500686341798215,2.361015785861359,1.2903225806451613,4.667124227865477,2.0864790665751545,1.7433081674673987,2.045298558682224
2024-04-12,16.396176791327218,1.3855924049008916,56.2188081339406,12.64385143370325,2.2066842003977163,1.2701263711591506,4.362050163576881,1.9500930143049586,1.6550131502982874,1.9116043363910449
2024-04-15,16.409639864041722,1.4078652439862762,54.23558640800913,14.504561253169534,2.26383963829726,1.3045855542729972,4.3741986231506385,1.9440882769558392,1.6499170245217318,1.9057181135948686
2024-04-16,16.840004558011476,1.4176031635063429,53.55601888495025,14.130451520312409,2.1804541380892695,1.7492908904444986,4.496416725438324,2.0819025386276073,1.7123340406463752,1.8355235399734529
2024-04-17,16.691934367021226,1.4041113649743915,53.754007497948585,13.995967336031946,2.1719037407381423,1.8546593741134698,4.429219426336773,2.086491795877653,1.7936508420702637,1.818054254887546
2024-04-18,17.19343817771152,1.3686960642864212,53.58941517713861,13.774547592408732,2.135681783414271,1.8597229012877081,4.3433528404267765,2.0516942975496653,1.895717538086825,1.7877336276894744
2024-04-19,17.066932665902325,1.3998412519805488,54.25958646445048,14.099378693096288,2.165298656115904,1.8855128747076695,3.284441781748844,2.104475660157592,1.9220066722826568,1.8125252795576954
2024-04-22,17.07524120451648,1.4005227238843434,54.28600116228477,14.106242564572222,2.1663527686414352,1.7160434852721478,3.565962703437868,2.044647556920006,1.825578175821434,1.8134076546492912
2024-04-23,17.071085924263027,1.400181905013947,54.27279059934356,14.10280979366861,2.1658255841189016,1.7156258840492422,3.6137651600186165,2.019814870582796,1.8251339192013212,1.8129663597399794
2024-04-24,17.10550727987761,1.400011557775189,54.241855570391415,14.101094034667241,2.165562088064164,1.7154171596463323,3.6133255064890824,2.019569138307029,1.824911871964183,1.8127457928177553
2024-04-25,16.925453066595992,1.4022293100349414,54.41307731910084,14.135616868181916,2.1689925456112933,1.657207787658067,3.6312347111919405,2.0227683290532283,1.8278027069758092,1.8156173555959703
2024-04-26,17.061222741361533,1.8612521150592216,53.93072091009506,14.16118204655119,2.1785492453101525,1.61555337292663,3.610517007676938,2.007202675454298,1.7501828206705157,1.8236170648944536
2024-04-29,17.05305703115628,1.8710993131407585,53.60085880474803,14.334533978462211,2.2146827313189976,1.6241006696339315,3.6296189207728013,2.0793410088495032,1.7594423921034257,1.8332651498140589
2024-04-30,16.823203817908432,1.8812476068027508,54.37281888283218,14.32089233958963,2.2289811128094814,1.5067414226254037,3.362150281891396,1.9301233099746906,1.718432366300047,1.8554088592659927
2024-05-02,15.656576943583325,1.86544410851055,55.225190998106775,14.64834957841538,2.2859113155802735,1.5069136046842027,3.422481746231918,1.762322690223898,1.7878635987778675,1.8389454158858065
2024-05-03,20.380727670365246,2.2900883034220025,44.092136566552874,17.98285667253266,2.8062694253810605,1.8499429731562302,4.2015653966599125,2.163492629623388,1.9596853529197353,2.2732350093868927
2024-05-06,20.82620039905078,2.299461242094741,43.202166050774686,17.285116665289273,2.8020133567883887,1.8102895282621614,4.09282849867967,3.463162575805874,1.9677060089806102,2.251055674273818
2024-05-07,20.43564553353526,2.338166012687337,44.19353368442424,17.370298703504968,2.950158073778813,1.9060010027222667,4.259497893040196,2.651827482048371,1.607670410991825,2.28720120326672
2024-05-08,19.49996517863361,2.3117290651896947,45.49636833631705,17.026419175511975,2.8348688873139616,1.8844504164225757,4.178563966850059,2.7037766844323916,1.8352908403419868,2.228567448986698
2024-05-09,19.584766856800744,2.297601522166134,45.3771174798965,17.059578533848924,2.837658849435954,1.8863050155210097,4.1826763387639785,2.6244243694205354,1.9191103201387665,2.230760714007455
2024-05-10,19.65597924197004,2.3040261860409648,45.20792983062138,17.10728134779158,2.845593647582273,1.8915795923234766,4.194372139499883,2.63176291105875,1.9244766287117108,2.2369984743999374
2024-05-13,19.059271003691173,2.3316396382899924,46.06600833114859,17.31230987544891,2.2638086082986897,1.9142499261349213,4.178058534433611,2.6633042450572817,1.9475412291981373,2.2638086082986897
2024-05-14,19.35348392709445,2.28119120779282,47.01148095293195,17.862974248209717,0.2914164984593496,1.8170675786288855,4.3026788890174545,2.7427435149115253,2.0056311952790526,2.3313319876747967
2024-05-16,19.41186865095271,2.294169112544877,46.847941798873386,17.96459833723381,0.2930743934868526,1.8101653715364425,4.327157221482353,2.758347232817436,1.9480827331773143,2.344595147894821
2024-05-17,18.183174420696524,2.335642795399797,47.519339368064486,18.3069112736559,0.29837255323536765,1.755132666090398,4.422934318547803,2.808212265744637,1.9832999126821498,2.3869804258829412
2024-05-20,18.116526967532494,2.3225980984628003,47.393567585728434,18.239572743179032,0.31415942718264445,1.7453301510146912,4.7298447092498135,2.792528241623506,1.972223070646601,2.37364900537998
