date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,459418418.0,0.0,177181141.0,82118002.0,0.0,35850427.0,59804852.0,0.0,0.0,37064030.0
2024-03-05,459518418.0,0.0,177191141.0,82270002.0,79420491.0,35760427.0,59864852.0,0.0,0.0,0.0
2024-03-06,458968418.0,0.0,177389141.0,82390002.0,0.0,35724427.0,59872852.0,0.0,0.0,0.0
2024-03-07,459028418.0,0.0,177327141.0,82292002.0,79612491.0,35918427.0,59900852.0,73270303.0,0.0,37526030.0
2024-03-08,459262418.0,4015552.0,178007141.0,82552002.0,79712491.0,36026427.0,59242852.0,73070303.0,0.0,38134030.0
2024-03-11,455410418.0,0.0,178593141.0,82262002.0,80130491.0,42848427.0,56092852.0,72572303.0,157349762.0,39310030.0
2024-03-12,455726418.0,0.0,179093141.0,82136002.0,80448491.0,42802427.0,55278852.0,0.0,0.0,39934030.0
2024-03-13,454684418.0,0.0,177315141.0,82772002.0,88730491.0,46600427.0,55354852.0,72672303.0,157427762.0,41452030.0
2024-03-14,454890418.0,0.0,179069141.0,83142002.0,90168491.0,46496427.0,55724852.0,74072303.0,0.0,42952030.0
2024-03-15,457460418.0,0.0,180711141.0,83542002.0,90074491.0,46656427.0,55752852.0,73622303.0,0.0,43356030.0
2024-03-18,457132418.0,0.0,181751141.0,83672002.0,90200491.0,50018427.0,57286852.0,71944303.0,0.0,44110030.0
2024-03-19,457266418.0,0.0,182151141.0,0.0,90160491.0,50622427.0,57508852.0,71924303.0,157727762.0,44116030.0
2024-03-20,457576418.0,0.0,182245141.0,83802002.0,91372491.0,50948427.0,56662852.0,72624303.0,157649762.0,44186030.0
2024-03-21,457656418.0,0.0,0.0,83652002.0,90922491.0,51020427.0,56666852.0,72978303.0,0.0,44922030.0
2024-03-22,458708418.0,0.0,182709141.0,84392002.0,91652491.0,50128427.0,56926852.0,73424303.0,0.0,45206030.0
2024-03-25,459094418.0,0.0,183663141.0,83934002.0,91962491.0,50356427.0,56904852.0,0.0,157631762.0,45586030.0
2024-03-26,459364418.0,0.0,183713141.0,84034002.0,92550491.0,49900427.0,56984852.0,0.0,0.0,45534030.0
2024-03-27,459680418.0,0.0,183953141.0,84038002.0,92644491.0,49564427.0,57738852.0,0.0,157625762.0,45944030.0
2024-03-28,459430418.0,0.0,183973141.0,0.0,0.0,49704427.0,57740852.0,0.0,157609762.0,46238030.0
2024-04-02,459728418.0,0.0,183803141.0,84238002.0,0.0,49706427.0,57730852.0,73624303.0,157619762.0,46258030.0
2024-04-03,459614418.0,0.0,0.0,84724002.0,92510491.0,49756427.0,58752852.0,73144303.0,0.0,44608030.0
2024-04-05,462714418.0,0.0,185839141.0,85834002.0,93286491.0,51058427.0,56472852.0,71824303.0,157765762.0,47508030.0
2024-04-08,461850418.0,0.0,191867141.0,87802002.0,96694491.0,63660427.0,53836852.0,75386303.0,157649762.0,48184030.0
2024-04-09,462642418.0,5111552.0,195681141.0,85694002.0,96574491.0,55018427.0,52266852.0,76600303.0,157665762.0,45204030.0
2024-04-10,461778418.0,6439552.0,187531141.0,85182002.0,93138491.0,64716427.0,52158852.0,77464303.0,162139762.0,41912030.0
2024-04-11,464946418.0,4015552.0,193009141.0,85282002.0,91684491.0,63970427.0,55620852.0,74052303.0,157495762.0,40634030.0
2024-04-12,467818418.0,0.0,192159141.0,84492002.0,92372491.0,56786427.0,58686852.0,72594303.0,156897762.0,40390030.0
2024-04-15,468028418.0,0.0,195027141.0,87002002.0,92584491.0,57440427.0,55020852.0,73784303.0,156873762.0,40700030.0
2024-04-16,470718418.0,0.0,200173141.0,88980002.0,91378491.0,56730427.0,63402852.0,75340303.0,156925762.0,39350030.0
2024-04-17,471362418.0,0.0,201359141.0,87254002.0,92698491.0,55506427.0,65878852.0,74916303.0,156931762.0,38922030.0
2024-04-18,467218418.0,0.0,202661141.0,86222002.0,93484491.0,55420427.0,66294852.0,74180303.0,157023762.0,39686030.0
2024-04-19,464956418.0,0.0,202647141.0,87440002.0,92784491.0,57284427.0,65482852.0,73898303.0,156921762.0,39214030.0
2024-04-22,466682418.0,0.0,203407141.0,87520002.0,92862491.0,55080427.0,65866852.0,74452303.0,156925762.0,38988030.0
2024-04-23,466806418.0,0.0,201539141.0,87250002.0,92362491.0,51890427.0,65702852.0,73978303.0,156929762.0,38720030.0
2024-04-24,209662231.0,259737739.0,201705141.0,87782002.0,93032491.0,55072427.0,66134852.0,74216303.0,157023762.0,39414030.0
2024-04-25,208476231.0,0.0,193901141.0,87702002.0,91798491.0,55412427.0,66706852.0,73546303.0,156829762.0,39314030.0
2024-04-26,210038231.0,0.0,194153141.0,87798002.0,92958491.0,55900427.0,66694852.0,74496303.0,156833762.0,39572030.0
2024-04-29,211212231.0,0.0,192355141.0,87358002.0,93112491.0,54816427.0,66524852.0,73696303.0,157319762.0,39210030.0
2024-04-30,211542231.0,0.0,191455141.0,87188002.0,95218491.0,54576427.0,66410852.0,74230303.0,157413762.0,39248030.0
2024-05-02,211366231.0,0.0,191371141.0,87712002.0,94846491.0,54652427.0,66944852.0,74676303.0,0.0,39356030.0
2024-05-03,211348231.0,0.0,191747141.0,87478002.0,95494491.0,55644427.0,66518852.0,75296303.0,157407762.0,40266030.0
2024-05-06,209174231.0,0.0,189483141.0,87600002.0,94824483.0,62348427.0,66574852.0,76302303.0,0.0,34480030.0
2024-05-07,209234231.0,0.0,190241141.0,87620002.0,94412491.0,61958427.0,67174852.0,76710303.0,157417762.0,35294030.0
2024-05-08,208614231.0,0.0,190805141.0,88160002.0,94718491.0,61638427.0,66852852.0,76398303.0,157337762.0,33380030.0
2024-05-09,209698231.0,0.0,191961141.0,88478002.0,94948491.0,61990427.0,66542852.0,75378303.0,157307762.0,31454030.0
2024-05-10,208518231.0,260037739.0,192039141.0,88554002.0,94468491.0,61944427.0,66240852.0,76018303.0,157489762.0,31748030.0
2024-05-13,206940231.0,0.0,191273141.0,88206002.0,94396491.0,63936427.0,66064852.0,76206303.0,157309762.0,32252030.0
2024-05-14,206790231.0,0.0,189815141.0,88304002.0,94434491.0,64084427.0,66812852.0,75960303.0,157347762.0,30972030.0
2024-05-16,208562231.0,0.0,191637141.0,88378002.0,95106491.0,65076427.0,66592852.0,75834303.0,0.0,32178030.0
2024-05-17,209844231.0,0.0,193909141.0,88480002.0,95380491.0,66346427.0,67180852.0,76190303.0,157413762.0,32290030.0
2024-05-20,212466231.0,0.0,196633141.0,89096002.0,96340491.0,67310427.0,68416852.0,76082303.0,157481762.0,33022030.0
2024-05-21,218062231.0,0.0,194619141.0,89050002.0,96630491.0,67524427.0,67984852.0,76128303.0,157581762.0,33240030.0
2024-05-22,208284231.0,261063739.0,187749141.0,88126002.0,97425491.0,81750427.0,71367734.0,76090303.0,157323762.0,30852030.0
2024-05-23,207254231.0,261173739.0,187841141.0,90682002.0,97517491.0,87666427.0,66708234.0,76160303.0,157747762.0,30594030.0
2024-05-24,207960231.0,261723739.0,188173141.0,91274002.0,99173491.0,86610427.0,70676752.0,75776303.0,157515762.0,31952030.0
2024-05-27,209596231.0,262123739.0,190741141.0,90782002.0,98141491.0,86044427.0,74503957.0,76680303.0,157505762.0,31738030.0
2024-05-28,211226231.0,262253739.0,190235141.0,91590002.0,100465491.0,85828427.0,70890752.0,77508303.0,157529762.0,30722030.0
2024-05-29,212186231.0,262293739.0,189521141.0,92210002.0,100410491.0,85544427.0,0.0,78394303.0,157523762.0,30472030.0
2024-05-30,219538231.0,0.0,201227141.0,94524002.0,104124491.0,83710427.0,67594852.0,80258303.0,60205762.0,34068030.0
2024-05-31,219690231.0,0.0,201927141.0,94680002.0,104658491.0,81764427.0,69354852.0,80380303.0,60195762.0,33166030.0
2024-06-03,218484231.0,262349739.0,203049141.0,93808002.0,105086491.0,82320427.0,69930852.0,79228303.0,60063762.0,34122030.0
2024-06-04,218668231.0,0.0,203387141.0,94054002.0,103988491.0,82340427.0,68394852.0,79398303.0,60043762.0,33394030.0
2024-06-05,220332231.0,0.0,204171141.0,93670002.0,104650491.0,82234427.0,68586852.0,79332303.0,60061762.0,33354030.0
2024-06-06,221942231.0,262449739.0,205335141.0,93752002.0,105650491.0,81324427.0,68890852.0,79708303.0,0.0,34080030.0
2024-06-07,222530231.0,0.0,204685141.0,93874002.0,106004491.0,80886427.0,68978852.0,78440303.0,60031762.0,34252030.0
2024-06-11,222950231.0,0.0,0.0,94160002.0,106152491.0,80930427.0,68980852.0,79008303.0,0.0,33836030.0
2024-06-12,223726231.0,0.0,204457141.0,94106002.0,106038491.0,80438427.0,69118852.0,79282303.0,60081762.0,33898030.0
2024-06-13,223686231.0,0.0,206011141.0,94306002.0,105634491.0,81638427.0,66786852.0,78894303.0,0.0,33918030.0
2024-06-14,224230231.0,0.0,206173141.0,94338002.0,105738491.0,82652427.0,67060852.0,79066303.0,60091762.0,33800030.0
2024-06-17,224492231.0,0.0,206191141.0,94608002.0,105528491.0,81524427.0,66362852.0,79396303.0,0.0,34060030.0
2024-06-18,224542231.0,0.0,206913141.0,94684002.0,105478491.0,80982427.0,66326852.0,79446303.0,0.0,34168030.0
2024-06-19,224082231.0,0.0,207759141.0,0.0,105630491.0,80514427.0,66298852.0,0.0,0.0,34080030.0
2024-06-20,223806231.0,0.0,206307141.0,94714002.0,105730491.0,80314427.0,66584852.0,79668303.0,60121762.0,34680030.0
2024-06-21,224458231.0,0.0,206263141.0,94720002.0,105630491.0,80294427.0,66612852.0,0.0,60123762.0,34442030.0
2024-06-24,223864231.0,0.0,204877141.0,94056002.0,105222491.0,79452427.0,71335353.0,79796303.0,0.0,33544030.0
2024-06-25,223692231.0,0.0,204035141.0,93906002.0,105280491.0,80386427.0,66940852.0,80156303.0,60179762.0,34094030.0
2024-06-26,224264231.0,0.0,203577141.0,94846002.0,105400491.0,81916427.0,67136852.0,80056303.0,60239762.0,34078030.0
2024-06-27,224236231.0,0.0,204105141.0,94592002.0,105204491.0,82390427.0,68454852.0,0.0,0.0,34670030.0
2024-06-28,224394231.0,0.0,204095141.0,95016002.0,105124491.0,82370427.0,68786852.0,79708303.0,60319762.0,34638030.0
2024-07-02,224428231.0,0.0,204047141.0,93546002.0,105116491.0,82974427.0,68770852.0,79836303.0,60419762.0,34808030.0
2024-07-03,224170231.0,0.0,203835141.0,93290002.0,105050491.0,83590427.0,68860852.0,0.0,60519762.0,34546030.0
2024-07-04,223990231.0,0.0,203889141.0,0.0,105040491.0,83686427.0,68546852.0,79736303.0,0.0,34604030.0
2024-07-05,224094231.0,0.0,203669141.0,93160002.0,105090491.0,83390427.0,68540852.0,79800303.0,60629762.0,34376030.0
2024-07-08,224026231.0,0.0,202937141.0,93144002.0,105348491.0,83524427.0,67906852.0,79938303.0,60633762.0,34584030.0
2024-07-09,224014231.0,0.0,202563141.0,93620002.0,105526491.0,83182427.0,67388852.0,80040303.0,0.0,34314030.0
2024-07-10,226340231.0,0.0,202699141.0,93878002.0,101400491.0,83882427.0,67316852.0,79444303.0,60637762.0,34542030.0
2024-07-11,225952231.0,0.0,202751141.0,0.0,101600491.0,83822427.0,67364852.0,79374303.0,0.0,34894030.0
2024-07-12,226838231.0,0.0,202571141.0,93894002.0,101322491.0,83950427.0,67366852.0,0.0,60619762.0,34826030.0
2024-07-15,226548231.0,0.0,202453141.0,0.0,101352491.0,83796427.0,67286852.0,79386303.0,60639762.0,34664030.0
2024-07-16,225966231.0,0.0,202273141.0,94280002.0,101394491.0,83792427.0,67312852.0,80066303.0,0.0,34488030.0
2024-07-17,226006231.0,0.0,202071141.0,94402002.0,0.0,83884427.0,67302852.0,80466303.0,0.0,34466030.0
2024-07-18,226308231.0,0.0,201609141.0,94260002.0,101424491.0,84236427.0,67038852.0,81070303.0,0.0,34114030.0
2024-07-19,226148231.0,0.0,199895141.0,94230002.0,101654491.0,84646427.0,66714852.0,81030303.0,0.0,33930030.0
2024-07-22,232282231.0,0.0,199915141.0,94200002.0,101904491.0,84288427.0,66448852.0,81352303.0,0.0,33934030.0
2024-07-23,232824231.0,0.0,201575141.0,94392002.0,101830491.0,80412427.0,66510852.0,84030303.0,60739762.0,34030030.0
2024-07-24,232718231.0,0.0,202855141.0,94458002.0,101960491.0,80346427.0,65210852.0,84270303.0,60883762.0,34190030.0
2024-07-25,233140231.0,0.0,204367141.0,94264002.0,101964491.0,79354427.0,66170852.0,83610303.0,0.0,34376030.0
2024-07-26,233660231.0,0.0,204469141.0,0.0,101908491.0,79074427.0,0.0,0.0,0.0,34308030.0
2024-07-29,231436231.0,0.0,204867141.0,94124002.0,101904491.0,78346427.0,66466852.0,83090303.0,60983762.0,34954030.0
2024-07-30,231874231.0,0.0,205127141.0,94184002.0,101878491.0,78632427.0,64458852.0,83190303.0,0.0,34974030.0
2024-07-31,231962231.0,0.0,204543141.0,94044002.0,101630491.0,79046427.0,64776852.0,83272303.0,0.0,34934030.0
2024-08-01,233346231.0,262571739.0,205155141.0,93994002.0,101732491.0,77090427.0,64184852.0,83422303.0,0.0,34760030.0
2024-08-02,233330231.0,262477739.0,205409141.0,93880002.0,101492491.0,76802427.0,64124852.0,83322303.0,0.0,34260030.0
2024-08-05,232704231.0,0.0,206235141.0,94098002.0,101906491.0,75618427.0,64132852.0,83022303.0,0.0,34826030.0
2024-08-06,232824231.0,0.0,207185141.0,94058002.0,101904491.0,74424427.0,64278852.0,82962303.0,0.0,34232030.0
2024-08-07,233052231.0,262451739.0,206293141.0,94228002.0,102090491.0,75226427.0,64538852.0,83162303.0,0.0,34542030.0
2024-08-08,233246231.0,0.0,205897141.0,94592002.0,102022491.0,75246427.0,64755840.0,83212303.0,0.0,34640030.0
2024-08-09,233304231.0,0.0,206007141.0,94462002.0,102322491.0,75048427.0,64553840.0,83166303.0,0.0,34708030.0
2024-08-12,233476231.0,0.0,206511141.0,0.0,0.0,75140427.0,64403840.0,82816303.0,0.0,34908030.0
2024-08-13,233566231.0,0.0,207003141.0,94376002.0,102332491.0,75038427.0,64053840.0,82716303.0,0.0,34684030.0
2024-08-14,233362231.0,0.0,206809141.0,94368002.0,102314491.0,75600427.0,64179840.0,83166303.0,0.0,34576030.0
2024-08-15,233262231.0,0.0,206249141.0,94548002.0,102264491.0,74898427.0,64271840.0,83016303.0,0.0,35816030.0
2024-08-16,233322231.0,0.0,206539141.0,0.0,0.0,75110427.0,63946852.0,83116303.0,0.0,36080030.0
2024-08-19,233302231.0,0.0,206029141.0,94854002.0,102224491.0,74364427.0,63850852.0,83016303.0,0.0,36158030.0
2024-08-20,233046231.0,0.0,206183141.0,94480002.0,102210491.0,74616427.0,63822852.0,0.0,0.0,36494030.0
2024-08-21,233534231.0,262525739.0,204745141.0,94630002.0,102112491.0,75342427.0,67719783.0,83216303.0,61117762.0,35338030.0
2024-08-22,233180231.0,262451739.0,205369141.0,95354002.0,102338491.0,74762427.0,67675783.0,83180303.0,61083762.0,35606030.0
2024-08-23,231466231.0,0.0,204879141.0,94772002.0,101384491.0,74778427.0,69678852.0,82542303.0,0.0,34818030.0
2024-08-26,231526231.0,0.0,205161141.0,94762002.0,101352491.0,74868427.0,69656852.0,81992303.0,0.0,34680030.0
2024-08-27,231516231.0,0.0,205315141.0,0.0,101382491.0,74852427.0,69676852.0,81842303.0,0.0,34690030.0
2024-08-28,231612231.0,0.0,205517141.0,94400002.0,101280491.0,74944427.0,69076852.0,81592303.0,0.0,34746030.0
2024-08-29,231712231.0,0.0,205605141.0,93788002.0,101234491.0,74882427.0,69074852.0,81638303.0,0.0,0.0
