date,SUNCORP SECURITIES LTD,ASTRUM CAPITAL MANAGEMENT LTD,GRANSING SECURITIES CO LTD,KINGSTON SECURITIES LTD,KGI ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,4.079790327193303,0.0,0.0,4.079790327193303
2024-03-04,0.0,0.0,0.0,0.0,4.079790327193303,2.670486091001363,2.805840690041812,9.556117108236476
2024-03-05,0.0,0.0,0.0,0.0,4.082390200402946,2.670486091001363,2.805840690041812,9.558716981446121
2024-03-06,0.0,0.0,0.0,0.0,4.081090263798124,2.670486091001363,2.805840690041812,9.557417044841298
2024-03-07,0.0,0.0,0.0,0.0,4.081090263798124,2.670486091001363,2.805775693211571,9.557352048011056
2024-03-08,0.0,0.0,0.0,0.0,4.079790327193303,2.670486091001363,2.805775693211571,9.556052111406236
2024-03-14,0.0,0.0,0.0,0.0,4.079790327193303,2.670486091001363,2.80571069638133,9.555987114575995
2024-03-15,0.0,0.0,0.0,0.0,4.079790327193303,2.670486091001363,2.804085775625303,9.554362193819967
2024-03-18,0.0,0.0,0.0,0.0,4.082390200402946,2.6702261036803985,2.804085775625303,9.556702079708646
2024-03-19,0.0,0.0,0.0,0.0,4.081740232100535,2.6702261036803985,2.804085775625303,9.556052111406236
2024-03-20,0.0,0.0,0.0,0.0,4.079140358890892,2.664376388958701,2.810585458649411,9.554102206499003
2024-03-26,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.664376388958701,2.810585458649411,18.83239972341353
2024-03-27,9.278297516914524,0.0,0.0,0.0,4.079790327193303,2.664376388958701,2.810585458649411,18.83304969171594
2024-03-28,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.6630764523538795,2.810585458649411,18.831099786808707
2024-04-02,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.6629789571085176,2.8104771739302294,18.830894006844165
2024-04-03,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.649307393841948,2.8104771739302294,18.817222443577595
2024-04-05,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.649307393841948,2.8098272056278186,18.816572475275184
2024-04-12,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.649307393841948,2.8095347198917335,18.816279989539098
2024-04-17,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.649307393841948,2.809372227816131,18.816117497463495
2024-04-18,9.278297516914524,0.0,0.0,0.0,4.079140358890892,2.649307393841948,2.8092747325707697,18.816020002218135
2024-04-19,9.278297516914524,0.0,0.0,2.9719155859178974,4.078490390588481,2.6389079010033747,2.8092747325707697,21.77688612699505
2024-04-22,9.278297516914524,0.0,0.0,2.9719155859178974,4.078490390588481,2.6389079010033747,2.8091447389102875,21.776756133334565
2024-04-23,9.278297516914524,0.0,0.0,2.9719155859178974,4.078490390588481,2.6395578693057855,2.8091425940148893,21.77740395674158
2024-04-24,9.278297516914524,6.5976657456966805,0.0,2.9719155859178974,4.078490390588481,2.6283459160891987,2.8091425940148893,28.363857749221673
2024-04-25,9.278297516914524,6.604815397023199,0.0,2.9719155859178974,4.084990073612589,2.6283459160891987,2.8091425940148893,28.3775070835723
2024-04-26,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.082390200402946,2.6283459160891987,2.8091425940148893,28.38010695678194
2024-04-29,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079790327193303,2.6283459160891987,2.8090450987695275,28.377409588326934
2024-04-30,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079140358890892,2.6283459160891987,2.809043798832923,28.37675832008792
2024-05-03,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079140358890892,2.6283459160891987,2.7914946546678308,28.359209175922828
2024-05-06,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079140358890892,2.6277284462019086,2.7914946546678308,28.35859170603554
2024-05-07,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078490390588481,2.626298515936605,2.7914946546678308,28.356511807467825
2024-05-08,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.080440295495713,2.629548357448659,2.791039676856143,28.361256576075423
2024-05-09,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.086290010217411,2.629548357448659,2.791038376919538,28.367104990860515
2024-05-10,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078490390588481,2.6294833606184174,2.7936382501291814,28.361840247610985
2024-05-13,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079140358890892,2.6268834874087745,2.7936382501291814,28.359890342703757
2024-05-14,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.081090263798124,2.629970836845226,2.793378262808217,28.364667609726474
2024-05-16,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.081740232100535,2.6172964549482147,2.7959781360178604,28.35524306934152
2024-05-17,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.080440295495713,2.6172964549482147,2.7959781360178604,28.3539431327367
2024-05-20,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.084015121158973,2.6172964549482147,2.7959781360178604,28.35751795839996
2024-05-21,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.084015121158973,2.617198959702853,2.7966281043202716,28.358070431457005
2024-05-22,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077515438134864,2.616224007249237,2.7966281043202716,28.350595795979284
2024-05-24,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077417942889503,2.616224007249237,2.79653060907491,28.350400805488558
2024-05-27,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077417942889503,2.616224007249237,2.7938026921096917,28.34767288852334
2024-05-28,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077417942889503,2.615574038946826,2.7938026921096917,28.347022920220926
2024-05-29,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077417942889503,2.615574038946826,2.7951026287145133,28.348322856825753
2024-05-31,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.0793678477967354,2.6168739755516475,2.8003023751338,28.356772444757087
2024-06-03,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077417942889503,2.61882388045888,2.8003023751338,28.356772444757087
2024-06-04,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077417942889503,2.618830380141904,2.8002373783035583,28.356713947609872
2024-06-06,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.0793678477967354,2.618180411839494,2.795037631884272,28.352814137795406
2024-06-07,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079432844626976,2.618180411839494,2.795037631884272,28.352879134625653
2024-06-11,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079432844626976,2.618180411839494,2.788475161922151,28.34631666466353
2024-06-12,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079432844626976,2.618180411839494,2.8012145406494033,28.35905604339078
2024-06-17,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079432844626976,2.617595440367324,2.8012145406494033,28.35847107191861
2024-06-18,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.079432844626976,2.617595440367324,2.8005320739318718,28.35778860520108
2024-06-19,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078782876324566,2.613045662250448,2.800369581856269,28.35242636670619
2024-06-20,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078132908022155,2.613045662250448,2.800172446470148,28.351579263017655
2024-06-21,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078132908022155,2.613045662250448,2.7969226049580937,28.348329421505603
2024-06-25,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078132908022155,2.612980665420207,2.7969226049580937,28.348264424675364
2024-06-27,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078132908022155,2.6133109143146616,2.7969226049580937,28.34859467356982
2024-06-28,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078132908022155,2.626960248665289,2.7969226049580937,28.362244007920445
2024-07-02,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.078132908022155,2.6208180482075067,2.7969226049580937,28.356101807462665
2024-07-03,9.278297516914524,6.610015143442487,0.0,2.9719155859178974,4.077482939719744,2.620590559301663,2.7969226049580937,28.35522435025441
