date,THE HONGKONG AND SHANGHAI BANKING,ARISTO SECURITIES LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,KAI YIN SECURITIES LTD,CHIEF SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,99.40609258535048,0.0,0.0,0.5939074146495217,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,99.39390048528816,0.0,0.0,0.6060995147118474,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,99.38143006366602,0.0,0.0,0.618569936333981,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,97.82468837957379,0.0,0.0,0.6088804641277501,1.5664311562984663,0.0,0.0,0.0,0.0,0.0
2024-05-10,97.84295419617081,0.0,0.0,0.5903221636528159,1.5667236401763787,0.0,0.0,0.0,0.0,0.0
2024-05-14,97.84267313194452,0.0,0.0,0.59060772845833,1.5667191395971458,0.0,0.0,0.0,0.0,0.0
2024-05-17,97.0177397486584,0.0,0.0,0.5819252811357085,1.5535097813578826,0.0,0.8468251888479987,0.0,0.0,0.0
2024-05-29,97.00254321036877,0.0,0.0,0.5974977999663943,1.5532664447172138,0.0,0.8466925449476121,0.0,0.0,0.0
2024-05-30,95.12088182150767,0.0,0.0,0.5870245785124428,1.5929534709015098,1.1614820276085869,0.8302683501034693,0.0,0.0,0.7073897513663262
2024-05-31,75.69022222222223,0.0,0.0,0.4671111111111111,1.2673333333333334,0.9242222222222223,0.6606666666666667,0.0,0.0,0.5628888888888889
2024-06-04,95.12167875913917,0.0,0.0,0.598758915754844,1.5921290012678941,1.161491758686752,0.8185458871629886,0.0,0.0,0.7073956779883488
2024-06-05,94.73278725351402,0.0,0.0,0.6464909622432995,1.7190508282411616,1.2540839141650573,0.8837989787010778,0.0,0.0,0.7637880631353907
2024-06-06,94.73169172405163,0.0,0.0,0.6471545254828402,1.719211532981208,1.2542011516696798,0.8838816002750256,0.0,0.0,0.7638594655396246
2024-06-14,94.73312012496964,0.0,0.0,0.6456564450294857,1.719237455914572,1.2542200629974924,0.8838949277820751,0.0,0.0,0.76387098330672
2024-06-21,94.14288261640287,0.0,0.0,0.6530218368224598,1.6243131507929016,1.2464056077763244,0.8783877942756448,0.6958773313913501,0.0,0.7591116625384537
2024-06-24,93.36308369481063,0.0,0.0,0.6404798100256638,1.65187321769032,1.2360814523882764,0.8815142072093359,0.5638005566676029,0.9103432288206998,0.7528238323874739
2024-06-25,93.34671518205901,0.007131703243884936,0.0,0.6403675204405016,1.6509893009593626,1.2358647413048938,0.8813596592234466,0.5746964197363944,0.910183626500815,0.7526918465316893
2024-06-26,93.2356166701046,0.007123215300666465,0.0,0.6722534440003978,1.6466499370040646,1.2343938514779929,0.8699226685938921,0.673143845912981,0.9091003527475577,0.75179601485784
