date,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),DBS VICKERS (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,55.06469500924215,0.0,44.93530499075786
2024-03-04,0.0,0.0,9.863378873708765,0.0,0.0,49.63345551482839,0.0,40.50316561146284
2024-03-05,0.0,0.0,6.07678094847054,17.18332991172244,0.0,30.578936563334018,20.81708068158489,25.343871894888114
2024-03-06,0.0,0.0,6.356147666022577,17.02430590867487,0.0,30.601037323299096,20.624427946710057,25.394081155293403
2024-03-07,0.0,0.0,6.36391406170451,17.045107422869364,0.0,30.638427858670198,20.649628347418798,25.302922309337134
2024-03-08,0.0,0.0,6.372998878352197,17.069440195778526,0.0,30.682165799938822,20.679106760477207,25.196288365453245
2024-03-11,0.0,0.0,5.080103065130985,13.769111347731023,20.124523486332492,24.457648196766616,16.48391842573702,20.084695478301864
2024-03-12,0.0,0.0,5.078039308086676,13.763517740638125,20.11634803662688,24.488336759317185,16.314724689020874,20.239033466310254
2024-03-13,90.62430738507447,0.0,0.47602400379600585,1.292500375106915,1.8857405295976495,2.2948165174997848,1.5293699193958075,1.8972412695293608
2024-03-14,90.60981488292825,0.0,0.48889366105961984,1.2922936804021417,1.8907695810668694,2.2944495339137614,1.529125344871833,1.8946533157575303
2024-03-15,90.60291532047128,0.0,0.49723247864679665,1.294479653444953,1.8906256067873377,2.294274821076261,1.5290089083043916,1.8914632112689784
2024-03-19,90.59082195985131,0.0,0.5262480494170527,1.2946768220101152,1.8909135772758323,2.2839622289460797,1.5292417991743008,1.884135563325309
2024-03-20,90.58392331832384,0.0,0.5262079747542014,1.2945782302201774,1.8907695810668694,2.291403467489714,1.529125344871833,1.8839920832733639
2024-03-21,90.56461271050493,0.0,0.543606946291786,1.294302253075681,1.8903665083303576,2.2909149879439554,1.5287993671623337,1.8873972266909487
2024-03-22,90.57150841094027,0.0,0.5436483371898863,1.2944008028330627,1.8905104431495359,2.2834752986449147,1.528915771816935,1.8875409354253896
2024-03-26,90.57219803873943,0.0,0.54365247662637,1.2944106586342141,1.8905248378369943,2.282731267403161,1.5289274132573538,1.8875553075024802
2024-03-27,90.53566223116613,0.0,0.560938723723598,1.2938885079106062,1.8897622213477905,2.304643765854891,1.5283106611085275,1.886793888888466
2024-03-28,90.49433649633426,0.0,0.5606826787090452,1.2932979020425739,1.8888996241067684,2.3492376008867457,1.5276130513538166,1.8859326465667885
2024-04-02,90.50328720368185,0.0,0.5607381352908192,1.31016427268764,1.889086453342707,2.349469961706987,1.5163515653115367,1.870902407978459
2024-04-03,90.33901433020766,0.0,0.5961743076973318,1.3085456460668825,1.8864170227890478,2.50241317689517,1.5151181450397158,1.8523173713041938
2024-04-05,90.35891522508828,0.0,0.5963056396840263,1.292881781837214,1.8868325839632525,2.5029644366354993,1.5154519123180035,1.8466484204737172
2024-04-08,90.35058598127078,0.0,0.5963509399934211,1.2625926907886191,1.8869759233753614,2.5259450643033445,1.5155670385820066,1.8619823616864655
2024-04-09,90.29570910890953,0.0,0.6339497957315059,1.2618258209649855,1.8858298175059733,2.524410863242224,1.5146465179453346,1.8836280757004387
2024-04-10,90.30873632919726,0.0,0.6340412574822563,1.2627671990335236,1.8861018915690735,2.4989578184121024,1.5300516572775407,1.8793438470282449
2024-04-11,90.2915960306681,0.0,0.6339209185552069,1.261768343279945,1.8857439156877587,2.4984835245092047,1.5419082462103297,1.8865790210894482
2024-04-12,90.28474173289436,0.0,0.6338727957737764,1.2616725587736723,1.8856007633802196,2.498293857355088,1.5417911954689103,1.894027096353979
2024-04-15,90.28474173289436,0.0,0.6338727957737764,1.2540812678063218,1.8931920543475704,2.498293857355088,1.5417911954689103,1.894027096353979
2024-04-16,90.20462369612027,0.0,0.6333103015694719,1.2764805240017019,1.891512049202522,2.549168770748497,1.5404230209432304,1.9044816374143039
2024-04-17,90.17771237117388,0.0,0.6330894233123997,1.2760353286643937,1.8908523506572377,2.5786073397430793,1.5398857709550704,1.9038174154939347
2024-04-18,90.14080664267216,0.0,0.6783031658947652,1.2755131041350725,1.8900785088546983,2.577552030400108,1.5392555641701322,1.898490983873058
2024-04-19,90.14490578736388,0.0,0.7162297665090961,1.2300962021632413,1.8894065449000272,2.5799429896264163,1.5181039389605497,1.9213147704767817
2024-04-22,90.25846348583835,0.0,0.7171320183130474,1.2164683866199102,1.8917866756112127,2.583193005648268,1.400873762757551,1.9320826652116603
2024-04-23,90.24271251666377,0.0,0.7170068718849086,1.2162561011973636,1.8914565406580832,2.615367923161143,1.3854545482135907,1.93174549822114
2024-04-24,90.25229940834959,0.0,0.7170830427692609,1.216385309586376,1.8916574786449634,2.5693578654145157,1.385601731319228,1.967615163916078
2024-04-25,90.22354484209856,0.0,0.735818985495263,1.2159977667514503,1.8910547927228258,2.5685392627700625,1.396538919893587,1.9685054302682552
2024-04-26,51.27477788761193,43.132632856812144,0.4332533359429123,0.6953608267422066,1.0746838220617771,1.4596973089579115,0.7936511357919418,1.135942826079178
2024-04-29,51.26259067375377,43.121293263841395,0.433139433401903,0.695178015997283,1.0761252251355338,1.4593135537301924,0.7934424844705505,1.1589173496693703
2024-04-30,26.078157955895833,21.936540510675243,0.22034544904429273,0.3571569517344804,0.5478818334495354,0.7423778014566917,0.4036377827766596,0.5902188545544638
2024-05-02,51.26028366563258,43.11609020106879,0.43308717032047156,0.7019890551761674,1.0768572436953496,1.459137471348375,0.7933467468258589,1.1592084459324066
2024-05-03,51.257853911324325,43.11404648420987,0.43306664184613075,0.701955780664027,1.0772371123891964,1.463377428566627,0.7933091419290814,1.1591534990707382
2024-05-06,51.24790493072319,43.120178216106424,0.4331282331083221,0.702055613665131,1.0773903183557159,1.4635855518764795,0.7878193135542416,1.1679378226105006
2024-05-07,51.22560728958588,43.10141689774738,0.43293978173804,0.7672296032591535,1.0769215526039067,1.4629487550073472,0.7874765383255095,1.1454595817327844
2024-05-08,51.22869689328662,43.10401650181652,0.4329658939194787,0.7672758776821806,1.0769865056809003,1.4630369907965668,0.787524033915231,1.1394973029025086
2024-05-09,51.2196498204478,43.096404261010356,0.4328894314244991,0.769294054252891,1.0767963080777168,1.462778616037412,0.7873849558646611,1.1548025528846588
2024-05-10,51.22031169303306,43.09696116307048,0.43289502532543583,0.7693039952549536,1.076810222697569,1.4627975184131146,0.7873951306416882,1.1535252515636987
2024-05-13,51.22340065795397,43.099560229667894,0.432921132108145,0.777965735907771,1.0768751623454245,1.4628857359594631,0.7874426164116309,1.1389487296457068
2024-05-14,51.41307933312841,43.25551896636028,0.4344876871377378,0.7500857086407712,1.0807719095279908,1.431863900298694,0.7902920319281439,0.8439004629779743
2024-05-16,51.44354866269354,43.281153818036,0.4347451809253713,0.7505302377169346,1.081412415716752,1.4327124768406267,0.7907603887876405,0.7851368192831334
2024-05-17,51.43220184680537,43.27160736767308,0.44373151388996407,0.7659342213441778,1.0811738904225354,1.4323964658904105,0.7905859721158424,0.7823687218586209
2024-05-20,51.43053347107992,43.26692927312441,0.443683542064962,0.7766624186634228,1.0810570046863535,1.4309442891744244,0.7905005018467354,0.7796894993597725
2024-05-21,51.41962559809492,43.257389096006044,0.46304122536877923,0.7803822705795019,1.080818636133904,1.430628771937713,0.7903261997891021,0.777788202090041
2024-05-22,51.41829177239023,43.256266998814105,0.46821721647242637,0.780362027454044,1.0807905996855205,1.4210803236794696,0.7946290340501568,0.780362027454044
2024-05-23,51.40540169060546,43.245423059816936,0.484524394571425,0.7844886495514151,1.0805196556548664,1.425046323730587,0.7944298280305792,0.7801663980387351
2024-05-24,51.37186147354436,43.216843567492056,0.5006178894658161,0.8353710079610771,1.0798055753887779,1.4241045570050006,0.7917451176797591,0.7796508114631562
2024-05-27,51.354943306086696,43.18699689520486,0.513653026948655,0.8883175877817916,1.0790598336713804,1.4196679038942237,0.7911983179805753,0.7661631284318173
2024-05-28,51.36064861159494,43.18997970714575,0.5270703049626194,0.8883789415340465,1.0791343614873483,1.3852322756961883,0.7912529639610822,0.7783028336180203
2024-05-29,51.34802540963476,43.18662407268084,0.535662103826941,0.9012590433446034,1.0790505184181869,1.3816715506446722,0.7911914877637252,0.7765158136862746
2024-05-30,51.67810069472796,43.454373624311835,0.5433262511270437,0.906846692528591,0.4475166819834579,1.3902376737471358,0.7960967372628864,0.7835016443111005
2024-05-31,26.088024170032142,21.936540510675243,0.280419730674279,0.4652468088278499,0.22591437880123305,0.704009190926591,0.4018837891524264,0.3955255622645812
2024-06-03,51.31507737397062,43.14911954565068,0.5515848989924063,0.9345461111153591,1.1093234843989819,1.3847842929355874,0.7905043939429871,0.7650598989933765
2024-06-04,51.32221706956934,43.15693657465034,0.5516848258320869,0.9325587126262485,1.1095244528993558,1.388485890815862,0.7906476041831237,0.7479448694236424
2024-06-05,51.32410235159624,43.162149501015,0.5599479281212705,0.9702025349343122,1.1092270795011179,1.3830454988881302,0.7907431065071562,0.7005819994367821
2024-06-06,51.31613288285717,43.15544739838878,0.5598609809112034,0.9920495039258612,1.1081921899574319,1.3763608552293143,0.7906203220417842,0.7013358666884567
2024-06-07,51.273968654867815,43.122525644515996,0.5762427592048003,1.037409365299891,1.10734678960311,1.3822068278008934,0.7900171859554219,0.7102827727520651
2024-06-11,51.27175885832378,43.12066715743884,0.576217924395028,1.041674437743293,1.1072990653646142,1.3821472576924867,0.7899831379327495,0.7102521611092042
2024-06-12,51.1967904461326,43.05942682481573,0.6162843614198088,1.1198127852055464,1.105726469958597,1.4017026292907244,0.7888611972643224,0.7113952859126703
2024-06-13,51.16904345004565,43.036090015277416,0.6159503553304475,1.1691013029246902,1.1051272021574745,1.4052442813300083,0.7884336601401608,0.7110097327941548
2024-06-14,51.14066695252064,43.012223759051686,0.6353839136845312,1.2084331403025828,1.1045143386524638,1.400166039831203,0.787996423399016,0.7106154325578687
2024-06-17,51.11495733322653,42.99060049983872,0.6582671180849442,1.233606328996002,1.1039590732473803,1.399462143343775,0.7876002790141662,0.7115472242484776
2024-06-18,51.12550174158959,42.999468949918565,0.6798912564218081,1.1917436498468232,1.1041868068872331,1.3997508357558972,0.7877627515936627,0.7116940079864187
2024-06-19,51.09494748547635,42.980997139458765,0.7225574164549753,1.2084149895884932,1.1037124677870738,1.390557881726965,0.7874243426646669,0.7113882768427106
2024-06-20,51.0923136830857,42.978781588634476,0.7397025765906927,1.2977012101512675,1.103655574480019,1.2891100071711201,0.7873837531305109,0.7113516067562062
2024-06-21,51.09647457480416,42.98192035305343,0.757369849803936,1.302951080235586,1.103736175062909,1.2462449995922962,0.7938851290060542,0.7174178384416183
2024-06-24,51.08352699529818,42.97102895916135,0.8082863732336028,1.3026209192441642,1.1034564940868892,1.2201602477984408,0.7936839626650892,0.717236048512283
2024-06-25,51.121949979994476,43.00335004748859,0.916345759759784,1.3164948696736483,1.1042864699025612,1.0220779628089898,0.7942809399794001,0.7212139703925504
2024-06-26,51.12085137832009,43.0024259130926,1.0237751844021326,1.3164665784314578,1.104262738981395,0.9146068817832654,0.7942638710223094,0.7233474539667462
2024-06-27,51.12107109487756,43.00261073679427,1.0263583744561853,1.3164722365826196,1.1042674850840322,0.9116022245483958,0.7942672847550378,0.7233505629019095
2024-06-28,51.113382138959714,42.99614285239307,1.047690686677404,1.3162742302267796,1.1041013957624968,0.9114651133891607,0.7877018165216085,0.7232417660697584
2024-07-02,51.110374003271964,42.99614285239307,1.047690686677404,1.3162742302267796,1.1049608631018548,0.9136137817375558,0.7877018165216085,0.7232417660697584
