date,QUAM SECURITIES LTD,HENIK SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,IMPERIUM INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5564,0.0,0.0,0.5564
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,0.0,0.0,0.5568
2024-03-05,79.11775,0.0,1.4321000000000002,0.0,0.0,0.0,0.0,0.5564,0.0,0.0,81.10625
2024-03-06,79.11775,0.0,1.4513,0.0,0.0,0.0,0.0,0.5448,0.0,0.0,81.11385
2024-03-07,79.10575,0.0,1.5133,0.0,0.0,0.0,0.0,0.542,1.7691999999999999,0.254,83.18425
2024-03-08,79.10374999999999,0.0,1.5133,0.0,0.0,0.0,0.0,0.542,1.7691999999999999,0.254,83.18225
2024-03-11,79.09975,0.0,1.5217,0.0,0.0,0.0,0.0,0.5564,1.7691999999999999,0.2536,83.20065
2024-03-12,79.09575,0.0,1.5436999999999999,0.0,0.0,0.0,0.0,0.5544,1.7691999999999999,0.2536,83.21665
2024-03-13,79.08255,0.0,1.5573,0.0,0.5028,0.0,0.0,0.544,1.7631999999999999,0.2536,83.70345
2024-03-14,79.06815,0.0,1.5685,0.0,0.5028,0.0,0.2416,0.5136,1.7531999999999999,0.2524,83.90025
2024-03-15,79.06815,0.0,1.5685,0.0,0.5028,0.0,0.2416,0.524,1.7552,0.2524,83.91265
2024-03-18,79.04015,0.0,1.6365,0.0,0.5028,0.0,0.24,0.5104,1.7552,0.2516,83.93665
2024-03-19,79.03415,0.0,1.6397,0.0,0.5028,0.0,0.24,0.514,1.752,0.2524,83.93505
2024-03-20,79.03135,0.0,1.6448999999999998,0.0,0.5028,0.0,0.242,0.5115999999999999,1.752,0.2512,83.93585
2024-03-21,79.02935,0.0,1.6437,0.0,0.5028,0.0,0.24320000000000003,0.5095999999999999,1.7511999999999999,0.2496,83.92945
2024-03-22,79.02895,0.0,1.6437,0.0,0.5028,0.0,0.24320000000000003,0.5095999999999999,1.7511999999999999,0.2504,83.92984999999999
2024-03-25,79.02495,0.0,1.6437,0.0,0.5028,0.0,0.24520000000000003,0.5095999999999999,1.7511999999999999,0.2504,83.92785
2024-03-26,79.02295000000001,0.0,1.6437,0.0,0.5028,0.0,0.24719999999999998,0.508,1.7511999999999999,0.25279999999999997,83.92865
2024-03-27,79.02295000000001,0.0,1.6437,0.0,0.5024,0.0,0.24719999999999998,0.508,1.7511999999999999,0.25279999999999997,83.92825
2024-03-28,79.02295000000001,0.0,1.6437,0.0,0.5024,0.0,0.24719999999999998,0.508,1.7516,0.252,83.92785
2024-04-02,79.02295000000001,0.0,1.6437,0.0,0.5024,0.0,0.24719999999999998,0.508,1.7516,0.2516,83.92745000000001
2024-04-03,79.05775,0.0,1.6484999999999999,0.0,0.5024,0.0,0.24719999999999998,0.5075999999999999,1.7516,0.2516,83.96665
2024-04-05,79.02974999999999,0.0,1.6484999999999999,0.0,0.5024,0.0,0.2524,0.5075999999999999,1.7516,0.2524,83.94465
2024-04-08,79.02215,0.0,1.6484999999999999,0.0,0.5024,0.0,0.2524,0.512,1.7516,0.252,83.94104999999999
2024-04-09,79.02215,0.0,1.6513,0.0,0.5024,0.0,0.2524,0.5072,1.7516,0.252,83.93905000000001
2024-04-10,79.04415,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.5084,1.7516,0.25279999999999997,83.97345
2024-04-11,79.02215,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.5084,1.7516,0.25279999999999997,83.95145000000001
2024-04-15,79.02215,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.5084,1.7516,0.252,83.95065000000001
2024-04-16,79.02215,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.508,1.7516,0.252,83.95025000000001
2024-04-18,79.02215,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.5075999999999999,1.7516,0.25279999999999997,83.95065000000001
2024-04-19,79.02215,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.5075999999999999,1.7544,0.25279999999999997,83.95344999999999
2024-04-22,79.02215,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.5075999999999999,1.7544,0.2516,83.95224999999999
2024-04-23,79.01975,0.0,1.6617,0.0,0.5024,0.0,0.2524,0.5075999999999999,1.7544,0.2524,83.95065000000001
2024-04-24,79.01975,0.0,1.6617,0.0,0.5024,0.0,0.25439999999999996,0.508,1.7544,0.25279999999999997,83.95344999999999
