date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,28.09242498339035,43.11565064256187,0.0,12.051314037933276,5.615905794401497,2.351696600796361,0.0,3.3087066183751577,3.3009809299462263,2.16332039259526
2024-03-04,26.9643734195814,41.38467929425784,0.0,11.683460141495736,5.3979983154218285,2.2596573346190576,3.9101962425027503,3.181146321321325,3.160652811201594,2.057836119598464
2024-03-05,26.962610469587595,41.36647554753542,0.0,11.704668024893959,5.397819704836201,2.248262884949949,3.9100668607578917,3.1784288284178897,3.1738996497207292,2.0577680293003624
2024-03-06,26.98423267187593,41.377181695655224,0.0,11.690980390377428,5.404472652106933,2.2533824182984343,3.913413108077166,3.1799869510943846,3.1321698973013192,2.064180215213185
2024-03-07,27.20472079830903,41.363235429140865,0.0,11.577833451220844,5.372143823443346,2.24491457511107,3.9082800839673486,3.1734949997530535,3.1205947395495253,2.034782099504919
2024-03-08,28.03626178245824,41.52825260819662,0.0,11.191305798859322,5.382292098157683,1.6382433740006153,3.9116494128865456,3.1800191266510924,3.12401091909244,2.00796487969744
2024-03-11,28.29681665806067,41.458180136553615,0.0,10.947304776182662,5.402629663920497,1.6558522028542577,3.920662469459361,3.191678268575017,3.1296927064706845,1.997183117923228
2024-03-12,28.663889169144106,41.25400995460685,0.0,10.576180876220944,5.521174752607815,1.5530383222011277,3.9778555057945217,3.2877733472574078,3.1948754008710654,1.971202671296161
2024-03-13,29.473243226013235,40.99638998821047,0.0,10.222449055735726,5.548175648461,1.349641451913368,3.9659180279370494,3.3061726559821523,3.2273245400011223,1.9106854057458766
2024-03-14,29.637206177746318,40.65050913183931,0.0,10.245001499438452,5.636292309057364,1.3472396177767902,3.9905135683176614,3.3158063193041425,3.250483639032532,1.9269477374874338
2024-03-15,29.654115645896017,40.619724666287986,0.0,10.200491567165331,5.6563973770844465,1.3698422435522641,3.987950646654828,3.326607975115488,3.255593456641439,1.9292764216021996
2024-03-18,29.767063294588215,40.276861897833236,0.0,10.275771374218811,5.697266077293732,1.4258518927441646,3.9958951686515274,3.3492192385652224,3.2694791300726935,1.9425919260324043
2024-03-19,29.806435211790276,40.30182138070123,0.0,10.075606580366186,5.721102759220693,1.4994713785987361,3.997245289861779,3.371374256961076,3.283020185979044,1.9439229565209826
2024-03-20,29.823379779591935,40.26923313602382,0.0,10.027131594806402,5.7469060866639685,1.5494778994260001,3.9556698250368774,3.390728850976731,3.2846514755883,1.9528213518859618
2024-03-21,30.138308172722056,39.985257261816436,0.0,9.766845098277457,5.767515771743511,1.8010480944822307,3.958235605026107,3.406848477530597,3.2912246551275746,1.8847168632740248
2024-03-22,30.88269375463254,39.53072176293018,0.0,9.539257046741637,5.7596324301208,1.764649387713046,3.948364598106819,3.3977616387120957,3.2969026051448305,1.88001677589806
2024-03-25,31.408503005983885,39.18563914526335,0.0,9.64003356714634,5.766629541092583,1.8754611247900368,3.952147665587929,3.401608595604437,2.888159268204177,1.881818086327257
2024-03-26,31.449743031742557,39.2159186125439,0.0,9.623111100621218,5.7502384962038295,1.9134645869575448,3.9567408556628747,3.408522593179079,2.7982555858495943,1.884005137239406
2024-03-27,31.52661491899929,39.2638479206285,0.0,9.635345229099181,5.7278720307930175,1.897796323580538,3.964210426719029,3.4244491807088986,2.7187038740462657,1.8411600954252805
2024-03-28,32.189765911517604,38.80810995130793,0.0,9.580943767483555,5.690561352286224,1.8134745941657002,3.946395786198832,3.4247597921136066,2.7091167885258907,1.836872056400658
2024-04-02,32.18633004691383,38.84248988063648,0.0,9.639307829436195,5.6081956238326995,1.8109804163566483,3.9461196692249003,3.425999731542867,2.7358552168739747,1.8047215851824068
