date,USMART SECURITIES LTD,CITIBANK N.A.,WINBULL SECURITIES INTERNATIONAL (HONG,CITRUS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SINOPAC SECURITIES (ASIA) LTD,GREAT BAY SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,VALUABLE CAPITAL LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,TOTAL_CCASS_PCT
2024-03-01,29.538173333333333,0.0,6.1604,0.0,4.580141333333334,0.0,0.0,0.0,1.8547333333333333,0.0,42.133448
2024-03-04,29.498173333333334,0.0,6.1604,0.0,4.6166746666666665,0.0,0.0,0.0,1.8534,0.0,42.128648
2024-03-05,29.45817333333333,0.0,6.1604,0.0,4.642008000000001,0.0,0.0,0.0,1.8579333333333332,0.0,42.11851466666667
2024-03-06,29.428306666666664,0.0,6.1604,0.0,4.635874666666666,0.0,0.0,0.0,1.8886,0.0,42.11318133333333
2024-03-07,29.384573333333336,0.0,6.1604,0.0,4.6828080000000005,0.0,0.0,0.0,1.879,0.0,42.10678133333333
2024-03-08,29.384573333333336,0.008,6.1604,0.0,4.6828080000000005,0.0,0.0,0.0,1.8699333333333332,0.0,42.105714666666664
2024-03-11,29.384573333333336,0.009600000000000001,6.1604,0.0,4.7614746666666665,0.0,0.0,0.0,1.8120666666666667,0.0,42.12811466666667
2024-03-12,29.384573333333336,0.005866666666666667,6.1604,0.0,4.905474666666667,0.0,0.0,0.0,1.6880666666666666,0.0,42.14438133333333
2024-03-13,29.384573333333336,0.006933333333333333,6.163333333333333,0.0,4.981741333333333,0.0,0.0,0.0,1.6326,0.0,42.169181333333334
2024-03-14,29.384573333333336,0.006933333333333333,6.179866666666667,0.0,4.927608,0.0,0.0,0.0,1.7792666666666666,0.0,42.278248000000005
2024-03-15,31.258039999999998,0.012799999999999999,6.179866666666667,0.0,4.921741333333333,0.0,0.0,0.0,1.7792666666666666,0.0,44.15171466666667
2024-03-18,31.298306666666665,0.0112,6.179866666666667,0.0,4.8822746666666665,0.0,0.0,0.0,1.8088666666666666,0.0,44.18051466666667
2024-03-19,31.25350666666667,0.005866666666666667,6.194266666666667,0.0,4.944408,0.0,0.0,0.0,1.8022,0.0,44.200247999999995
