date,CITIBANK N.A.,ZERO2IPO SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG SECURITIES LTD
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,87.0495134210245,0.0,0.0,12.950486578975513,0.0,0.0
2024-03-14,0.0,0.0,0.0,70.54948864621251,0.0,18.963425203674813,10.48708615011267,0.0,0.0
2024-03-22,70.1301159214573,0.0,0.0,19.233498935415188,0.0,5.176247929973977,2.862550272060563,0.0,2.5975869410929735
2024-04-12,70.13509357181725,0.0,0.0,19.227766342536732,0.0,5.1766153263775525,2.8627534483166537,0.0,2.5977713109518064
2024-04-16,70.1516908441205,0.0,0.0,19.20865182100007,0.0,5.17784035781054,2.8634309108550062,0.0,2.5983860662138816
2024-04-22,70.15003076340575,0.0,0.0,19.208197264423305,0.0,5.180084244403426,2.863363150172748,0.0,2.598324577594775
2024-05-08,70.16331360946747,0.0,0.0,19.211834319526627,0.0,5.181065088757396,2.863905325443787,0.0,2.5798816568047336
2024-05-13,70.17161794295183,0.0,0.0,19.202272458279086,0.0,5.181678305124867,2.8642442892650015,0.0,2.5801870043792166
2024-05-16,62.48735178660042,0.0,0.0,17.099493917585434,10.950675474803168,4.614249529782362,2.5505901923420087,0.0,2.297639098886603
2024-05-20,62.45179171722628,0.0,0.0,17.09552994567522,10.948136910200661,4.6131798632991945,2.5942550990047093,0.0,2.297106464593934
2024-05-22,62.45179171722628,0.0,0.0,17.09552994567522,10.937599724583256,4.6131798632991945,2.6047922846221128,0.0,2.297106464593934
2024-05-29,62.53745766115036,0.0,0.0,17.118980108903685,10.815431658977001,4.619507822779853,2.608365312451301,0.0,2.3002574357377976
2024-06-21,62.586326399857164,0.0,0.0,17.05421427005624,10.823883177850819,4.623117651659828,2.610403571243283,0.0,2.3020549293326686
2024-06-25,62.611450849234615,0.0,0.0,17.061060457837943,10.828228281975193,4.624973540830619,2.6114514830820674,0.0,2.2628353870395586
2024-07-08,62.592936141929954,0.0,0.0,17.056015365663914,10.825026288177739,4.653176699759455,2.6106792559703527,0.0,2.2621662484985823
