date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,DEUTSCHE BANK AG,CMB WING LUNG BANK LTD,HANG SENG BANK LTD,CHONG HING SECURITIES LTD
2024-03-01,0.0,60.97930991675127,0.0,0.0,19.13994003608289,0.0,19.880750047165844,0.0,0.0
2024-03-04,0.0,61.043288186145325,0.0,0.0,19.198790627362055,0.0,19.757921186492617,0.0,0.0
2024-03-05,0.0,61.0064397424103,0.0,0.0,19.22109782275376,0.0,19.77246243483594,0.0,0.0
2024-03-06,0.0,60.88197490564114,0.0,0.0,19.385902274813834,0.0,19.732122819545037,0.0,0.0
2024-03-07,0.0,60.914244927092895,0.0,0.0,19.361680432344244,0.0,19.724074640562865,0.0,0.0
2024-03-08,0.0,45.32556490135907,0.0,25.665970553599244,14.357521368893774,0.0,14.650943176147912,0.0,0.0
2024-03-11,0.0,45.30738698867425,0.0,25.665970553599244,14.375699281578594,0.0,14.650943176147912,0.0,0.0
2024-03-12,0.0,45.3348567575982,0.0,25.620901995295736,14.384415236384902,0.0,14.659826010721163,0.0,0.0
2024-03-13,0.0,45.34585399415205,0.0,25.602859266280543,14.387904578325236,0.0,14.66338216124217,0.0,0.0
2024-03-14,0.0,45.35910866948252,0.0,25.596650083411422,14.384415236384902,0.0,14.659826010721163,0.0,0.0
2024-03-18,0.0,45.353609110823555,0.0,25.587484378357917,14.400857928610423,0.0,14.658048582208105,0.0,0.0
2024-03-19,0.0,45.353609110823555,0.0,25.557173164027013,14.431169142941322,0.0,14.658048582208105,0.0,0.0
2024-03-20,0.0,45.34261399329497,0.0,25.550977314828984,14.45191367398313,0.0,14.654495017892918,0.0,0.0
2024-03-21,0.0,45.34536227285497,0.0,25.552525995474145,14.446728484239065,0.0,14.65538324743182,0.0,0.0
2024-03-22,0.0,45.338736080797524,0.0,25.555623920039018,14.448479969593633,0.0,14.657160029569827,0.0,0.0
2024-03-25,0.0,45.33049244691293,0.0,25.550977314828984,14.464035220365169,0.0,14.654495017892918,0.0,0.0
2024-03-26,0.0,45.32499835621452,0.0,25.547880516642536,14.474402245365509,0.0,14.652718881777432,0.0,0.0
2024-03-27,0.0,45.52801130468462,0.0,25.453019055372973,14.420657554211802,0.0,14.598312085730614,0.0,0.0
2024-03-28,0.0,45.52251442721707,0.0,25.455982763705137,14.424953267558283,0.0,14.596549541519508,0.0,0.0
2024-04-03,0.0,45.50603175599367,0.0,25.44676572901709,14.455938053393735,0.0,14.591264461595513,0.0,0.0
2024-04-05,0.0,45.4950499380243,0.0,25.44062474641849,14.47658211486002,0.0,14.587743200697192,0.0,0.0
2024-04-08,0.0,45.48681705231226,0.0,25.436020954219874,14.492058623317769,0.0,14.5851033701501,0.0,0.0
2024-04-09,0.0,45.45446321386861,0.0,25.431418827944803,14.531653463337202,0.0,14.58246449484939,0.0,0.0
2024-04-10,0.0,45.44624064876814,0.0,25.426818366689186,14.547114410266012,0.0,14.57982657427666,0.0,0.0
2024-04-11,0.0,45.43254298243208,0.0,25.425182703404563,14.566842153963655,0.0,14.575432160199696,0.0,0.0
2024-04-12,0.0,45.441859862345154,0.0,25.399539302033237,14.58404724037819,0.0,14.574553595243412,0.0,0.0
2024-04-15,0.0,45.43638231453688,0.0,25.396477649379566,14.594343253046867,0.0,14.57279678303669,0.0,0.0
2024-04-16,0.0,45.448984861738055,0.0,25.387390476523354,14.592584267428466,0.0,14.571040394310128,0.0,0.0
2024-04-17,0.0,41.94786208054989,0.0,23.431695065004842,13.462895276139527,0.0,13.448573047122359,0.0,7.708974531183387
2024-04-24,51.56157040761749,20.28968699898401,0.0,11.348682681937623,6.552816033966351,0.0,6.513553014975576,0.0,3.733690862518956
2024-04-26,51.52825602170065,20.295422493928932,0.0,11.34135019785064,6.594348243775245,0.0,6.509344550859467,0.0,3.7312784918850745
2024-04-29,51.5046843661659,20.28613833131808,0.0,11.336162085137294,6.637076758539434,0.0,6.5063668442698,0.0,3.7295716145694935
2024-04-30,8.45482734048495,3.3318678311055874,0.0,1.8609043878841764,1.0926112007423838,0.0,1.0680622347099367,0.0,0.6122333229144709
2024-05-03,51.48390374863039,20.286022882960353,0.0,11.331588278861014,6.666676529277361,0.0,6.503741717592481,0.0,3.7280668426784036
2024-05-09,51.48251897033348,20.274718321328393,0.0,11.331283489667198,6.679945866482581,0.0,6.503566784463417,0.0,3.7279665677249274
2024-05-10,48.45780682878764,19.08353366487671,0.0,10.665545459827507,6.330523185272173,0.0,6.12146781553658,5.8321827798376695,3.50894026586172
2024-05-16,48.45903366756456,19.08148504845992,0.0,10.665815486591065,6.330683459371025,0.0,6.121622796840507,5.832330437118439,3.5090291040544854
2024-05-20,48.452900094815334,19.091727093351267,0.0,10.664465489484941,6.329882170021825,0.0,6.120847968786252,5.831592225471897,3.508584958068486
2024-05-21,48.44922069639617,19.092808567182214,0.0,10.663655655246195,6.334464002462405,0.0,6.120383166095468,5.83114938817684,3.5083185244407162
2024-05-22,48.44799435443321,19.092325291868388,0.0,10.663385737831208,6.336834855401325,0.0,6.120228247551927,5.831001790690561,3.5082297222233825
