date,FUNDERSTONE SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,51.85311360078698,0.0,48.14688639921301,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,42.92890219674742,0.0,39.86053746400977,0.0,17.210560339242818,0.0,0.0
2024-03-08,0.0,0.0,0.0,25.420897007788195,0.0,23.603925693316445,40.773944415759004,10.201232883136349,0.0,0.0
2024-03-11,0.0,0.0,0.0,25.434147498149663,0.0,23.579941935232053,40.732514340452056,10.253396226166233,0.0,0.0
2024-03-12,0.0,0.0,0.0,25.436986119504983,0.0,23.582573614817125,40.725899691760496,10.254540573917392,0.0,0.0
2024-03-13,0.0,0.0,0.0,25.444271112604746,0.0,23.580269538343853,40.7219206694169,10.253538679634499,0.0,0.0
2024-03-14,0.0,0.0,0.0,25.448641425213076,0.0,23.578887308556695,40.7195336291989,10.25293763703133,0.0,0.0
2024-03-15,0.0,0.0,0.0,25.45361489744089,0.0,23.56395219767045,40.72749151843357,10.254941386455094,0.0,0.0
2024-03-18,0.0,0.0,0.0,25.45177349142083,0.0,23.569481856194006,40.72454514526157,10.254199507123591,0.0,0.0
2024-03-22,0.0,0.0,0.0,25.45426059667781,0.0,23.562013192231035,40.72852468053258,10.255201530558574,0.0,0.0
2024-03-25,0.0,0.0,0.0,22.332683835951485,0.0,20.667050986673317,35.733792436846336,9.083292187829944,0.0,12.183180552698923
2024-03-27,0.0,0.0,0.0,22.31355338164456,0.0,20.649347334149343,35.70318242649345,9.161172568769059,0.0,12.172744288943592
2024-04-02,0.0,0.0,0.0,22.31982517309715,0.0,20.647224933835634,35.70122579772612,9.160230956658069,0.0,12.17149313868303
2024-04-03,0.0,0.0,0.0,22.11721545586391,0.0,20.64651756401508,35.70342866094454,9.159917128966995,0.0,12.372921190209475
2024-04-05,0.0,0.0,0.0,22.111954452427447,0.0,20.66539331013349,35.69493591640111,9.157738267184445,0.0,12.369978053853513
2024-04-09,0.0,0.0,0.0,22.108168246023858,0.0,20.678977690316703,35.688823910552266,9.156170197417287,0.0,12.367859955689891
2024-04-10,0.0,0.0,0.0,22.107789696696166,0.0,20.678623612447613,35.689925085113664,9.156013419974947,0.0,12.36764818576761
2024-04-11,0.0,0.0,0.0,22.1109904863979,0.0,20.677773875031676,35.68845849501148,9.155637176017438,0.0,12.367139967541508
2024-04-12,0.0,0.0,0.0,22.089432346651922,0.0,20.65761311655693,35.69642537779556,9.146710461231617,0.0,12.40981869776397
2024-04-17,0.0,0.0,0.0,22.090764999922303,0.0,20.65725976993776,35.69581479364179,9.146554007569726,0.0,12.409606428928427
2024-04-18,0.0,0.0,0.0,22.08887585872241,0.0,20.655493218145264,35.692762186165744,9.154323543300015,0.0,12.40854519366657
2024-04-19,0.0,0.0,0.0,22.043429641135347,0.0,20.64873302866463,35.62550188303515,9.29835835263142,0.0,12.383977094533451
2024-04-24,0.0,0.0,0.0,22.020125432971525,0.0,20.626903287074818,35.69355829390145,9.288528172747471,0.0,12.370884813304741
2024-04-25,0.0,31.053068590525413,0.0,15.17567715987689,0.0,14.223342460980668,24.612599196276808,6.404932205322317,0.0,8.530380387017907
