date,UPBEST SECURITIES CO LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,EDDID SECURITIES AND FUTURES LTD,WATON SECURITIES INTERNATIONAL LIMITED,DBS BANK (HONG KONG) LTD
2024-03-05,0.0,0.0,0.0,0.0,0.0,60.01073125862333,0.0,0.0,39.98926874137666,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,60.02911431198284,0.0,0.0,39.97088568801716,0.0
2024-03-07,0.0,0.0,0.0,46.97678201114138,0.0,31.809864595616638,0.0,0.0,21.21335339324198,0.0
2024-03-08,0.0,0.0,0.0,25.461108421006294,0.0,17.568340890082318,0.0,45.48796055817229,11.482590130739094,0.0
2024-03-11,0.0,0.0,0.0,25.462789725077588,0.0,17.56289758094693,0.0,45.49096431951751,11.483348374457968,0.0
2024-03-12,0.0,0.0,0.0,25.263227454953963,0.0,17.641746332437553,0.0,45.60333054319574,11.49169566941275,0.0
2024-03-13,0.0,0.0,23.103909970679457,19.204108265681405,0.0,13.589139535277866,0.0,35.26091893632527,8.841923292035998,0.0
2024-03-14,0.0,0.0,23.166533837518866,19.142658504739458,0.0,13.443440218405033,0.0,35.400946195716685,8.846421243619961,0.0
2024-03-15,0.0,0.0,23.167712396133627,19.143632355434967,0.0,13.444124130914023,0.0,35.397659827030694,8.846871290486687,0.0
2024-03-18,0.0,0.0,23.51751105066304,19.07004420265216,0.0,13.488609316558994,0.0,35.05440326419585,8.869432165929956,0.0
2024-03-19,0.0,0.0,20.48198596148859,17.422873895137506,14.794645381810298,11.927313856400474,0.0,27.716610187370616,7.656570717792517,0.0
2024-03-20,0.0,0.0,20.532523782038005,17.465863577682118,14.831150100386123,11.613066204905188,0.0,27.881933582132294,7.6754627528562684,0.0
2024-03-21,0.0,0.0,20.63463393789345,17.476001885487474,14.828536647327203,11.540534309557689,0.0,27.877020401150677,7.643272818583506,0.0
2024-03-22,0.0,0.0,21.30792665452766,16.784456191555304,14.840304445140063,11.518830893040057,0.0,27.899143362270024,7.649338453466892,0.0
2024-03-25,0.0,0.0,21.68043237128072,16.779576378669567,15.020895293734652,10.988994801586776,0.0,27.86726590568614,7.662835249042145,0.0
