date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,KGI ASIA LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,35.183956399983494,27.630270189006893,5.850054939252076,0.0,10.745466448469546,7.513201501467005,5.163857241743201,2.7540905444735295,1.7889590198591896,3.3701437157450673
2024-03-04,31.635918154744854,24.795192451798236,5.205110681676506,10.196947825920898,9.664279135812674,6.78421731657178,4.6092498323291355,2.4773229055234856,1.601745397660522,3.030016297961911
2024-03-05,31.625466934362894,24.80691727605924,5.187563703953297,10.19081341366133,9.658121944259749,6.821891336232834,4.6044175657359725,2.475832565447025,1.6007817988688195,3.028193461418837
2024-03-06,31.600645383546766,24.81205381442666,5.181654647066423,10.190667558193626,9.657983712909987,6.856174459093964,4.5974871827154224,2.4757971302268773,1.6000724395113723,3.0274636723089063
2024-03-07,31.65494543866621,24.850332283666866,5.160800415297894,10.189475005360404,9.656167128955769,6.792236568606386,4.595576430459776,2.4755074025063655,1.5992226759722394,3.0257366505080956
2024-03-08,31.661534686548926,24.823539670445157,5.16331845880154,10.190380773748773,9.657025490248532,6.829083795652803,4.58397243656962,2.471265668579201,1.595932690268058,3.023946329137386
2024-03-11,31.661308467530937,24.849008750118262,5.162322793781423,10.18909300473072,9.655461950796656,6.819115266960363,4.577559246576507,2.47095337216614,1.5922992996361807,3.0228778477028158
2024-03-12,31.66757707204413,24.867538171007407,5.159305074894465,10.189232870739096,9.654908140021345,6.810629478013159,4.566983632878512,2.468585060377305,1.5923211571800342,3.022919342844549
2024-03-13,31.679524149773474,24.934343332847313,5.165397099173092,10.18671059725349,9.651542936052055,6.795425341548633,4.56436264890071,2.4670385263151235,1.5910800436068333,2.964575324529272
2024-03-14,31.78583822643619,24.870869067402225,5.114398624180459,10.186260161406839,9.651116164242609,6.8046305282827655,4.564160821968007,2.4672724798590666,1.5910096892486045,2.9644442369732333
2024-03-15,31.796831794008796,24.932449607674812,5.108631305047929,10.18296958931954,9.647998465208998,6.747975041704085,4.562686414288963,2.467161311941786,1.5904957290717479,2.9628007417333486
2024-03-18,31.890835962054897,24.89837169198927,5.078180440099196,10.185173251489735,9.650086356079079,6.714102462949241,4.564702823157049,2.467695222016171,1.587409878697087,2.963441911468278
2024-03-19,32.28302847802594,24.65648033685456,5.082195028255676,10.195291120728553,9.659672674297067,6.529434182115182,4.572670813829826,2.4732367170359164,1.5886434537528922,2.9593471951043924
2024-03-20,32.30742174454754,24.637909915267805,5.072140883246636,10.198547629139059,9.662758099218639,6.525681036146887,4.5724141101477835,2.474026700968187,1.5891508871068964,2.959948994210571
2024-03-21,32.298927443801176,24.65446423471331,5.021355592566205,10.1944573339027,9.65888269118403,6.571753032552372,4.5781332440086375,2.4747510372690398,1.588513532010881,2.9587618579916555
2024-03-22,32.349045715013844,24.704311749708623,4.880792329293824,10.209950505533696,9.673561915628914,6.571769221408615,4.576494956174765,2.4785120753810816,1.592303053419211,2.963258478437421
2024-03-25,32.319904268732316,24.794241200819265,4.930830746976135,10.207479657048896,9.671220875308602,6.544190729758379,4.574699914999889,2.4779122656363928,1.5915739541405995,2.88794638657953
2024-03-26,32.330581797565806,24.805248839253196,4.948361979331383,10.208897423349274,9.672564158028843,6.497517296984172,4.577054334109547,2.4789440416257875,1.5917950155575753,2.88903511419442
2024-03-27,32.244746229358704,24.867021892676217,4.938691318478525,10.211696165863039,9.67583147652607,6.547294518067426,4.5603529627207156,2.4765182665765106,1.5865988688460477,2.8912483008867436
2024-03-28,32.24288316180963,24.855789721325706,4.934156412414477,10.207639216903447,9.676818599514375,6.572612977209539,4.5556373063617785,2.477513781997542,1.5866027133253406,2.890346109138163
2024-04-02,32.24982205185122,24.87846750680342,4.950270148950369,10.208965131102689,9.684952371013757,6.515927783030179,4.555541376914874,2.4826493624403967,1.586808803981706,2.8865954639113935
2024-04-03,32.167715157109846,24.913237088179976,5.012369140653786,10.206587487494108,9.688884454380837,6.484760911908455,4.568918335397399,2.484821241843588,1.587470520941685,2.8852356620903143
2024-04-05,32.27876788391488,24.828105867462412,5.0506087065323095,10.198067110823501,9.678444441641986,6.455497543273475,4.559491444847201,2.482152661334905,1.5859850643204259,2.882879275848903
2024-04-08,32.31501083735685,24.75595381218465,4.999861068223751,10.19685912320121,9.683753446877105,6.542307732721832,4.559222123964164,2.4777282385619106,1.5863774742857681,2.882926142622761
2024-04-09,32.29971731954467,24.772386819212127,4.997494816060317,10.192033321117655,9.679170479024364,6.554955939709506,4.558780818607021,2.4775854650825795,1.5856266995983657,2.882248322043399
2024-04-10,32.35144975779699,24.669907601480507,4.995580773628788,10.192014794857085,9.685933278683281,6.609942527937567,4.550956917831587,2.4752515623837663,1.5876075867201966,2.8813551986802297
2024-04-11,32.40331162668289,24.697038986481505,4.9867612365757,10.18522136423212,9.679134063836555,6.561023498878847,4.548609722945098,2.4736016972582884,1.586549375736683,2.878748427372314
2024-04-12,32.37339193763366,24.703216312934124,4.998698923553765,10.185342067355041,9.673982884163367,6.5981844914139804,4.5336398676128455,2.47220524050734,1.5862166373179591,2.875121637507918
2024-04-15,32.35308319391591,24.774448312997325,5.032671342291477,10.18538868538729,9.67399272196082,6.522354235704121,4.527792161765814,2.46929616021342,1.5839298081841202,2.8770433775797053
2024-04-16,32.28865398190129,24.80279864829876,5.0810426560588455,10.17373357928147,9.662922804540472,6.548639012267782,4.520555447825263,2.463387188063067,1.5834877069901145,2.874778974772935
2024-04-17,32.28372849946809,24.84725905809551,5.105088592740991,10.16635668254,9.650438729933999,6.543000026502846,4.507007197118773,2.4574928326218255,1.5833665751503423,2.8562618058276232
2024-04-18,32.32162071966117,24.850433021687365,5.129703603187165,10.173757977709613,9.657464427318706,6.450478260924754,4.513371753715869,2.461680111131724,1.5845192952201108,2.8569708294435237
2024-04-19,32.33079870865041,24.84879480783195,5.120821905826321,10.1744899849738,9.658159286989038,6.453340727198064,4.511983385375808,2.4618572303169257,1.584633302220954,2.8551206606167248
2024-04-22,32.3691549794938,24.837929532087532,5.136036105758281,10.17306511209259,9.657131922706789,6.414301863968462,4.510818263375086,2.4622805262050558,1.5841221554114815,2.8551595389009163
