date,SDICS INTERNATIONAL SECURITIES (HONG,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,41.07218260615126,33.22576746650182,8.187310070573245,7.565488018840941,4.41637158382786,0.94700202426075,2.4708964563305233,2.1149817735135974
2024-03-04,0.0,0.0,40.89629730673291,33.25323204364237,8.241561471523621,7.548791761485586,4.436232364822126,0.946581629293077,2.461352316045434,2.21595110645487
2024-03-05,0.0,0.0,40.89703512278363,33.25909770368399,8.283430933207182,7.531344076462199,4.441163649301163,0.9451396829488427,2.442154643640394,2.2006341879726032
2024-03-06,36.68788927834911,0.0,25.920737078680585,21.047641333553184,5.336493626915618,4.740859758935975,2.7273356407073845,0.5970270713525736,1.5354007464144555,1.4066154650911213
2024-03-07,36.66181914117287,0.0,25.959788597304033,21.048645976002238,5.459695558877506,4.749481472421192,2.5772911001504966,0.5968301925070896,1.527704834278324,1.418743127286249
2024-03-08,36.65019658915675,0.0,26.053160614843325,21.037720860503054,5.528220396426793,4.735882680976313,2.569156138622417,0.5966409850394925,1.531142288430143,1.2978794460017211
2024-03-11,36.6301146520282,0.0,26.026645936013658,20.8970398009747,5.788971361667868,4.731034408096405,2.5670155593270088,0.5935161509373788,1.517261227781941,1.2484009031728367
2024-03-12,36.6335003151238,0.0,26.0037395796746,20.852843262083525,5.850406325353404,4.730211692168057,2.583961236578018,0.5879710180413622,1.5193054626383329,1.2380611083389041
2024-03-13,36.645055985890345,0.0,25.868173102690566,20.869043724979498,5.950590623473432,4.715150597814561,2.6047528593299485,0.5893328566028901,1.5215772746044394,1.2363229746143174
2024-03-14,36.70706506803911,0.0,25.512490666087434,21.000232234474822,5.897477420871125,4.722091280597693,2.7776868539307573,0.595941334764022,1.5369175800750023,1.2500975611600416
2024-03-15,36.71777397792376,0.0,25.481036462628985,21.082835749274004,5.716106026785685,4.723525031045966,2.84379878521675,0.5961151945383925,1.5153634972127037,1.3234452753737513
2024-03-18,36.68930106504107,0.0,25.413744900592118,21.12826025415322,5.740641463589767,4.719273264092179,2.8741350866858086,0.587240154174845,1.5112439305017225,1.3361598811692668
2024-03-19,36.8785088705485,0.0,25.494461956587806,21.464109295389882,5.808214305600772,4.747951527065068,2.525728961585147,0.5902685689347853,1.518699213296275,0.9720573009917624
2024-03-20,36.930167531008415,0.0,25.53183030719414,21.07574205009536,5.840907565666319,4.751582103080632,2.5861897687825026,0.5939180754493177,1.5263307833204889,1.1633318154028172
2024-03-21,36.93838391652874,0.0,25.643779691863283,21.05551953086421,5.835305975207977,4.7305610625292385,2.5048996663589156,0.5940502129456149,1.5509225011996322,1.1465774425023862
2024-03-22,36.946199896664844,0.0,25.732313042166954,21.097178528929987,5.84360043666646,4.734103532156628,2.3435988880420138,0.5983835157573396,1.5700860536152943,1.134536106000481
